station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
AE01,Delhi Aerocity,Airport Express,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 05:00:00,5,0,0,114,0,12.9,0.0,Clear,1,New Year,114,0,0.0,0.0,low,1,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 06:00:00,6,0,0,604,6,13.7,0.0,Clear,1,New Year,718,0,100.7,0.756,high,5,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 07:00:00,7,0,0,883,6,17.7,0.0,Cloudy,1,New Year,1601,0,147.2,1.0,high,5,Night
AE01,Delhi Aerocity,Airport Express,2024-01-01 08:00:00,8,0,0,1116,6,18.6,0.0,Clear,1,New Year,2603,1,186.0,1.0,high,5,Morning Peak
AE01,Delhi Aerocity,Airport Express,2024-01-01 09:00:00,9,0,0,932,6,18.5,0.0,Clear,1,New Year,2931,1,155.3,1.0,high,5,Morning Peak
AE01,Delhi Aerocity,Airport Express,2024-01-01 10:00:00,10,0,0,767,6,18.5,0.0,Clear,1,New Year,2815,1,127.8,0.96,high,5,Morning Peak
AE01,Delhi Aerocity,Airport Express,2024-01-01 11:00:00,11,0,0,695,6,17.5,0.0,Clear,1,New Year,2394,0,115.8,0.87,high,5,Mid Morning
AE01,Delhi Aerocity,Airport Express,2024-01-01 12:00:00,12,0,0,653,6,18.0,0.0,Clear,1,New Year,2115,0,108.8,0.817,high,5,Mid Morning
AE01,Delhi Aerocity,Airport Express,2024-01-01 13:00:00,13,0,0,596,6,16.1,0.0,Clear,1,New Year,1944,0,99.3,0.746,high,4,Mid Morning
AE01,Delhi Aerocity,Airport Express,2024-01-01 14:00:00,14,0,0,750,6,14.7,0.0,Clear,1,New Year,1999,0,125.0,0.939,high,5,Afternoon
AE01,Delhi Aerocity,Airport Express,2024-01-01 15:00:00,15,0,0,798,6,12.4,0.0,Clear,1,New Year,2144,0,133.0,0.999,high,5,Afternoon
AE01,Delhi Aerocity,Airport Express,2024-01-01 16:00:00,16,0,0,869,6,12.0,0.0,Clear,1,New Year,2417,0,144.8,1.0,high,5,Afternoon
AE01,Delhi Aerocity,Airport Express,2024-01-01 17:00:00,17,0,0,910,6,12.6,0.0,Clear,1,New Year,2577,1,151.7,1.0,high,5,Evening Peak
AE01,Delhi Aerocity,Airport Express,2024-01-01 18:00:00,18,0,0,1073,6,11.8,0.0,Clear,1,New Year,2852,1,178.8,1.0,high,5,Evening Peak
