station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 05:00:00,5,0,0,119,0,12.9,0.0,Clear,1,New Year,119,0,0.0,0.0,low,1,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 06:00:00,6,0,0,649,6,13.7,0.0,Clear,1,New Year,768,0,108.2,0.731,high,4,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 07:00:00,7,0,0,1026,6,17.7,0.0,Cloudy,1,New Year,1794,0,171.0,1.0,high,5,Night
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 08:00:00,8,0,0,1177,6,18.6,0.0,Clear,1,New Year,2852,1,196.2,1.0,high,5,Morning Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 09:00:00,9,0,0,1001,6,18.5,0.0,Clear,1,New Year,3204,1,166.8,1.0,high,5,Morning Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 10:00:00,10,0,0,819,6,18.5,0.0,Clear,1,New Year,2997,1,136.5,0.922,high,5,Morning Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 11:00:00,11,0,0,730,6,17.5,0.0,Clear,1,New Year,2550,0,121.7,0.822,high,5,Mid Morning
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 12:00:00,12,0,0,675,6,18.0,0.0,Clear,1,New Year,2224,0,112.5,0.76,high,5,Mid Morning
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 13:00:00,13,0,0,700,6,16.1,0.0,Clear,1,New Year,2105,0,116.7,0.789,high,5,Mid Morning
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 14:00:00,14,0,0,845,6,14.7,0.0,Clear,1,New Year,2220,0,140.8,0.951,high,5,Afternoon
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 15:00:00,15,0,0,855,6,12.4,0.0,Clear,1,New Year,2400,0,142.5,0.963,high,5,Afternoon
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 16:00:00,16,0,0,970,6,12.0,0.0,Clear,1,New Year,2670,0,161.7,1.0,high,5,Afternoon
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 17:00:00,17,0,0,992,6,12.6,0.0,Clear,1,New Year,2817,1,165.3,1.0,high,5,Evening Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 18:00:00,18,0,0,1124,6,11.8,0.0,Clear,1,New Year,3086,1,187.3,1.0,high,5,Evening Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 19:00:00,19,0,0,1144,6,9.4,0.0,Clear,1,New Year,3260,1,190.7,1.0,high,5,Evening Peak
AE03,Indira Gandhi International Airport,Airport Express,2024-01-01 20:00:00,20,0,0,982,6,9.6,0.0,Clear,1,New Year,3250,1,163.7,1.0,high,5,Evening Peak
