station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 05:00:00,5,0,0,59,0,12.9,0.0,Clear,1,New Year,59,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 06:00:00,6,0,0,329,6,13.7,0.0,Clear,1,New Year,388,0,54.8,0.729,high,4,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 07:00:00,7,0,0,498,6,17.7,0.0,Cloudy,1,New Year,886,0,83.0,1.0,high,5,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 08:00:00,8,0,0,661,6,18.6,0.0,Clear,1,New Year,1488,1,110.2,1.0,high,5,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 09:00:00,9,0,0,559,6,18.5,0.0,Clear,1,New Year,1718,1,93.2,1.0,high,5,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 10:00:00,10,0,0,458,6,18.5,0.0,Clear,1,New Year,1678,1,76.3,1.0,high,5,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 11:00:00,11,0,0,405,6,17.5,0.0,Clear,1,New Year,1422,0,67.5,0.898,high,5,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 12:00:00,12,0,0,385,6,18.0,0.0,Clear,1,New Year,1248,0,64.2,0.854,high,5,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 13:00:00,13,0,0,365,6,16.1,0.0,Clear,1,New Year,1155,0,60.8,0.809,high,5,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 14:00:00,14,0,0,404,6,14.7,0.0,Clear,1,New Year,1154,0,67.3,0.895,high,5,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 15:00:00,15,0,0,437,6,12.4,0.0,Clear,1,New Year,1206,0,72.8,0.968,high,5,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 16:00:00,16,0,0,512,6,12.0,0.0,Clear,1,New Year,1353,0,85.3,1.0,high,5,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 17:00:00,17,0,0,544,6,12.6,0.0,Clear,1,New Year,1493,1,90.7,1.0,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 18:00:00,18,0,0,556,6,11.8,0.0,Clear,1,New Year,1612,1,92.7,1.0,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 19:00:00,19,0,0,551,6,9.4,0.0,Clear,1,New Year,1651,1,91.8,1.0,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 20:00:00,20,0,0,503,6,9.6,0.0,Clear,1,New Year,1610,1,83.8,1.0,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 21:00:00,21,0,0,376,6,8.6,0.0,Clear,1,New Year,1430,0,62.7,0.834,high,5,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 22:00:00,22,0,0,242,6,10.3,0.0,Clear,1,New Year,1121,0,40.3,0.536,medium,3,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-01 23:00:00,23,0,0,99,0,10.5,0.0,Clear,1,New Year,717,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,341,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,99,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 05:00:00,5,1,0,47,0,13.0,0.0,Clear,0,,47,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 06:00:00,6,1,0,255,6,14.5,0.0,Clear,0,,302,0,42.5,0.565,medium,4,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 07:00:00,7,1,0,373,6,16.3,0.0,Clear,0,,675,0,62.2,0.827,high,5,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 08:00:00,8,1,0,491,6,17.4,0.0,Cloudy,0,,1119,1,81.8,1.0,high,5,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 09:00:00,9,1,0,376,6,18.4,0.0,Clear,0,,1240,1,62.7,0.834,high,5,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 10:00:00,10,1,0,312,6,20.4,0.0,Cloudy,0,,1179,1,52.0,0.691,high,4,Morning Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 11:00:00,11,1,0,291,6,19.8,0.0,Cloudy,0,,979,0,48.5,0.645,medium,4,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 12:00:00,12,1,0,269,6,18.2,0.0,Clear,0,,872,0,44.8,0.596,medium,4,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 13:00:00,13,1,0,272,6,16.1,0.0,Clear,0,,832,0,45.3,0.602,medium,4,Mid Morning
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 14:00:00,14,1,0,275,6,14.6,0.0,Clear,0,,816,0,45.8,0.609,medium,4,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 15:00:00,15,1,0,337,6,13.0,0.0,Clear,0,,884,0,56.2,0.747,high,4,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 16:00:00,16,1,0,353,6,11.6,0.0,Clear,0,,965,0,58.8,0.782,high,5,Afternoon
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 17:00:00,17,1,0,378,6,11.3,0.0,Clear,0,,1068,1,63.0,0.838,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 18:00:00,18,1,0,479,6,11.6,0.0,Clear,0,,1210,1,79.8,1.0,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 19:00:00,19,1,0,395,6,10.7,0.0,Clear,0,,1252,1,65.8,0.875,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 20:00:00,20,1,0,351,6,11.3,0.0,Clear,0,,1225,1,58.5,0.778,high,5,Evening Peak
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 21:00:00,21,1,0,264,6,9.6,0.0,Clear,0,,1010,0,44.0,0.585,medium,4,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 22:00:00,22,1,0,168,6,9.8,0.0,Clear,0,,783,0,28.0,0.372,medium,3,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-02 23:00:00,23,1,0,67,0,9.3,0.0,Clear,0,,499,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,235,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,67,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 05:00:00,5,2,0,49,0,10.3,0.0,Foggy,0,,49,0,0.0,0.0,low,1,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 06:00:00,6,2,0,251,6,14.7,0.0,Cloudy,0,,300,0,41.8,0.556,medium,4,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 07:00:00,7,2,0,378,6,16.2,0.0,Clear,0,,678,0,63.0,0.838,high,5,Night
AE07,Dwarka Sector 21 AE,Airport Express,2024-01-03 08:00:00,8,2,0,508,6,16.0,0.0,Clear,0,,1137,1,84.7,1.0,high,5,Morning Peak
