station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL02,Barakhamba Road,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 06:00:00,6,0,0,415,5,13.7,0.0,Clear,1,New Year,415,0,83.0,0.416,medium,3,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 07:00:00,7,0,0,1339,8,17.7,0.0,Cloudy,1,New Year,1754,0,167.4,0.839,high,5,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 08:00:00,8,0,0,4749,20,18.6,0.0,Clear,1,New Year,6503,1,237.4,1.0,high,5,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 09:00:00,9,0,0,5205,20,18.5,0.0,Clear,1,New Year,11293,1,260.2,1.0,high,5,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 10:00:00,10,0,0,3244,20,18.5,0.0,Clear,1,New Year,13198,1,162.2,0.813,high,5,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 11:00:00,11,0,0,2518,10,17.5,0.0,Clear,1,New Year,10967,0,251.8,1.0,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-01 12:00:00,12,0,0,2359,10,18.0,0.0,Clear,1,New Year,8121,0,235.9,1.0,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-01 13:00:00,13,0,0,2297,10,16.1,0.0,Clear,1,New Year,7174,0,229.7,1.0,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-01 14:00:00,14,0,0,1956,10,14.7,0.0,Clear,1,New Year,6612,0,195.6,0.98,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-01 15:00:00,15,0,0,2315,10,12.4,0.0,Clear,1,New Year,6568,0,231.5,1.0,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-01 16:00:00,16,0,0,2815,10,12.0,0.0,Clear,1,New Year,7086,0,281.5,1.0,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-01 17:00:00,17,0,0,4410,18,12.6,0.0,Clear,1,New Year,9540,1,245.0,1.0,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 18:00:00,18,0,0,4606,18,11.8,0.0,Clear,1,New Year,11831,1,255.9,1.0,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 19:00:00,19,0,0,4751,18,9.4,0.0,Clear,1,New Year,13767,1,263.9,1.0,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 20:00:00,20,0,0,3331,18,9.6,0.0,Clear,1,New Year,12688,1,185.1,0.928,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-01 21:00:00,21,0,0,1532,7,8.6,0.0,Clear,1,New Year,9614,0,218.9,1.0,high,5,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 22:00:00,22,0,0,621,7,10.3,0.0,Clear,1,New Year,5484,0,88.7,0.444,medium,3,Night
BL02,Barakhamba Road,Blue Line,2024-01-01 23:00:00,23,0,0,180,0,10.5,0.0,Clear,1,New Year,2333,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,801,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,180,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 06:00:00,6,1,0,283,5,14.5,0.0,Clear,0,,283,0,56.6,0.284,low,2,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 07:00:00,7,1,0,1056,8,16.3,0.0,Clear,0,,1339,0,132.0,0.661,high,4,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 08:00:00,8,1,0,3473,20,17.4,0.0,Cloudy,0,,4812,1,173.7,0.87,high,5,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 09:00:00,9,1,0,4060,20,18.4,0.0,Clear,0,,8589,1,203.0,1.0,high,5,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 10:00:00,10,1,0,2644,20,20.4,0.0,Cloudy,0,,10177,1,132.2,0.662,high,4,Morning Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 11:00:00,11,1,0,1892,10,19.8,0.0,Cloudy,0,,8596,0,189.2,0.948,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-02 12:00:00,12,1,0,1869,10,18.2,0.0,Clear,0,,6405,0,186.9,0.937,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-02 13:00:00,13,1,0,1607,10,16.1,0.0,Clear,0,,5368,0,160.7,0.805,high,5,Mid Morning
BL02,Barakhamba Road,Blue Line,2024-01-02 14:00:00,14,1,0,1601,10,14.6,0.0,Clear,0,,5077,0,160.1,0.802,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-02 15:00:00,15,1,0,1746,10,13.0,0.0,Clear,0,,4954,0,174.6,0.875,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-02 16:00:00,16,1,0,1943,10,11.6,0.0,Clear,0,,5290,0,194.3,0.974,high,5,Afternoon
BL02,Barakhamba Road,Blue Line,2024-01-02 17:00:00,17,1,0,3210,18,11.3,0.0,Clear,0,,6899,1,178.3,0.893,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 18:00:00,18,1,0,3494,18,11.6,0.0,Clear,0,,8647,1,194.1,0.973,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 19:00:00,19,1,0,3525,18,10.7,0.0,Clear,0,,10229,1,195.8,0.981,high,5,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 20:00:00,20,1,0,2259,18,11.3,0.0,Clear,0,,9278,1,125.5,0.629,medium,4,Evening Peak
BL02,Barakhamba Road,Blue Line,2024-01-02 21:00:00,21,1,0,1011,7,9.6,0.0,Clear,0,,6795,0,144.4,0.724,high,4,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 22:00:00,22,1,0,484,7,9.8,0.0,Clear,0,,3754,0,69.1,0.346,low,2,Night
BL02,Barakhamba Road,Blue Line,2024-01-02 23:00:00,23,1,0,151,0,9.3,0.0,Clear,0,,1646,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,635,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,151,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL02,Barakhamba Road,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
