station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL05,Dwarka Mor,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 06:00:00,6,0,0,93,5,13.7,0.0,Clear,1,New Year,93,0,18.6,0.379,medium,3,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 07:00:00,7,0,0,373,8,17.7,0.0,Cloudy,1,New Year,466,0,46.6,0.95,high,5,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 08:00:00,8,0,0,1030,20,18.6,0.0,Clear,1,New Year,1496,1,51.5,1.0,high,5,Morning Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 09:00:00,9,0,0,1253,20,18.5,0.0,Clear,1,New Year,2656,1,62.6,1.0,high,5,Morning Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 10:00:00,10,0,0,786,20,18.5,0.0,Clear,1,New Year,3069,1,39.3,0.801,high,5,Morning Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 11:00:00,11,0,0,636,10,17.5,0.0,Clear,1,New Year,2675,0,63.6,1.0,high,5,Mid Morning
BL05,Dwarka Mor,Blue Line,2024-01-01 12:00:00,12,0,0,619,10,18.0,0.0,Clear,1,New Year,2041,0,61.9,1.0,high,5,Mid Morning
BL05,Dwarka Mor,Blue Line,2024-01-01 13:00:00,13,0,0,500,10,16.1,0.0,Clear,1,New Year,1755,0,50.0,1.0,high,5,Mid Morning
BL05,Dwarka Mor,Blue Line,2024-01-01 14:00:00,14,0,0,504,10,14.7,0.0,Clear,1,New Year,1623,0,50.4,1.0,high,5,Afternoon
BL05,Dwarka Mor,Blue Line,2024-01-01 15:00:00,15,0,0,528,10,12.4,0.0,Clear,1,New Year,1532,0,52.8,1.0,high,5,Afternoon
BL05,Dwarka Mor,Blue Line,2024-01-01 16:00:00,16,0,0,630,10,12.0,0.0,Clear,1,New Year,1662,0,63.0,1.0,high,5,Afternoon
BL05,Dwarka Mor,Blue Line,2024-01-01 17:00:00,17,0,0,962,18,12.6,0.0,Clear,1,New Year,2120,1,53.4,1.0,high,5,Evening Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 18:00:00,18,0,0,1231,18,11.8,0.0,Clear,1,New Year,2823,1,68.4,1.0,high,5,Evening Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 19:00:00,19,0,0,1028,18,9.4,0.0,Clear,1,New Year,3221,1,57.1,1.0,high,5,Evening Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 20:00:00,20,0,0,814,18,9.6,0.0,Clear,1,New Year,3073,1,45.2,0.921,high,5,Evening Peak
BL05,Dwarka Mor,Blue Line,2024-01-01 21:00:00,21,0,0,354,7,8.6,0.0,Clear,1,New Year,2196,0,50.6,1.0,high,5,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 22:00:00,22,0,0,166,7,10.3,0.0,Clear,1,New Year,1334,0,23.7,0.483,medium,3,Night
BL05,Dwarka Mor,Blue Line,2024-01-01 23:00:00,23,0,0,46,0,10.5,0.0,Clear,1,New Year,566,0,0.0,0.0,low,1,Night
