station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL06,Janak Puri East,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL06,Janak Puri East,Blue Line,2024-01-01 06:00:00,6,0,0,91,5,13.7,0.0,Clear,1,New Year,91,0,18.2,0.371,medium,3,Night
BL06,Janak Puri East,Blue Line,2024-01-01 07:00:00,7,0,0,350,8,17.7,0.0,Cloudy,1,New Year,441,0,43.8,0.892,high,5,Night
BL06,Janak Puri East,Blue Line,2024-01-01 08:00:00,8,0,0,1065,20,18.6,0.0,Clear,1,New Year,1506,1,53.2,1.0,high,5,Morning Peak
BL06,Janak Puri East,Blue Line,2024-01-01 09:00:00,9,0,0,1367,20,18.5,0.0,Clear,1,New Year,2782,1,68.3,1.0,high,5,Morning Peak
BL06,Janak Puri East,Blue Line,2024-01-01 10:00:00,10,0,0,859,20,18.5,0.0,Clear,1,New Year,3291,1,43.0,0.876,high,5,Morning Peak
BL06,Janak Puri East,Blue Line,2024-01-01 11:00:00,11,0,0,597,10,17.5,0.0,Clear,1,New Year,2823,0,59.7,1.0,high,5,Mid Morning
BL06,Janak Puri East,Blue Line,2024-01-01 12:00:00,12,0,0,610,10,18.0,0.0,Clear,1,New Year,2066,0,61.0,1.0,high,5,Mid Morning
BL06,Janak Puri East,Blue Line,2024-01-01 13:00:00,13,0,0,512,10,16.1,0.0,Clear,1,New Year,1719,0,51.2,1.0,high,5,Mid Morning
BL06,Janak Puri East,Blue Line,2024-01-01 14:00:00,14,0,0,527,10,14.7,0.0,Clear,1,New Year,1649,0,52.7,1.0,high,5,Afternoon
BL06,Janak Puri East,Blue Line,2024-01-01 15:00:00,15,0,0,566,10,12.4,0.0,Clear,1,New Year,1605,0,56.6,1.0,high,5,Afternoon
BL06,Janak Puri East,Blue Line,2024-01-01 16:00:00,16,0,0,678,10,12.0,0.0,Clear,1,New Year,1771,0,67.8,1.0,high,5,Afternoon
BL06,Janak Puri East,Blue Line,2024-01-01 17:00:00,17,0,0,973,18,12.6,0.0,Clear,1,New Year,2217,1,54.1,1.0,high,5,Evening Peak
BL06,Janak Puri East,Blue Line,2024-01-01 18:00:00,18,0,0,1214,18,11.8,0.0,Clear,1,New Year,2865,1,67.4,1.0,high,5,Evening Peak
BL06,Janak Puri East,Blue Line,2024-01-01 19:00:00,19,0,0,1127,18,9.4,0.0,Clear,1,New Year,3314,1,62.6,1.0,high,5,Evening Peak
BL06,Janak Puri East,Blue Line,2024-01-01 20:00:00,20,0,0,759,18,9.6,0.0,Clear,1,New Year,3100,1,42.2,0.859,high,5,Evening Peak
BL06,Janak Puri East,Blue Line,2024-01-01 21:00:00,21,0,0,348,7,8.6,0.0,Clear,1,New Year,2234,0,49.7,1.0,high,5,Night
BL06,Janak Puri East,Blue Line,2024-01-01 22:00:00,22,0,0,149,7,10.3,0.0,Clear,1,New Year,1256,0,21.3,0.434,medium,3,Night
