station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL07,Janak Puri West,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL07,Janak Puri West,Blue Line,2024-01-01 06:00:00,6,0,0,110,5,13.7,0.0,Clear,1,New Year,110,0,22.0,0.394,medium,3,Night
BL07,Janak Puri West,Blue Line,2024-01-01 07:00:00,7,0,0,374,8,17.7,0.0,Cloudy,1,New Year,484,0,46.8,0.837,high,5,Night
BL07,Janak Puri West,Blue Line,2024-01-01 08:00:00,8,0,0,1180,20,18.6,0.0,Clear,1,New Year,1664,1,59.0,1.0,high,5,Morning Peak
BL07,Janak Puri West,Blue Line,2024-01-01 09:00:00,9,0,0,1541,20,18.5,0.0,Clear,1,New Year,3095,1,77.0,1.0,high,5,Morning Peak
BL07,Janak Puri West,Blue Line,2024-01-01 10:00:00,10,0,0,906,20,18.5,0.0,Clear,1,New Year,3627,1,45.3,0.81,high,5,Morning Peak
BL07,Janak Puri West,Blue Line,2024-01-01 11:00:00,11,0,0,643,10,17.5,0.0,Clear,1,New Year,3090,0,64.3,1.0,high,5,Mid Morning
BL07,Janak Puri West,Blue Line,2024-01-01 12:00:00,12,0,0,689,10,18.0,0.0,Clear,1,New Year,2238,0,68.9,1.0,high,5,Mid Morning
BL07,Janak Puri West,Blue Line,2024-01-01 13:00:00,13,0,0,568,10,16.1,0.0,Clear,1,New Year,1900,0,56.8,1.0,high,5,Mid Morning
