station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL09,Karol Bagh,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-01 06:00:00,6,0,0,149,5,13.7,0.0,Clear,1,New Year,149,0,29.8,0.362,medium,3,Night
BL09,Karol Bagh,Blue Line,2024-01-01 07:00:00,7,0,0,609,8,17.7,0.0,Cloudy,1,New Year,758,0,76.1,0.925,high,5,Night
BL09,Karol Bagh,Blue Line,2024-01-01 08:00:00,8,0,0,1784,20,18.6,0.0,Clear,1,New Year,2542,1,89.2,1.0,high,5,Morning Peak
BL09,Karol Bagh,Blue Line,2024-01-01 09:00:00,9,0,0,2318,20,18.5,0.0,Clear,1,New Year,4711,1,115.9,1.0,high,5,Morning Peak
BL09,Karol Bagh,Blue Line,2024-01-01 10:00:00,10,0,0,1516,20,18.5,0.0,Clear,1,New Year,5618,1,75.8,0.921,high,5,Morning Peak
BL09,Karol Bagh,Blue Line,2024-01-01 11:00:00,11,0,0,965,10,17.5,0.0,Clear,1,New Year,4799,0,96.5,1.0,high,5,Mid Morning
BL09,Karol Bagh,Blue Line,2024-01-01 12:00:00,12,0,0,930,10,18.0,0.0,Clear,1,New Year,3411,0,93.0,1.0,high,5,Mid Morning
BL09,Karol Bagh,Blue Line,2024-01-01 13:00:00,13,0,0,964,10,16.1,0.0,Clear,1,New Year,2859,0,96.4,1.0,high,5,Mid Morning
BL09,Karol Bagh,Blue Line,2024-01-01 14:00:00,14,0,0,778,10,14.7,0.0,Clear,1,New Year,2672,0,77.8,0.945,high,5,Afternoon
BL09,Karol Bagh,Blue Line,2024-01-01 15:00:00,15,0,0,921,10,12.4,0.0,Clear,1,New Year,2663,0,92.1,1.0,high,5,Afternoon
BL09,Karol Bagh,Blue Line,2024-01-01 16:00:00,16,0,0,1138,10,12.0,0.0,Clear,1,New Year,2837,0,113.8,1.0,high,5,Afternoon
BL09,Karol Bagh,Blue Line,2024-01-01 17:00:00,17,0,0,1594,18,12.6,0.0,Clear,1,New Year,3653,1,88.6,1.0,high,5,Evening Peak
BL09,Karol Bagh,Blue Line,2024-01-01 18:00:00,18,0,0,2068,18,11.8,0.0,Clear,1,New Year,4800,1,114.9,1.0,high,5,Evening Peak
BL09,Karol Bagh,Blue Line,2024-01-01 19:00:00,19,0,0,1901,18,9.4,0.0,Clear,1,New Year,5563,1,105.6,1.0,high,5,Evening Peak
BL09,Karol Bagh,Blue Line,2024-01-01 20:00:00,20,0,0,1359,18,9.6,0.0,Clear,1,New Year,5328,1,75.5,0.917,high,5,Evening Peak
BL09,Karol Bagh,Blue Line,2024-01-01 21:00:00,21,0,0,640,7,8.6,0.0,Clear,1,New Year,3900,0,91.4,1.0,high,5,Night
BL09,Karol Bagh,Blue Line,2024-01-01 22:00:00,22,0,0,275,7,10.3,0.0,Clear,1,New Year,2274,0,39.3,0.478,medium,3,Night
BL09,Karol Bagh,Blue Line,2024-01-01 23:00:00,23,0,0,82,0,10.5,0.0,Clear,1,New Year,997,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,357,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,82,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL09,Karol Bagh,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
