station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 06:00:00,6,0,0,129,5,13.7,0.0,Clear,1,New Year,129,0,25.8,0.396,medium,3,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 07:00:00,7,0,0,446,8,17.7,0.0,Cloudy,1,New Year,575,0,55.8,0.857,high,5,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 08:00:00,8,0,0,1518,20,18.6,0.0,Clear,1,New Year,2093,1,75.9,1.0,high,5,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 09:00:00,9,0,0,1570,20,18.5,0.0,Clear,1,New Year,3534,1,78.5,1.0,high,5,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 10:00:00,10,0,0,1078,20,18.5,0.0,Clear,1,New Year,4166,1,53.9,0.828,high,5,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 11:00:00,11,0,0,843,10,17.5,0.0,Clear,1,New Year,3491,0,84.3,1.0,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 12:00:00,12,0,0,736,10,18.0,0.0,Clear,1,New Year,2657,0,73.6,1.0,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 13:00:00,13,0,0,670,10,16.1,0.0,Clear,1,New Year,2249,0,67.0,1.0,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 14:00:00,14,0,0,620,10,14.7,0.0,Clear,1,New Year,2026,0,62.0,0.952,high,5,Afternoon
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 15:00:00,15,0,0,685,10,12.4,0.0,Clear,1,New Year,1975,0,68.5,1.0,high,5,Afternoon
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 16:00:00,16,0,0,838,10,12.0,0.0,Clear,1,New Year,2143,0,83.8,1.0,high,5,Afternoon
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 17:00:00,17,0,0,1278,18,12.6,0.0,Clear,1,New Year,2801,1,71.0,1.0,high,5,Evening Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 18:00:00,18,0,0,1586,18,11.8,0.0,Clear,1,New Year,3702,1,88.1,1.0,high,5,Evening Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 19:00:00,19,0,0,1477,18,9.4,0.0,Clear,1,New Year,4341,1,82.1,1.0,high,5,Evening Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 20:00:00,20,0,0,1007,18,9.6,0.0,Clear,1,New Year,4070,1,55.9,0.859,high,5,Evening Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 21:00:00,21,0,0,492,7,8.6,0.0,Clear,1,New Year,2976,0,70.3,1.0,high,5,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 22:00:00,22,0,0,202,7,10.3,0.0,Clear,1,New Year,1701,0,28.9,0.444,medium,3,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-01 23:00:00,23,0,0,64,0,10.5,0.0,Clear,1,New Year,758,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,266,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,64,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 06:00:00,6,1,0,96,5,14.5,0.0,Clear,0,,96,0,19.2,0.295,low,2,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 07:00:00,7,1,0,328,8,16.3,0.0,Clear,0,,424,0,41.0,0.63,medium,4,Night
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 08:00:00,8,1,0,1144,20,17.4,0.0,Cloudy,0,,1568,1,57.2,0.879,high,5,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 09:00:00,9,1,0,1160,20,18.4,0.0,Clear,0,,2632,1,58.0,0.891,high,5,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 10:00:00,10,1,0,886,20,20.4,0.0,Cloudy,0,,3190,1,44.3,0.68,high,4,Morning Peak
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 11:00:00,11,1,0,557,10,19.8,0.0,Cloudy,0,,2603,0,55.7,0.856,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 12:00:00,12,1,0,612,10,18.2,0.0,Clear,0,,2055,0,61.2,0.94,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 13:00:00,13,1,0,494,10,16.1,0.0,Clear,0,,1663,0,49.4,0.759,high,5,Mid Morning
BL11,Mayur Vihar Phase1,Blue Line,2024-01-02 14:00:00,14,1,0,523,10,14.6,0.0,Clear,0,,1629,0,52.3,0.803,high,5,Afternoon
