station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL12,Moti Nagar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL12,Moti Nagar,Blue Line,2024-01-01 06:00:00,6,0,0,65,5,13.7,0.0,Clear,1,New Year,65,0,13.0,0.372,medium,3,Night
BL12,Moti Nagar,Blue Line,2024-01-01 07:00:00,7,0,0,249,8,17.7,0.0,Cloudy,1,New Year,314,0,31.1,0.891,high,5,Night
BL12,Moti Nagar,Blue Line,2024-01-01 08:00:00,8,0,0,829,20,18.6,0.0,Clear,1,New Year,1143,1,41.5,1.0,high,5,Morning Peak
BL12,Moti Nagar,Blue Line,2024-01-01 09:00:00,9,0,0,938,20,18.5,0.0,Clear,1,New Year,2016,1,46.9,1.0,high,5,Morning Peak
BL12,Moti Nagar,Blue Line,2024-01-01 10:00:00,10,0,0,562,20,18.5,0.0,Clear,1,New Year,2329,1,28.1,0.805,high,5,Morning Peak
BL12,Moti Nagar,Blue Line,2024-01-01 11:00:00,11,0,0,396,10,17.5,0.0,Clear,1,New Year,1896,0,39.6,1.0,high,5,Mid Morning
BL12,Moti Nagar,Blue Line,2024-01-01 12:00:00,12,0,0,438,10,18.0,0.0,Clear,1,New Year,1396,0,43.8,1.0,high,5,Mid Morning
BL12,Moti Nagar,Blue Line,2024-01-01 13:00:00,13,0,0,384,10,16.1,0.0,Clear,1,New Year,1218,0,38.4,1.0,high,5,Mid Morning
BL12,Moti Nagar,Blue Line,2024-01-01 14:00:00,14,0,0,382,10,14.7,0.0,Clear,1,New Year,1204,0,38.2,1.0,high,5,Afternoon
BL12,Moti Nagar,Blue Line,2024-01-01 15:00:00,15,0,0,412,10,12.4,0.0,Clear,1,New Year,1178,0,41.2,1.0,high,5,Afternoon
BL12,Moti Nagar,Blue Line,2024-01-01 16:00:00,16,0,0,463,10,12.0,0.0,Clear,1,New Year,1257,0,46.3,1.0,high,5,Afternoon
BL12,Moti Nagar,Blue Line,2024-01-01 17:00:00,17,0,0,776,18,12.6,0.0,Clear,1,New Year,1651,1,43.1,1.0,high,5,Evening Peak
