station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL15,Noida City Centre,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-01 06:00:00,6,0,0,101,5,13.7,0.0,Clear,1,New Year,101,0,20.2,0.36,medium,3,Night
BL15,Noida City Centre,Blue Line,2024-01-01 07:00:00,7,0,0,414,8,17.7,0.0,Cloudy,1,New Year,515,0,51.8,0.924,high,5,Night
BL15,Noida City Centre,Blue Line,2024-01-01 08:00:00,8,0,0,1189,20,18.6,0.0,Clear,1,New Year,1704,1,59.5,1.0,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-01 09:00:00,9,0,0,1394,20,18.5,0.0,Clear,1,New Year,2997,1,69.7,1.0,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-01 10:00:00,10,0,0,946,20,18.5,0.0,Clear,1,New Year,3529,1,47.3,0.844,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-01 11:00:00,11,0,0,682,10,17.5,0.0,Clear,1,New Year,3022,0,68.2,1.0,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-01 12:00:00,12,0,0,685,10,18.0,0.0,Clear,1,New Year,2313,0,68.5,1.0,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-01 13:00:00,13,0,0,602,10,16.1,0.0,Clear,1,New Year,1969,0,60.2,1.0,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-01 14:00:00,14,0,0,555,10,14.7,0.0,Clear,1,New Year,1842,0,55.5,0.99,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-01 15:00:00,15,0,0,588,10,12.4,0.0,Clear,1,New Year,1745,0,58.8,1.0,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-01 16:00:00,16,0,0,746,10,12.0,0.0,Clear,1,New Year,1889,0,74.6,1.0,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-01 17:00:00,17,0,0,1207,18,12.6,0.0,Clear,1,New Year,2541,1,67.1,1.0,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-01 18:00:00,18,0,0,1372,18,11.8,0.0,Clear,1,New Year,3325,1,76.2,1.0,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-01 19:00:00,19,0,0,1218,18,9.4,0.0,Clear,1,New Year,3797,1,67.7,1.0,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-01 20:00:00,20,0,0,910,18,9.6,0.0,Clear,1,New Year,3500,1,50.6,0.903,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-01 21:00:00,21,0,0,390,7,8.6,0.0,Clear,1,New Year,2518,0,55.7,0.993,high,5,Night
BL15,Noida City Centre,Blue Line,2024-01-01 22:00:00,22,0,0,179,7,10.3,0.0,Clear,1,New Year,1479,0,25.6,0.457,medium,3,Night
BL15,Noida City Centre,Blue Line,2024-01-01 23:00:00,23,0,0,54,0,10.5,0.0,Clear,1,New Year,623,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,233,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,54,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-02 06:00:00,6,1,0,83,5,14.5,0.0,Clear,0,,83,0,16.6,0.296,low,2,Night
BL15,Noida City Centre,Blue Line,2024-01-02 07:00:00,7,1,0,315,8,16.3,0.0,Clear,0,,398,0,39.4,0.703,high,4,Night
BL15,Noida City Centre,Blue Line,2024-01-02 08:00:00,8,1,0,913,20,17.4,0.0,Cloudy,0,,1311,1,45.6,0.813,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-02 09:00:00,9,1,0,1137,20,18.4,0.0,Clear,0,,2365,1,56.9,1.0,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-02 10:00:00,10,1,0,697,20,20.4,0.0,Cloudy,0,,2747,1,34.9,0.622,medium,4,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-02 11:00:00,11,1,0,510,10,19.8,0.0,Cloudy,0,,2344,0,51.0,0.91,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-02 12:00:00,12,1,0,501,10,18.2,0.0,Clear,0,,1708,0,50.1,0.894,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-02 13:00:00,13,1,0,476,10,16.1,0.0,Clear,0,,1487,0,47.6,0.849,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-02 14:00:00,14,1,0,398,10,14.6,0.0,Clear,0,,1375,0,39.8,0.71,high,4,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-02 15:00:00,15,1,0,458,10,13.0,0.0,Clear,0,,1332,0,45.8,0.817,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-02 16:00:00,16,1,0,567,10,11.6,0.0,Clear,0,,1423,0,56.7,1.0,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-02 17:00:00,17,1,0,846,18,11.3,0.0,Clear,0,,1871,1,47.0,0.838,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-02 18:00:00,18,1,0,1017,18,11.6,0.0,Clear,0,,2430,1,56.5,1.0,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-02 19:00:00,19,1,0,894,18,10.7,0.0,Clear,0,,2757,1,49.7,0.886,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-02 20:00:00,20,1,0,726,18,11.3,0.0,Clear,0,,2637,1,40.3,0.719,high,4,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-02 21:00:00,21,1,0,285,7,9.6,0.0,Clear,0,,1905,0,40.7,0.726,high,4,Night
BL15,Noida City Centre,Blue Line,2024-01-02 22:00:00,22,1,0,125,7,9.8,0.0,Clear,0,,1136,0,17.9,0.319,low,2,Night
BL15,Noida City Centre,Blue Line,2024-01-02 23:00:00,23,1,0,37,0,9.3,0.0,Clear,0,,447,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,162,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,37,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-03 06:00:00,6,2,0,82,5,14.7,0.0,Cloudy,0,,82,0,16.4,0.293,low,2,Night
BL15,Noida City Centre,Blue Line,2024-01-03 07:00:00,7,2,0,302,8,16.2,0.0,Clear,0,,384,0,37.8,0.674,high,4,Night
BL15,Noida City Centre,Blue Line,2024-01-03 08:00:00,8,2,0,869,20,16.0,0.0,Clear,0,,1253,1,43.5,0.776,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-03 09:00:00,9,2,0,1021,20,19.3,0.0,Clear,0,,2192,1,51.0,0.91,high,5,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-03 10:00:00,10,2,0,757,20,18.1,0.0,Clear,0,,2647,1,37.9,0.676,high,4,Morning Peak
BL15,Noida City Centre,Blue Line,2024-01-03 11:00:00,11,2,0,487,10,17.9,0.0,Clear,0,,2265,0,48.7,0.869,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-03 12:00:00,12,2,0,481,10,18.4,0.0,Clear,0,,1725,0,48.1,0.858,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-03 13:00:00,13,2,0,441,10,16.5,0.0,Clear,0,,1409,0,44.1,0.787,high,5,Mid Morning
BL15,Noida City Centre,Blue Line,2024-01-03 14:00:00,14,2,0,410,10,14.9,0.0,Clear,0,,1332,0,41.0,0.731,high,4,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-03 15:00:00,15,2,0,454,10,12.6,0.0,Clear,0,,1305,0,45.4,0.81,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-03 16:00:00,16,2,0,586,10,11.3,0.0,Clear,0,,1450,0,58.6,1.0,high,5,Afternoon
BL15,Noida City Centre,Blue Line,2024-01-03 17:00:00,17,2,0,888,18,10.7,0.0,Clear,0,,1928,1,49.3,0.879,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-03 18:00:00,18,2,0,954,18,11.1,0.0,Clear,0,,2428,1,53.0,0.945,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-03 19:00:00,19,2,0,870,18,11.5,0.0,Cloudy,0,,2712,1,48.3,0.862,high,5,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-03 20:00:00,20,2,0,703,18,10.0,0.0,Clear,0,,2527,1,39.1,0.697,high,4,Evening Peak
BL15,Noida City Centre,Blue Line,2024-01-03 21:00:00,21,2,0,316,7,7.6,0.0,Clear,0,,1889,0,45.1,0.804,high,5,Night
BL15,Noida City Centre,Blue Line,2024-01-03 22:00:00,22,2,0,120,7,10.0,0.0,Clear,0,,1139,0,17.1,0.305,low,2,Night
BL15,Noida City Centre,Blue Line,2024-01-03 23:00:00,23,2,0,39,0,9.9,0.0,Clear,0,,475,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,159,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,39,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL15,Noida City Centre,Blue Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
