station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL19,Patel Nagar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-01 06:00:00,6,0,0,441,5,13.7,0.0,Clear,1,New Year,441,0,88.2,0.395,medium,3,Night
BL19,Patel Nagar,Blue Line,2024-01-01 07:00:00,7,0,0,1697,8,17.7,0.0,Cloudy,1,New Year,2138,0,212.1,0.95,high,5,Night
BL19,Patel Nagar,Blue Line,2024-01-01 08:00:00,8,0,0,4986,20,18.6,0.0,Clear,1,New Year,7124,1,249.3,1.0,high,5,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-01 09:00:00,9,0,0,5482,20,18.5,0.0,Clear,1,New Year,12165,1,274.1,1.0,high,5,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-01 10:00:00,10,0,0,3701,20,18.5,0.0,Clear,1,New Year,14169,1,185.1,0.829,high,5,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-01 11:00:00,11,0,0,2781,10,17.5,0.0,Clear,1,New Year,11964,0,278.1,1.0,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-01 12:00:00,12,0,0,2566,10,18.0,0.0,Clear,1,New Year,9048,0,256.6,1.0,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-01 13:00:00,13,0,0,2256,10,16.1,0.0,Clear,1,New Year,7603,0,225.6,1.0,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-01 14:00:00,14,0,0,2253,10,14.7,0.0,Clear,1,New Year,7075,0,225.3,1.0,high,5,Afternoon
BL19,Patel Nagar,Blue Line,2024-01-01 15:00:00,15,0,0,2635,10,12.4,0.0,Clear,1,New Year,7144,0,263.5,1.0,high,5,Afternoon
BL19,Patel Nagar,Blue Line,2024-01-01 16:00:00,16,0,0,2895,10,12.0,0.0,Clear,1,New Year,7783,0,289.5,1.0,high,5,Afternoon
BL19,Patel Nagar,Blue Line,2024-01-01 17:00:00,17,0,0,4464,18,12.6,0.0,Clear,1,New Year,9994,1,248.0,1.0,high,5,Evening Peak
BL19,Patel Nagar,Blue Line,2024-01-01 18:00:00,18,0,0,5575,18,11.8,0.0,Clear,1,New Year,12934,1,309.7,1.0,high,5,Evening Peak
BL19,Patel Nagar,Blue Line,2024-01-01 19:00:00,19,0,0,4877,18,9.4,0.0,Clear,1,New Year,14916,1,270.9,1.0,high,5,Evening Peak
BL19,Patel Nagar,Blue Line,2024-01-01 20:00:00,20,0,0,3437,18,9.6,0.0,Clear,1,New Year,13889,1,190.9,0.855,high,5,Evening Peak
BL19,Patel Nagar,Blue Line,2024-01-01 21:00:00,21,0,0,1550,7,8.6,0.0,Clear,1,New Year,9864,0,221.4,0.991,high,5,Night
BL19,Patel Nagar,Blue Line,2024-01-01 22:00:00,22,0,0,702,7,10.3,0.0,Clear,1,New Year,5689,0,100.3,0.449,medium,3,Night
BL19,Patel Nagar,Blue Line,2024-01-01 23:00:00,23,0,0,225,0,10.5,0.0,Clear,1,New Year,2477,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,927,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,225,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL19,Patel Nagar,Blue Line,2024-01-02 06:00:00,6,1,0,336,5,14.5,0.0,Clear,0,,336,0,67.2,0.301,low,2,Night
BL19,Patel Nagar,Blue Line,2024-01-02 07:00:00,7,1,0,1109,8,16.3,0.0,Clear,0,,1445,0,138.6,0.621,medium,4,Night
BL19,Patel Nagar,Blue Line,2024-01-02 08:00:00,8,1,0,3552,20,17.4,0.0,Cloudy,0,,4997,1,177.6,0.795,high,5,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-02 09:00:00,9,1,0,4105,20,18.4,0.0,Clear,0,,8766,1,205.2,0.919,high,5,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-02 10:00:00,10,1,0,2911,20,20.4,0.0,Cloudy,0,,10568,1,145.6,0.652,high,4,Morning Peak
BL19,Patel Nagar,Blue Line,2024-01-02 11:00:00,11,1,0,2063,10,19.8,0.0,Cloudy,0,,9079,0,206.3,0.924,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-02 12:00:00,12,1,0,2061,10,18.2,0.0,Clear,0,,7035,0,206.1,0.923,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-02 13:00:00,13,1,0,1744,10,16.1,0.0,Clear,0,,5868,0,174.4,0.781,high,5,Mid Morning
BL19,Patel Nagar,Blue Line,2024-01-02 14:00:00,14,1,0,1576,10,14.6,0.0,Clear,0,,5381,0,157.6,0.706,high,4,Afternoon
BL19,Patel Nagar,Blue Line,2024-01-02 15:00:00,15,1,0,1952,10,13.0,0.0,Clear,0,,5272,0,195.2,0.874,high,5,Afternoon
