station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL22,Rajendra Place,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL22,Rajendra Place,Blue Line,2024-01-01 06:00:00,6,0,0,83,5,13.7,0.0,Clear,1,New Year,83,0,16.6,0.365,medium,3,Night
BL22,Rajendra Place,Blue Line,2024-01-01 07:00:00,7,0,0,327,8,17.7,0.0,Cloudy,1,New Year,410,0,40.9,0.9,high,5,Night
BL22,Rajendra Place,Blue Line,2024-01-01 08:00:00,8,0,0,944,20,18.6,0.0,Clear,1,New Year,1354,1,47.2,1.0,high,5,Morning Peak
BL22,Rajendra Place,Blue Line,2024-01-01 09:00:00,9,0,0,1163,20,18.5,0.0,Clear,1,New Year,2434,1,58.1,1.0,high,5,Morning Peak
BL22,Rajendra Place,Blue Line,2024-01-01 10:00:00,10,0,0,814,20,18.5,0.0,Clear,1,New Year,2921,1,40.7,0.895,high,5,Morning Peak
BL22,Rajendra Place,Blue Line,2024-01-01 11:00:00,11,0,0,553,10,17.5,0.0,Clear,1,New Year,2530,0,55.3,1.0,high,5,Mid Morning
BL22,Rajendra Place,Blue Line,2024-01-01 12:00:00,12,0,0,539,10,18.0,0.0,Clear,1,New Year,1906,0,53.9,1.0,high,5,Mid Morning
BL22,Rajendra Place,Blue Line,2024-01-01 13:00:00,13,0,0,488,10,16.1,0.0,Clear,1,New Year,1580,0,48.8,1.0,high,5,Mid Morning
BL22,Rajendra Place,Blue Line,2024-01-01 14:00:00,14,0,0,458,10,14.7,0.0,Clear,1,New Year,1485,0,45.8,1.0,high,5,Afternoon
BL22,Rajendra Place,Blue Line,2024-01-01 15:00:00,15,0,0,513,10,12.4,0.0,Clear,1,New Year,1459,0,51.3,1.0,high,5,Afternoon
BL22,Rajendra Place,Blue Line,2024-01-01 16:00:00,16,0,0,596,10,12.0,0.0,Clear,1,New Year,1567,0,59.6,1.0,high,5,Afternoon
BL22,Rajendra Place,Blue Line,2024-01-01 17:00:00,17,0,0,1016,18,12.6,0.0,Clear,1,New Year,2125,1,56.4,1.0,high,5,Evening Peak
BL22,Rajendra Place,Blue Line,2024-01-01 18:00:00,18,0,0,1029,18,11.8,0.0,Clear,1,New Year,2641,1,57.2,1.0,high,5,Evening Peak
BL22,Rajendra Place,Blue Line,2024-01-01 19:00:00,19,0,0,974,18,9.4,0.0,Clear,1,New Year,3019,1,54.1,1.0,high,5,Evening Peak
BL22,Rajendra Place,Blue Line,2024-01-01 20:00:00,20,0,0,729,18,9.6,0.0,Clear,1,New Year,2732,1,40.5,0.891,high,5,Evening Peak
