station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL24,Ramesh Nagar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 06:00:00,6,0,0,63,5,13.7,0.0,Clear,1,New Year,63,0,12.6,0.403,medium,3,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 07:00:00,7,0,0,216,8,17.7,0.0,Cloudy,1,New Year,279,0,27.0,0.863,high,5,Night
BL24,Ramesh Nagar,Blue Line,2024-01-01 08:00:00,8,0,0,664,20,18.6,0.0,Clear,1,New Year,943,1,33.2,1.0,high,5,Morning Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 09:00:00,9,0,0,830,20,18.5,0.0,Clear,1,New Year,1710,1,41.5,1.0,high,5,Morning Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 10:00:00,10,0,0,542,20,18.5,0.0,Clear,1,New Year,2036,1,27.1,0.866,high,5,Morning Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 11:00:00,11,0,0,371,10,17.5,0.0,Clear,1,New Year,1743,0,37.1,1.0,high,5,Mid Morning
BL24,Ramesh Nagar,Blue Line,2024-01-01 12:00:00,12,0,0,354,10,18.0,0.0,Clear,1,New Year,1267,0,35.4,1.0,high,5,Mid Morning
BL24,Ramesh Nagar,Blue Line,2024-01-01 13:00:00,13,0,0,367,10,16.1,0.0,Clear,1,New Year,1092,0,36.7,1.0,high,5,Mid Morning
BL24,Ramesh Nagar,Blue Line,2024-01-01 14:00:00,14,0,0,325,10,14.7,0.0,Clear,1,New Year,1046,0,32.5,1.0,high,5,Afternoon
BL24,Ramesh Nagar,Blue Line,2024-01-01 15:00:00,15,0,0,372,10,12.4,0.0,Clear,1,New Year,1064,0,37.2,1.0,high,5,Afternoon
BL24,Ramesh Nagar,Blue Line,2024-01-01 16:00:00,16,0,0,420,10,12.0,0.0,Clear,1,New Year,1117,0,42.0,1.0,high,5,Afternoon
BL24,Ramesh Nagar,Blue Line,2024-01-01 17:00:00,17,0,0,622,18,12.6,0.0,Clear,1,New Year,1414,1,34.6,1.0,high,5,Evening Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 18:00:00,18,0,0,717,18,11.8,0.0,Clear,1,New Year,1759,1,39.8,1.0,high,5,Evening Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 19:00:00,19,0,0,697,18,9.4,0.0,Clear,1,New Year,2036,1,38.7,1.0,high,5,Evening Peak
BL24,Ramesh Nagar,Blue Line,2024-01-01 20:00:00,20,0,0,488,18,9.6,0.0,Clear,1,New Year,1902,1,27.1,0.866,high,5,Evening Peak
