station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL27,Tagore Garden,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-01 06:00:00,6,0,0,71,5,13.7,0.0,Clear,1,New Year,71,0,14.2,0.406,medium,3,Night
BL27,Tagore Garden,Blue Line,2024-01-01 07:00:00,7,0,0,266,8,17.7,0.0,Cloudy,1,New Year,337,0,33.2,0.949,high,5,Night
BL27,Tagore Garden,Blue Line,2024-01-01 08:00:00,8,0,0,778,20,18.6,0.0,Clear,1,New Year,1115,1,38.9,1.0,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-01 09:00:00,9,0,0,885,20,18.5,0.0,Clear,1,New Year,1929,1,44.2,1.0,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-01 10:00:00,10,0,0,629,20,18.5,0.0,Clear,1,New Year,2292,1,31.4,0.897,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-01 11:00:00,11,0,0,395,10,17.5,0.0,Clear,1,New Year,1909,0,39.5,1.0,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-01 12:00:00,12,0,0,413,10,18.0,0.0,Clear,1,New Year,1437,0,41.3,1.0,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-01 13:00:00,13,0,0,390,10,16.1,0.0,Clear,1,New Year,1198,0,39.0,1.0,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-01 14:00:00,14,0,0,368,10,14.7,0.0,Clear,1,New Year,1171,0,36.8,1.0,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-01 15:00:00,15,0,0,362,10,12.4,0.0,Clear,1,New Year,1120,0,36.2,1.0,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-01 16:00:00,16,0,0,468,10,12.0,0.0,Clear,1,New Year,1198,0,46.8,1.0,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-01 17:00:00,17,0,0,764,18,12.6,0.0,Clear,1,New Year,1594,1,42.4,1.0,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-01 18:00:00,18,0,0,841,18,11.8,0.0,Clear,1,New Year,2073,1,46.7,1.0,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-01 19:00:00,19,0,0,830,18,9.4,0.0,Clear,1,New Year,2435,1,46.1,1.0,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-01 20:00:00,20,0,0,602,18,9.6,0.0,Clear,1,New Year,2273,1,33.4,0.954,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-01 21:00:00,21,0,0,237,7,8.6,0.0,Clear,1,New Year,1669,0,33.9,0.969,high,5,Night
BL27,Tagore Garden,Blue Line,2024-01-01 22:00:00,22,0,0,108,7,10.3,0.0,Clear,1,New Year,947,0,15.4,0.44,medium,3,Night
BL27,Tagore Garden,Blue Line,2024-01-01 23:00:00,23,0,0,32,0,10.5,0.0,Clear,1,New Year,377,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,140,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,32,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-02 06:00:00,6,1,0,50,5,14.5,0.0,Clear,0,,50,0,10.0,0.286,low,2,Night
BL27,Tagore Garden,Blue Line,2024-01-02 07:00:00,7,1,0,194,8,16.3,0.0,Clear,0,,244,0,24.2,0.691,high,4,Night
BL27,Tagore Garden,Blue Line,2024-01-02 08:00:00,8,1,0,548,20,17.4,0.0,Cloudy,0,,792,1,27.4,0.783,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-02 09:00:00,9,1,0,696,20,18.4,0.0,Clear,0,,1438,1,34.8,0.994,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-02 10:00:00,10,1,0,474,20,20.4,0.0,Cloudy,0,,1718,1,23.7,0.677,high,4,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-02 11:00:00,11,1,0,323,10,19.8,0.0,Cloudy,0,,1493,0,32.3,0.923,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-02 12:00:00,12,1,0,322,10,18.2,0.0,Clear,0,,1119,0,32.2,0.92,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-02 13:00:00,13,1,0,289,10,16.1,0.0,Clear,0,,934,0,28.9,0.826,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-02 14:00:00,14,1,0,255,10,14.6,0.0,Clear,0,,866,0,25.5,0.729,high,4,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-02 15:00:00,15,1,0,296,10,13.0,0.0,Clear,0,,840,0,29.6,0.846,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-02 16:00:00,16,1,0,318,10,11.6,0.0,Clear,0,,869,0,31.8,0.909,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-02 17:00:00,17,1,0,517,18,11.3,0.0,Clear,0,,1131,1,28.7,0.82,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-02 18:00:00,18,1,0,614,18,11.6,0.0,Clear,0,,1449,1,34.1,0.974,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-02 19:00:00,19,1,0,582,18,10.7,0.0,Clear,0,,1713,1,32.3,0.923,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-02 20:00:00,20,1,0,450,18,11.3,0.0,Clear,0,,1646,1,25.0,0.714,high,4,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-02 21:00:00,21,1,0,178,7,9.6,0.0,Clear,0,,1210,0,25.4,0.726,high,4,Night
BL27,Tagore Garden,Blue Line,2024-01-02 22:00:00,22,1,0,76,7,9.8,0.0,Clear,0,,704,0,10.9,0.311,low,2,Night
BL27,Tagore Garden,Blue Line,2024-01-02 23:00:00,23,1,0,27,0,9.3,0.0,Clear,0,,281,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,103,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL27,Tagore Garden,Blue Line,2024-01-03 06:00:00,6,2,0,52,5,14.7,0.0,Cloudy,0,,52,0,10.4,0.297,low,2,Night
BL27,Tagore Garden,Blue Line,2024-01-03 07:00:00,7,2,0,184,8,16.2,0.0,Clear,0,,236,0,23.0,0.657,high,4,Night
BL27,Tagore Garden,Blue Line,2024-01-03 08:00:00,8,2,0,609,20,16.0,0.0,Clear,0,,845,1,30.4,0.869,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-03 09:00:00,9,2,0,707,20,19.3,0.0,Clear,0,,1500,1,35.4,1.0,high,5,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-03 10:00:00,10,2,0,426,20,18.1,0.0,Clear,0,,1742,1,21.3,0.609,medium,4,Morning Peak
BL27,Tagore Garden,Blue Line,2024-01-03 11:00:00,11,2,0,331,10,17.9,0.0,Clear,0,,1464,0,33.1,0.946,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-03 12:00:00,12,2,0,303,10,18.4,0.0,Clear,0,,1060,0,30.3,0.866,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-03 13:00:00,13,2,0,263,10,16.5,0.0,Clear,0,,897,0,26.3,0.751,high,5,Mid Morning
BL27,Tagore Garden,Blue Line,2024-01-03 14:00:00,14,2,0,268,10,14.9,0.0,Clear,0,,834,0,26.8,0.766,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-03 15:00:00,15,2,0,300,10,12.6,0.0,Clear,0,,831,0,30.0,0.857,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-03 16:00:00,16,2,0,327,10,11.3,0.0,Clear,0,,895,0,32.7,0.934,high,5,Afternoon
BL27,Tagore Garden,Blue Line,2024-01-03 17:00:00,17,2,0,549,18,10.7,0.0,Clear,0,,1176,1,30.5,0.871,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-03 18:00:00,18,2,0,607,18,11.1,0.0,Clear,0,,1483,1,33.7,0.963,high,5,Evening Peak
BL27,Tagore Garden,Blue Line,2024-01-03 19:00:00,19,2,0,562,18,11.5,0.0,Cloudy,0,,1718,1,31.2,0.891,high,5,Evening Peak
