station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL28,Tilak Nagar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 06:00:00,6,0,0,56,5,13.7,0.0,Clear,1,New Year,56,0,11.2,0.358,medium,3,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 07:00:00,7,0,0,234,8,17.7,0.0,Cloudy,1,New Year,290,0,29.2,0.933,high,5,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 08:00:00,8,0,0,728,20,18.6,0.0,Clear,1,New Year,1018,1,36.4,1.0,high,5,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 09:00:00,9,0,0,872,20,18.5,0.0,Clear,1,New Year,1834,1,43.6,1.0,high,5,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 10:00:00,10,0,0,584,20,18.5,0.0,Clear,1,New Year,2184,1,29.2,0.933,high,5,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 11:00:00,11,0,0,355,10,17.5,0.0,Clear,1,New Year,1811,0,35.5,1.0,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-01 12:00:00,12,0,0,388,10,18.0,0.0,Clear,1,New Year,1327,0,38.8,1.0,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-01 13:00:00,13,0,0,356,10,16.1,0.0,Clear,1,New Year,1099,0,35.6,1.0,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-01 14:00:00,14,0,0,308,10,14.7,0.0,Clear,1,New Year,1052,0,30.8,0.984,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-01 15:00:00,15,0,0,335,10,12.4,0.0,Clear,1,New Year,999,0,33.5,1.0,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-01 16:00:00,16,0,0,397,10,12.0,0.0,Clear,1,New Year,1040,0,39.7,1.0,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-01 17:00:00,17,0,0,650,18,12.6,0.0,Clear,1,New Year,1382,1,36.1,1.0,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 18:00:00,18,0,0,791,18,11.8,0.0,Clear,1,New Year,1838,1,43.9,1.0,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 19:00:00,19,0,0,738,18,9.4,0.0,Clear,1,New Year,2179,1,41.0,1.0,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 20:00:00,20,0,0,481,18,9.6,0.0,Clear,1,New Year,2010,1,26.7,0.853,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-01 21:00:00,21,0,0,214,7,8.6,0.0,Clear,1,New Year,1433,0,30.6,0.978,high,5,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 22:00:00,22,0,0,105,7,10.3,0.0,Clear,1,New Year,800,0,15.0,0.479,medium,3,Night
BL28,Tilak Nagar,Blue Line,2024-01-01 23:00:00,23,0,0,30,0,10.5,0.0,Clear,1,New Year,349,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,135,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,30,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 06:00:00,6,1,0,45,5,14.5,0.0,Clear,0,,45,0,9.0,0.288,low,2,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 07:00:00,7,1,0,180,8,16.3,0.0,Clear,0,,225,0,22.5,0.719,high,4,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 08:00:00,8,1,0,508,20,17.4,0.0,Cloudy,0,,733,1,25.4,0.812,high,5,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 09:00:00,9,1,0,629,20,18.4,0.0,Clear,0,,1317,1,31.4,1.0,high,5,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 10:00:00,10,1,0,426,20,20.4,0.0,Cloudy,0,,1563,1,21.3,0.681,high,4,Morning Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 11:00:00,11,1,0,268,10,19.8,0.0,Cloudy,0,,1323,0,26.8,0.856,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-02 12:00:00,12,1,0,301,10,18.2,0.0,Clear,0,,995,0,30.1,0.962,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-02 13:00:00,13,1,0,269,10,16.1,0.0,Clear,0,,838,0,26.9,0.859,high,5,Mid Morning
BL28,Tilak Nagar,Blue Line,2024-01-02 14:00:00,14,1,0,239,10,14.6,0.0,Clear,0,,809,0,23.9,0.764,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-02 15:00:00,15,1,0,242,10,13.0,0.0,Clear,0,,750,0,24.2,0.773,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-02 16:00:00,16,1,0,316,10,11.6,0.0,Clear,0,,797,0,31.6,1.0,high,5,Afternoon
BL28,Tilak Nagar,Blue Line,2024-01-02 17:00:00,17,1,0,506,18,11.3,0.0,Clear,0,,1064,1,28.1,0.898,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 18:00:00,18,1,0,588,18,11.6,0.0,Clear,0,,1410,1,32.7,1.0,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 19:00:00,19,1,0,530,18,10.7,0.0,Clear,0,,1624,1,29.4,0.939,high,5,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 20:00:00,20,1,0,409,18,11.3,0.0,Clear,0,,1527,1,22.7,0.725,high,4,Evening Peak
BL28,Tilak Nagar,Blue Line,2024-01-02 21:00:00,21,1,0,166,7,9.6,0.0,Clear,0,,1105,0,23.7,0.757,high,5,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 22:00:00,22,1,0,77,7,9.8,0.0,Clear,0,,652,0,11.0,0.351,medium,3,Night
BL28,Tilak Nagar,Blue Line,2024-01-02 23:00:00,23,1,0,22,0,9.3,0.0,Clear,0,,265,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,99,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 06:00:00,6,2,0,48,5,14.7,0.0,Cloudy,0,,48,0,9.6,0.307,low,2,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 07:00:00,7,2,0,162,8,16.2,0.0,Clear,0,,210,0,20.2,0.645,medium,4,Night
BL28,Tilak Nagar,Blue Line,2024-01-03 08:00:00,8,2,0,485,20,16.0,0.0,Clear,0,,695,1,24.2,0.773,high,5,Morning Peak
