station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL30,Uttam Nagar West,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 06:00:00,6,0,0,92,5,13.7,0.0,Clear,1,New Year,92,0,18.4,0.404,medium,3,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 07:00:00,7,0,0,334,8,17.7,0.0,Cloudy,1,New Year,426,0,41.8,0.919,high,5,Night
BL30,Uttam Nagar West,Blue Line,2024-01-01 08:00:00,8,0,0,1048,20,18.6,0.0,Clear,1,New Year,1474,1,52.4,1.0,high,5,Morning Peak
BL30,Uttam Nagar West,Blue Line,2024-01-01 09:00:00,9,0,0,1091,20,18.5,0.0,Clear,1,New Year,2473,1,54.5,1.0,high,5,Morning Peak
