station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL32,Karkardooma,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL32,Karkardooma,Blue Line,2024-01-01 06:00:00,6,0,0,83,5,13.7,0.0,Clear,1,New Year,83,0,16.6,0.396,medium,3,Night
BL32,Karkardooma,Blue Line,2024-01-01 07:00:00,7,0,0,283,8,17.7,0.0,Cloudy,1,New Year,366,0,35.4,0.845,high,5,Night
BL32,Karkardooma,Blue Line,2024-01-01 08:00:00,8,0,0,916,20,18.6,0.0,Clear,1,New Year,1282,1,45.8,1.0,high,5,Morning Peak
BL32,Karkardooma,Blue Line,2024-01-01 09:00:00,9,0,0,1027,20,18.5,0.0,Clear,1,New Year,2226,1,51.4,1.0,high,5,Morning Peak
BL32,Karkardooma,Blue Line,2024-01-01 10:00:00,10,0,0,689,20,18.5,0.0,Clear,1,New Year,2632,1,34.5,0.823,high,5,Morning Peak
BL32,Karkardooma,Blue Line,2024-01-01 11:00:00,11,0,0,540,10,17.5,0.0,Clear,1,New Year,2256,0,54.0,1.0,high,5,Mid Morning
BL32,Karkardooma,Blue Line,2024-01-01 12:00:00,12,0,0,479,10,18.0,0.0,Clear,1,New Year,1708,0,47.9,1.0,high,5,Mid Morning
BL32,Karkardooma,Blue Line,2024-01-01 13:00:00,13,0,0,454,10,16.1,0.0,Clear,1,New Year,1473,0,45.4,1.0,high,5,Mid Morning
BL32,Karkardooma,Blue Line,2024-01-01 14:00:00,14,0,0,415,10,14.7,0.0,Clear,1,New Year,1348,0,41.5,0.99,high,5,Afternoon
BL32,Karkardooma,Blue Line,2024-01-01 15:00:00,15,0,0,455,10,12.4,0.0,Clear,1,New Year,1324,0,45.5,1.0,high,5,Afternoon
BL32,Karkardooma,Blue Line,2024-01-01 16:00:00,16,0,0,543,10,12.0,0.0,Clear,1,New Year,1413,0,54.3,1.0,high,5,Afternoon
BL32,Karkardooma,Blue Line,2024-01-01 17:00:00,17,0,0,911,18,12.6,0.0,Clear,1,New Year,1909,1,50.6,1.0,high,5,Evening Peak
BL32,Karkardooma,Blue Line,2024-01-01 18:00:00,18,0,0,956,18,11.8,0.0,Clear,1,New Year,2410,1,53.1,1.0,high,5,Evening Peak
BL32,Karkardooma,Blue Line,2024-01-01 19:00:00,19,0,0,939,18,9.4,0.0,Clear,1,New Year,2806,1,52.2,1.0,high,5,Evening Peak
BL32,Karkardooma,Blue Line,2024-01-01 20:00:00,20,0,0,704,18,9.6,0.0,Clear,1,New Year,2599,1,39.1,0.933,high,5,Evening Peak
BL32,Karkardooma,Blue Line,2024-01-01 21:00:00,21,0,0,320,7,8.6,0.0,Clear,1,New Year,1963,0,45.7,1.0,high,5,Night
BL32,Karkardooma,Blue Line,2024-01-01 22:00:00,22,0,0,121,7,10.3,0.0,Clear,1,New Year,1145,0,17.3,0.413,medium,3,Night
BL32,Karkardooma,Blue Line,2024-01-01 23:00:00,23,0,0,41,0,10.5,0.0,Clear,1,New Year,482,0,0.0,0.0,low,1,Night
