station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL35,Preet Vihar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-01 06:00:00,6,0,0,86,5,13.7,0.0,Clear,1,New Year,86,0,17.2,0.379,medium,3,Night
BL35,Preet Vihar,Blue Line,2024-01-01 07:00:00,7,0,0,338,8,17.7,0.0,Cloudy,1,New Year,424,0,42.2,0.93,high,5,Night
BL35,Preet Vihar,Blue Line,2024-01-01 08:00:00,8,0,0,947,20,18.6,0.0,Clear,1,New Year,1371,1,47.4,1.0,high,5,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-01 09:00:00,9,0,0,1147,20,18.5,0.0,Clear,1,New Year,2432,1,57.4,1.0,high,5,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-01 10:00:00,10,0,0,750,20,18.5,0.0,Clear,1,New Year,2844,1,37.5,0.826,high,5,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-01 11:00:00,11,0,0,561,10,17.5,0.0,Clear,1,New Year,2458,0,56.1,1.0,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-01 12:00:00,12,0,0,542,10,18.0,0.0,Clear,1,New Year,1853,0,54.2,1.0,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-01 13:00:00,13,0,0,466,10,16.1,0.0,Clear,1,New Year,1569,0,46.6,1.0,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-01 14:00:00,14,0,0,496,10,14.7,0.0,Clear,1,New Year,1504,0,49.6,1.0,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-01 15:00:00,15,0,0,491,10,12.4,0.0,Clear,1,New Year,1453,0,49.1,1.0,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-01 16:00:00,16,0,0,634,10,12.0,0.0,Clear,1,New Year,1621,0,63.4,1.0,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-01 17:00:00,17,0,0,906,18,12.6,0.0,Clear,1,New Year,2031,1,50.3,1.0,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-01 18:00:00,18,0,0,1138,18,11.8,0.0,Clear,1,New Year,2678,1,63.2,1.0,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-01 19:00:00,19,0,0,946,18,9.4,0.0,Clear,1,New Year,2990,1,52.6,1.0,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-01 20:00:00,20,0,0,741,18,9.6,0.0,Clear,1,New Year,2825,1,41.2,0.907,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-01 21:00:00,21,0,0,343,7,8.6,0.0,Clear,1,New Year,2030,0,49.0,1.0,high,5,Night
BL35,Preet Vihar,Blue Line,2024-01-01 22:00:00,22,0,0,152,7,10.3,0.0,Clear,1,New Year,1236,0,21.7,0.478,medium,3,Night
BL35,Preet Vihar,Blue Line,2024-01-01 23:00:00,23,0,0,41,0,10.5,0.0,Clear,1,New Year,536,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,193,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,41,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-02 06:00:00,6,1,0,65,5,14.5,0.0,Clear,0,,65,0,13.0,0.286,low,2,Night
BL35,Preet Vihar,Blue Line,2024-01-02 07:00:00,7,1,0,229,8,16.3,0.0,Clear,0,,294,0,28.6,0.63,medium,4,Night
BL35,Preet Vihar,Blue Line,2024-01-02 08:00:00,8,1,0,738,20,17.4,0.0,Cloudy,0,,1032,1,36.9,0.813,high,5,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-02 09:00:00,9,1,0,830,20,18.4,0.0,Clear,0,,1797,1,41.5,0.914,high,5,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-02 10:00:00,10,1,0,608,20,20.4,0.0,Cloudy,0,,2176,1,30.4,0.67,high,4,Morning Peak
BL35,Preet Vihar,Blue Line,2024-01-02 11:00:00,11,1,0,408,10,19.8,0.0,Cloudy,0,,1846,0,40.8,0.899,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-02 12:00:00,12,1,0,376,10,18.2,0.0,Clear,0,,1392,0,37.6,0.828,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-02 13:00:00,13,1,0,367,10,16.1,0.0,Clear,0,,1151,0,36.7,0.808,high,5,Mid Morning
BL35,Preet Vihar,Blue Line,2024-01-02 14:00:00,14,1,0,353,10,14.6,0.0,Clear,0,,1096,0,35.3,0.778,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-02 15:00:00,15,1,0,395,10,13.0,0.0,Clear,0,,1115,0,39.5,0.87,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-02 16:00:00,16,1,0,440,10,11.6,0.0,Clear,0,,1188,0,44.0,0.969,high,5,Afternoon
BL35,Preet Vihar,Blue Line,2024-01-02 17:00:00,17,1,0,672,18,11.3,0.0,Clear,0,,1507,1,37.3,0.822,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-02 18:00:00,18,1,0,782,18,11.6,0.0,Clear,0,,1894,1,43.4,0.956,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-02 19:00:00,19,1,0,746,18,10.7,0.0,Clear,0,,2200,1,41.4,0.912,high,5,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-02 20:00:00,20,1,0,550,18,11.3,0.0,Clear,0,,2078,1,30.6,0.674,high,4,Evening Peak
BL35,Preet Vihar,Blue Line,2024-01-02 21:00:00,21,1,0,244,7,9.6,0.0,Clear,0,,1540,0,34.9,0.769,high,5,Night
BL35,Preet Vihar,Blue Line,2024-01-02 22:00:00,22,1,0,111,7,9.8,0.0,Clear,0,,905,0,15.9,0.35,medium,3,Night
BL35,Preet Vihar,Blue Line,2024-01-02 23:00:00,23,1,0,31,0,9.3,0.0,Clear,0,,386,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,142,0,0.0,0.0,low,1,Night
BL35,Preet Vihar,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,31,0,0.0,0.0,low,1,Night
