station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL36,Vaishali,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL36,Vaishali,Blue Line,2024-01-01 06:00:00,6,0,0,113,5,13.7,0.0,Clear,1,New Year,113,0,22.6,0.404,medium,3,Night
BL36,Vaishali,Blue Line,2024-01-01 07:00:00,7,0,0,433,8,17.7,0.0,Cloudy,1,New Year,546,0,54.1,0.967,high,5,Night
BL36,Vaishali,Blue Line,2024-01-01 08:00:00,8,0,0,1181,20,18.6,0.0,Clear,1,New Year,1727,1,59.0,1.0,high,5,Morning Peak
BL36,Vaishali,Blue Line,2024-01-01 09:00:00,9,0,0,1452,20,18.5,0.0,Clear,1,New Year,3066,1,72.6,1.0,high,5,Morning Peak
BL36,Vaishali,Blue Line,2024-01-01 10:00:00,10,0,0,1001,20,18.5,0.0,Clear,1,New Year,3634,1,50.0,0.894,high,5,Morning Peak
BL36,Vaishali,Blue Line,2024-01-01 11:00:00,11,0,0,726,10,17.5,0.0,Clear,1,New Year,3179,0,72.6,1.0,high,5,Mid Morning
BL36,Vaishali,Blue Line,2024-01-01 12:00:00,12,0,0,702,10,18.0,0.0,Clear,1,New Year,2429,0,70.2,1.0,high,5,Mid Morning
BL36,Vaishali,Blue Line,2024-01-01 13:00:00,13,0,0,579,10,16.1,0.0,Clear,1,New Year,2007,0,57.9,1.0,high,5,Mid Morning
BL36,Vaishali,Blue Line,2024-01-01 14:00:00,14,0,0,594,10,14.7,0.0,Clear,1,New Year,1875,0,59.4,1.0,high,5,Afternoon
BL36,Vaishali,Blue Line,2024-01-01 15:00:00,15,0,0,580,10,12.4,0.0,Clear,1,New Year,1753,0,58.0,1.0,high,5,Afternoon
BL36,Vaishali,Blue Line,2024-01-01 16:00:00,16,0,0,748,10,12.0,0.0,Clear,1,New Year,1922,0,74.8,1.0,high,5,Afternoon
BL36,Vaishali,Blue Line,2024-01-01 17:00:00,17,0,0,1165,18,12.6,0.0,Clear,1,New Year,2493,1,64.7,1.0,high,5,Evening Peak
