station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL46,Golf Course,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-01 06:00:00,6,0,0,51,5,13.7,0.0,Clear,1,New Year,51,0,10.2,0.366,medium,3,Night
BL46,Golf Course,Blue Line,2024-01-01 07:00:00,7,0,0,217,8,17.7,0.0,Cloudy,1,New Year,268,0,27.1,0.971,high,5,Night
BL46,Golf Course,Blue Line,2024-01-01 08:00:00,8,0,0,640,20,18.6,0.0,Clear,1,New Year,908,1,32.0,1.0,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-01 09:00:00,9,0,0,689,20,18.5,0.0,Clear,1,New Year,1546,1,34.5,1.0,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-01 10:00:00,10,0,0,454,20,18.5,0.0,Clear,1,New Year,1783,1,22.7,0.814,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-01 11:00:00,11,0,0,313,10,17.5,0.0,Clear,1,New Year,1456,0,31.3,1.0,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-01 12:00:00,12,0,0,338,10,18.0,0.0,Clear,1,New Year,1105,0,33.8,1.0,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-01 13:00:00,13,0,0,281,10,16.1,0.0,Clear,1,New Year,932,0,28.1,1.0,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-01 14:00:00,14,0,0,272,10,14.7,0.0,Clear,1,New Year,891,0,27.2,0.975,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-01 15:00:00,15,0,0,326,10,12.4,0.0,Clear,1,New Year,879,0,32.6,1.0,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-01 16:00:00,16,0,0,400,10,12.0,0.0,Clear,1,New Year,998,0,40.0,1.0,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-01 17:00:00,17,0,0,569,18,12.6,0.0,Clear,1,New Year,1295,1,31.6,1.0,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-01 18:00:00,18,0,0,678,18,11.8,0.0,Clear,1,New Year,1647,1,37.7,1.0,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-01 19:00:00,19,0,0,586,18,9.4,0.0,Clear,1,New Year,1833,1,32.6,1.0,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-01 20:00:00,20,0,0,433,18,9.6,0.0,Clear,1,New Year,1697,1,24.1,0.864,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-01 21:00:00,21,0,0,202,7,8.6,0.0,Clear,1,New Year,1221,0,28.9,1.0,high,5,Night
BL46,Golf Course,Blue Line,2024-01-01 22:00:00,22,0,0,84,7,10.3,0.0,Clear,1,New Year,719,0,12.0,0.43,medium,3,Night
BL46,Golf Course,Blue Line,2024-01-01 23:00:00,23,0,0,29,0,10.5,0.0,Clear,1,New Year,315,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,113,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,29,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-02 06:00:00,6,1,0,37,5,14.5,0.0,Clear,0,,37,0,7.4,0.265,low,2,Night
BL46,Golf Course,Blue Line,2024-01-02 07:00:00,7,1,0,141,8,16.3,0.0,Clear,0,,178,0,17.6,0.631,medium,4,Night
BL46,Golf Course,Blue Line,2024-01-02 08:00:00,8,1,0,478,20,17.4,0.0,Cloudy,0,,656,1,23.9,0.857,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-02 09:00:00,9,1,0,505,20,18.4,0.0,Clear,0,,1124,1,25.2,0.903,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-02 10:00:00,10,1,0,364,20,20.4,0.0,Cloudy,0,,1347,1,18.2,0.652,high,4,Morning Peak
BL46,Golf Course,Blue Line,2024-01-02 11:00:00,11,1,0,254,10,19.8,0.0,Cloudy,0,,1123,0,25.4,0.91,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-02 12:00:00,12,1,0,248,10,18.2,0.0,Clear,0,,866,0,24.8,0.889,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-02 13:00:00,13,1,0,210,10,16.1,0.0,Clear,0,,712,0,21.0,0.753,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-02 14:00:00,14,1,0,194,10,14.6,0.0,Clear,0,,652,0,19.4,0.695,high,4,Afternoon
BL46,Golf Course,Blue Line,2024-01-02 15:00:00,15,1,0,238,10,13.0,0.0,Clear,0,,642,0,23.8,0.853,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-02 16:00:00,16,1,0,291,10,11.6,0.0,Clear,0,,723,0,29.1,1.0,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-02 17:00:00,17,1,0,441,18,11.3,0.0,Clear,0,,970,1,24.5,0.878,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-02 18:00:00,18,1,0,474,18,11.6,0.0,Clear,0,,1206,1,26.3,0.943,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-02 19:00:00,19,1,0,457,18,10.7,0.0,Clear,0,,1372,1,25.4,0.91,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-02 20:00:00,20,1,0,321,18,11.3,0.0,Clear,0,,1252,1,17.8,0.638,medium,4,Evening Peak
BL46,Golf Course,Blue Line,2024-01-02 21:00:00,21,1,0,146,7,9.6,0.0,Clear,0,,924,0,20.9,0.749,high,4,Night
BL46,Golf Course,Blue Line,2024-01-02 22:00:00,22,1,0,63,7,9.8,0.0,Clear,0,,530,0,9.0,0.323,low,2,Night
BL46,Golf Course,Blue Line,2024-01-02 23:00:00,23,1,0,20,0,9.3,0.0,Clear,0,,229,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,83,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,20,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-03 06:00:00,6,2,0,37,5,14.7,0.0,Cloudy,0,,37,0,7.4,0.265,low,2,Night
BL46,Golf Course,Blue Line,2024-01-03 07:00:00,7,2,0,140,8,16.2,0.0,Clear,0,,177,0,17.5,0.627,medium,4,Night
BL46,Golf Course,Blue Line,2024-01-03 08:00:00,8,2,0,477,20,16.0,0.0,Clear,0,,654,1,23.9,0.857,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-03 09:00:00,9,2,0,543,20,19.3,0.0,Clear,0,,1160,1,27.1,0.971,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-03 10:00:00,10,2,0,331,20,18.1,0.0,Clear,0,,1351,1,16.6,0.595,medium,4,Morning Peak
BL46,Golf Course,Blue Line,2024-01-03 11:00:00,11,2,0,254,10,17.9,0.0,Clear,0,,1128,0,25.4,0.91,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-03 12:00:00,12,2,0,232,10,18.4,0.0,Clear,0,,817,0,23.2,0.832,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-03 13:00:00,13,2,0,229,10,16.5,0.0,Clear,0,,715,0,22.9,0.821,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-03 14:00:00,14,2,0,202,10,14.9,0.0,Clear,0,,663,0,20.2,0.724,high,4,Afternoon
BL46,Golf Course,Blue Line,2024-01-03 15:00:00,15,2,0,246,10,12.6,0.0,Clear,0,,677,0,24.6,0.882,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-03 16:00:00,16,2,0,264,10,11.3,0.0,Clear,0,,712,0,26.4,0.946,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-03 17:00:00,17,2,0,423,18,10.7,0.0,Clear,0,,933,1,23.5,0.842,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-03 18:00:00,18,2,0,528,18,11.1,0.0,Clear,0,,1215,1,29.3,1.0,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-03 19:00:00,19,2,0,455,18,11.5,0.0,Cloudy,0,,1406,1,25.3,0.907,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-03 20:00:00,20,2,0,315,18,10.0,0.0,Clear,0,,1298,1,17.5,0.627,medium,4,Evening Peak
BL46,Golf Course,Blue Line,2024-01-03 21:00:00,21,2,0,146,7,7.6,0.0,Clear,0,,916,0,20.9,0.749,high,4,Night
BL46,Golf Course,Blue Line,2024-01-03 22:00:00,22,2,0,61,7,10.0,0.0,Clear,0,,522,0,8.7,0.312,low,2,Night
BL46,Golf Course,Blue Line,2024-01-03 23:00:00,23,2,0,20,0,9.9,0.0,Clear,0,,227,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,81,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,20,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL46,Golf Course,Blue Line,2024-01-04 06:00:00,6,3,0,40,5,13.6,0.0,Clear,0,,40,0,8.0,0.287,low,2,Night
BL46,Golf Course,Blue Line,2024-01-04 07:00:00,7,3,0,147,8,16.3,0.0,Clear,0,,187,0,18.4,0.659,high,4,Night
BL46,Golf Course,Blue Line,2024-01-04 08:00:00,8,3,0,484,20,18.9,0.0,Clear,0,,671,1,24.2,0.867,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-04 09:00:00,9,3,0,557,20,21.2,0.0,Clear,0,,1188,1,27.9,1.0,high,5,Morning Peak
BL46,Golf Course,Blue Line,2024-01-04 10:00:00,10,3,0,349,20,19.8,0.0,Clear,0,,1390,1,17.4,0.624,medium,4,Morning Peak
BL46,Golf Course,Blue Line,2024-01-04 11:00:00,11,3,0,267,10,21.6,0.0,Clear,0,,1173,0,26.7,0.957,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-04 12:00:00,12,3,0,231,10,19.3,0.0,Clear,0,,847,0,23.1,0.828,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-04 13:00:00,13,3,0,234,10,17.4,0.0,Clear,0,,732,0,23.4,0.839,high,5,Mid Morning
BL46,Golf Course,Blue Line,2024-01-04 14:00:00,14,3,0,203,10,13.5,0.0,Clear,0,,668,0,20.3,0.728,high,4,Afternoon
BL46,Golf Course,Blue Line,2024-01-04 15:00:00,15,3,0,212,10,13.1,0.0,Clear,0,,649,0,21.2,0.76,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-04 16:00:00,16,3,0,282,10,11.6,0.0,Cloudy,0,,697,0,28.2,1.0,high,5,Afternoon
BL46,Golf Course,Blue Line,2024-01-04 17:00:00,17,3,0,400,18,12.0,0.0,Clear,0,,894,1,22.2,0.796,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-04 18:00:00,18,3,0,471,18,11.2,0.0,Clear,0,,1153,1,26.2,0.939,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-04 19:00:00,19,3,0,456,18,11.4,0.0,Clear,0,,1327,1,25.3,0.907,high,5,Evening Peak
BL46,Golf Course,Blue Line,2024-01-04 20:00:00,20,3,0,358,18,9.0,0.0,Clear,0,,1285,1,19.9,0.713,high,4,Evening Peak
BL46,Golf Course,Blue Line,2024-01-04 21:00:00,21,3,0,145,7,9.4,0.0,Clear,0,,959,0,20.7,0.742,high,4,Night
BL46,Golf Course,Blue Line,2024-01-04 22:00:00,22,3,0,64,7,9.6,0.0,Clear,0,,567,0,9.1,0.326,low,2,Night
BL46,Golf Course,Blue Line,2024-01-04 23:00:00,23,3,0,19,0,10.1,0.0,Clear,0,,228,0,0.0,0.0,low,1,Night
