station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL47,Indraprastha,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-01 06:00:00,6,0,0,80,5,13.7,0.0,Clear,1,New Year,80,0,16.0,0.408,medium,3,Night
BL47,Indraprastha,Blue Line,2024-01-01 07:00:00,7,0,0,268,8,17.7,0.0,Cloudy,1,New Year,348,0,33.5,0.855,high,5,Night
BL47,Indraprastha,Blue Line,2024-01-01 08:00:00,8,0,0,932,20,18.6,0.0,Clear,1,New Year,1280,1,46.6,1.0,high,5,Morning Peak
BL47,Indraprastha,Blue Line,2024-01-01 09:00:00,9,0,0,1066,20,18.5,0.0,Clear,1,New Year,2266,1,53.3,1.0,high,5,Morning Peak
BL47,Indraprastha,Blue Line,2024-01-01 10:00:00,10,0,0,652,20,18.5,0.0,Clear,1,New Year,2650,1,32.6,0.832,high,5,Morning Peak
BL47,Indraprastha,Blue Line,2024-01-01 11:00:00,11,0,0,509,10,17.5,0.0,Clear,1,New Year,2227,0,50.9,1.0,high,5,Mid Morning
BL47,Indraprastha,Blue Line,2024-01-01 12:00:00,12,0,0,439,10,18.0,0.0,Clear,1,New Year,1600,0,43.9,1.0,high,5,Mid Morning
BL47,Indraprastha,Blue Line,2024-01-01 13:00:00,13,0,0,420,10,16.1,0.0,Clear,1,New Year,1368,0,42.0,1.0,high,5,Mid Morning
BL47,Indraprastha,Blue Line,2024-01-01 14:00:00,14,0,0,425,10,14.7,0.0,Clear,1,New Year,1284,0,42.5,1.0,high,5,Afternoon
BL47,Indraprastha,Blue Line,2024-01-01 15:00:00,15,0,0,459,10,12.4,0.0,Clear,1,New Year,1304,0,45.9,1.0,high,5,Afternoon
BL47,Indraprastha,Blue Line,2024-01-01 16:00:00,16,0,0,530,10,12.0,0.0,Clear,1,New Year,1414,0,53.0,1.0,high,5,Afternoon
BL47,Indraprastha,Blue Line,2024-01-01 17:00:00,17,0,0,836,18,12.6,0.0,Clear,1,New Year,1825,1,46.4,1.0,high,5,Evening Peak
BL47,Indraprastha,Blue Line,2024-01-01 18:00:00,18,0,0,942,18,11.8,0.0,Clear,1,New Year,2308,1,52.3,1.0,high,5,Evening Peak
BL47,Indraprastha,Blue Line,2024-01-01 19:00:00,19,0,0,886,18,9.4,0.0,Clear,1,New Year,2664,1,49.2,1.0,high,5,Evening Peak
BL47,Indraprastha,Blue Line,2024-01-01 20:00:00,20,0,0,661,18,9.6,0.0,Clear,1,New Year,2489,1,36.7,0.936,high,5,Evening Peak
BL47,Indraprastha,Blue Line,2024-01-01 21:00:00,21,0,0,268,7,8.6,0.0,Clear,1,New Year,1815,0,38.3,0.977,high,5,Night
BL47,Indraprastha,Blue Line,2024-01-01 22:00:00,22,0,0,132,7,10.3,0.0,Clear,1,New Year,1061,0,18.9,0.482,medium,3,Night
BL47,Indraprastha,Blue Line,2024-01-01 23:00:00,23,0,0,37,0,10.5,0.0,Clear,1,New Year,437,0,0.0,0.0,low,1,Night
BL47,Indraprastha,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,169,0,0.0,0.0,low,1,Night
