station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL48,Mandi House,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL48,Mandi House,Blue Line,2024-01-01 06:00:00,6,0,0,1100,5,13.7,0.0,Clear,1,New Year,1100,0,220.0,0.411,medium,3,Night
BL48,Mandi House,Blue Line,2024-01-01 07:00:00,7,0,0,3670,8,17.7,0.0,Cloudy,1,New Year,4770,0,458.8,0.857,high,5,Night
BL48,Mandi House,Blue Line,2024-01-01 08:00:00,8,0,0,12756,20,18.6,0.0,Clear,1,New Year,17526,1,637.8,1.0,high,5,Morning Peak
BL48,Mandi House,Blue Line,2024-01-01 09:00:00,9,0,0,13899,20,18.5,0.0,Clear,1,New Year,30325,1,695.0,1.0,high,5,Morning Peak
BL48,Mandi House,Blue Line,2024-01-01 10:00:00,10,0,0,8923,20,18.5,0.0,Clear,1,New Year,35578,1,446.1,0.834,high,5,Morning Peak
BL48,Mandi House,Blue Line,2024-01-01 11:00:00,11,0,0,6949,10,17.5,0.0,Clear,1,New Year,29771,0,694.9,1.0,high,5,Mid Morning
BL48,Mandi House,Blue Line,2024-01-01 12:00:00,12,0,0,6078,10,18.0,0.0,Clear,1,New Year,21950,0,607.8,1.0,high,5,Mid Morning
BL48,Mandi House,Blue Line,2024-01-01 13:00:00,13,0,0,6282,10,16.1,0.0,Clear,1,New Year,19309,0,628.2,1.0,high,5,Mid Morning
BL48,Mandi House,Blue Line,2024-01-01 14:00:00,14,0,0,5643,10,14.7,0.0,Clear,1,New Year,18003,0,564.3,1.0,high,5,Afternoon
BL48,Mandi House,Blue Line,2024-01-01 15:00:00,15,0,0,5961,10,12.4,0.0,Clear,1,New Year,17886,0,596.1,1.0,high,5,Afternoon
BL48,Mandi House,Blue Line,2024-01-01 16:00:00,16,0,0,7511,10,12.0,0.0,Clear,1,New Year,19115,0,751.1,1.0,high,5,Afternoon
BL48,Mandi House,Blue Line,2024-01-01 17:00:00,17,0,0,11123,18,12.6,0.0,Clear,1,New Year,24595,1,617.9,1.0,high,5,Evening Peak
BL48,Mandi House,Blue Line,2024-01-01 18:00:00,18,0,0,12567,18,11.8,0.0,Clear,1,New Year,31201,1,698.2,1.0,high,5,Evening Peak
BL48,Mandi House,Blue Line,2024-01-01 19:00:00,19,0,0,12028,18,9.4,0.0,Clear,1,New Year,35718,1,668.2,1.0,high,5,Evening Peak
BL48,Mandi House,Blue Line,2024-01-01 20:00:00,20,0,0,9291,18,9.6,0.0,Clear,1,New Year,33886,1,516.2,0.965,high,5,Evening Peak
