station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL50,Nirman Vihar,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 06:00:00,6,0,0,52,5,13.7,0.0,Clear,1,New Year,52,0,10.4,0.371,medium,3,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 07:00:00,7,0,0,203,8,17.7,0.0,Cloudy,1,New Year,255,0,25.4,0.907,high,5,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 08:00:00,8,0,0,593,20,18.6,0.0,Clear,1,New Year,848,1,29.6,1.0,high,5,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 09:00:00,9,0,0,768,20,18.5,0.0,Clear,1,New Year,1564,1,38.4,1.0,high,5,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 10:00:00,10,0,0,473,20,18.5,0.0,Clear,1,New Year,1834,1,23.6,0.843,high,5,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 11:00:00,11,0,0,326,10,17.5,0.0,Clear,1,New Year,1567,0,32.6,1.0,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-01 12:00:00,12,0,0,331,10,18.0,0.0,Clear,1,New Year,1130,0,33.1,1.0,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-01 13:00:00,13,0,0,327,10,16.1,0.0,Clear,1,New Year,984,0,32.7,1.0,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-01 14:00:00,14,0,0,299,10,14.7,0.0,Clear,1,New Year,957,0,29.9,1.0,high,5,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-01 15:00:00,15,0,0,307,10,12.4,0.0,Clear,1,New Year,933,0,30.7,1.0,high,5,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-01 16:00:00,16,0,0,358,10,12.0,0.0,Clear,1,New Year,964,0,35.8,1.0,high,5,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-01 17:00:00,17,0,0,542,18,12.6,0.0,Clear,1,New Year,1207,1,30.1,1.0,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 18:00:00,18,0,0,671,18,11.8,0.0,Clear,1,New Year,1571,1,37.3,1.0,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 19:00:00,19,0,0,647,18,9.4,0.0,Clear,1,New Year,1860,1,35.9,1.0,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 20:00:00,20,0,0,464,18,9.6,0.0,Clear,1,New Year,1782,1,25.8,0.921,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-01 21:00:00,21,0,0,212,7,8.6,0.0,Clear,1,New Year,1323,0,30.3,1.0,high,5,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 22:00:00,22,0,0,88,7,10.3,0.0,Clear,1,New Year,764,0,12.6,0.45,medium,3,Night
BL50,Nirman Vihar,Blue Line,2024-01-01 23:00:00,23,0,0,27,0,10.5,0.0,Clear,1,New Year,327,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,115,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 06:00:00,6,1,0,41,5,14.5,0.0,Clear,0,,41,0,8.2,0.293,low,2,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 07:00:00,7,1,0,139,8,16.3,0.0,Clear,0,,180,0,17.4,0.621,medium,4,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 08:00:00,8,1,0,464,20,17.4,0.0,Cloudy,0,,644,1,23.2,0.829,high,5,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 09:00:00,9,1,0,509,20,18.4,0.0,Clear,0,,1112,1,25.4,0.907,high,5,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 10:00:00,10,1,0,351,20,20.4,0.0,Cloudy,0,,1324,1,17.6,0.629,medium,4,Morning Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 11:00:00,11,1,0,249,10,19.8,0.0,Cloudy,0,,1109,0,24.9,0.889,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-02 12:00:00,12,1,0,254,10,18.2,0.0,Clear,0,,854,0,25.4,0.907,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-02 13:00:00,13,1,0,232,10,16.1,0.0,Clear,0,,735,0,23.2,0.829,high,5,Mid Morning
BL50,Nirman Vihar,Blue Line,2024-01-02 14:00:00,14,1,0,199,10,14.6,0.0,Clear,0,,685,0,19.9,0.711,high,4,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-02 15:00:00,15,1,0,240,10,13.0,0.0,Clear,0,,671,0,24.0,0.857,high,5,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-02 16:00:00,16,1,0,270,10,11.6,0.0,Clear,0,,709,0,27.0,0.964,high,5,Afternoon
BL50,Nirman Vihar,Blue Line,2024-01-02 17:00:00,17,1,0,410,18,11.3,0.0,Clear,0,,920,1,22.8,0.814,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 18:00:00,18,1,0,469,18,11.6,0.0,Clear,0,,1149,1,26.1,0.932,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 19:00:00,19,1,0,460,18,10.7,0.0,Clear,0,,1339,1,25.6,0.914,high,5,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 20:00:00,20,1,0,323,18,11.3,0.0,Clear,0,,1252,1,17.9,0.639,medium,4,Evening Peak
BL50,Nirman Vihar,Blue Line,2024-01-02 21:00:00,21,1,0,157,7,9.6,0.0,Clear,0,,940,0,22.4,0.8,high,5,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 22:00:00,22,1,0,70,7,9.8,0.0,Clear,0,,550,0,10.0,0.357,medium,3,Night
BL50,Nirman Vihar,Blue Line,2024-01-02 23:00:00,23,1,0,20,0,9.3,0.0,Clear,0,,247,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,90,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,20,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL50,Nirman Vihar,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
