station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL51,Noida Electronic City,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 06:00:00,6,0,0,60,5,13.7,0.0,Clear,1,New Year,60,0,12.0,0.357,medium,3,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 07:00:00,7,0,0,228,8,17.7,0.0,Cloudy,1,New Year,288,0,28.5,0.848,high,5,Night
BL51,Noida Electronic City,Blue Line,2024-01-01 08:00:00,8,0,0,694,20,18.6,0.0,Clear,1,New Year,982,1,34.7,1.0,high,5,Morning Peak
BL51,Noida Electronic City,Blue Line,2024-01-01 09:00:00,9,0,0,885,20,18.5,0.0,Clear,1,New Year,1807,1,44.2,1.0,high,5,Morning Peak
BL51,Noida Electronic City,Blue Line,2024-01-01 10:00:00,10,0,0,589,20,18.5,0.0,Clear,1,New Year,2168,1,29.4,0.875,high,5,Morning Peak
BL51,Noida Electronic City,Blue Line,2024-01-01 11:00:00,11,0,0,414,10,17.5,0.0,Clear,1,New Year,1888,0,41.4,1.0,high,5,Mid Morning
BL51,Noida Electronic City,Blue Line,2024-01-01 12:00:00,12,0,0,405,10,18.0,0.0,Clear,1,New Year,1408,0,40.5,1.0,high,5,Mid Morning
BL51,Noida Electronic City,Blue Line,2024-01-01 13:00:00,13,0,0,345,10,16.1,0.0,Clear,1,New Year,1164,0,34.5,1.0,high,5,Mid Morning
BL51,Noida Electronic City,Blue Line,2024-01-01 14:00:00,14,0,0,324,10,14.7,0.0,Clear,1,New Year,1074,0,32.4,0.964,high,5,Afternoon
BL51,Noida Electronic City,Blue Line,2024-01-01 15:00:00,15,0,0,348,10,12.4,0.0,Clear,1,New Year,1017,0,34.8,1.0,high,5,Afternoon
BL51,Noida Electronic City,Blue Line,2024-01-01 16:00:00,16,0,0,462,10,12.0,0.0,Clear,1,New Year,1134,0,46.2,1.0,high,5,Afternoon
BL51,Noida Electronic City,Blue Line,2024-01-01 17:00:00,17,0,0,722,18,12.6,0.0,Clear,1,New Year,1532,1,40.1,1.0,high,5,Evening Peak
