station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL56,Noida Sector 62,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 06:00:00,6,0,0,57,5,13.7,0.0,Clear,1,New Year,57,0,11.4,0.409,medium,3,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 07:00:00,7,0,0,191,8,17.7,0.0,Cloudy,1,New Year,248,0,23.9,0.857,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 08:00:00,8,0,0,665,20,18.6,0.0,Clear,1,New Year,913,1,33.2,1.0,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 09:00:00,9,0,0,761,20,18.5,0.0,Clear,1,New Year,1617,1,38.0,1.0,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 10:00:00,10,0,0,466,20,18.5,0.0,Clear,1,New Year,1892,1,23.3,0.835,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 11:00:00,11,0,0,363,10,17.5,0.0,Clear,1,New Year,1590,0,36.3,1.0,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-01 12:00:00,12,0,0,314,10,18.0,0.0,Clear,1,New Year,1143,0,31.4,1.0,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-01 13:00:00,13,0,0,300,10,16.1,0.0,Clear,1,New Year,977,0,30.0,1.0,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-01 14:00:00,14,0,0,303,10,14.7,0.0,Clear,1,New Year,917,0,30.3,1.0,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-01 15:00:00,15,0,0,328,10,12.4,0.0,Clear,1,New Year,931,0,32.8,1.0,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-01 16:00:00,16,0,0,378,10,12.0,0.0,Clear,1,New Year,1009,0,37.8,1.0,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-01 17:00:00,17,0,0,597,18,12.6,0.0,Clear,1,New Year,1303,1,33.2,1.0,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 18:00:00,18,0,0,673,18,11.8,0.0,Clear,1,New Year,1648,1,37.4,1.0,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 19:00:00,19,0,0,633,18,9.4,0.0,Clear,1,New Year,1903,1,35.2,1.0,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 20:00:00,20,0,0,472,18,9.6,0.0,Clear,1,New Year,1778,1,26.2,0.939,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-01 21:00:00,21,0,0,192,7,8.6,0.0,Clear,1,New Year,1297,0,27.4,0.982,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 22:00:00,22,0,0,94,7,10.3,0.0,Clear,1,New Year,758,0,13.4,0.48,medium,3,Night
BL56,Noida Sector 62,Blue Line,2024-01-01 23:00:00,23,0,0,26,0,10.5,0.0,Clear,1,New Year,312,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,120,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,26,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 06:00:00,6,1,0,39,5,14.5,0.0,Clear,0,,39,0,7.8,0.28,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 07:00:00,7,1,0,152,8,16.3,0.0,Clear,0,,191,0,19.0,0.681,high,4,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 08:00:00,8,1,0,445,20,17.4,0.0,Cloudy,0,,636,1,22.2,0.796,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 09:00:00,9,1,0,577,20,18.4,0.0,Clear,0,,1174,1,28.9,1.0,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 10:00:00,10,1,0,370,20,20.4,0.0,Cloudy,0,,1392,1,18.5,0.663,high,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 11:00:00,11,1,0,239,10,19.8,0.0,Cloudy,0,,1186,0,23.9,0.857,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-02 12:00:00,12,1,0,260,10,18.2,0.0,Clear,0,,869,0,26.0,0.932,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-02 13:00:00,13,1,0,236,10,16.1,0.0,Clear,0,,735,0,23.6,0.846,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-02 14:00:00,14,1,0,209,10,14.6,0.0,Clear,0,,705,0,20.9,0.749,high,4,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-02 15:00:00,15,1,0,213,10,13.0,0.0,Clear,0,,658,0,21.3,0.763,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-02 16:00:00,16,1,0,261,10,11.6,0.0,Clear,0,,683,0,26.1,0.935,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-02 17:00:00,17,1,0,452,18,11.3,0.0,Clear,0,,926,1,25.1,0.9,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 18:00:00,18,1,0,466,18,11.6,0.0,Clear,0,,1179,1,25.9,0.928,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 19:00:00,19,1,0,479,18,10.7,0.0,Clear,0,,1397,1,26.6,0.953,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 20:00:00,20,1,0,323,18,11.3,0.0,Clear,0,,1268,1,17.9,0.642,medium,4,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-02 21:00:00,21,1,0,148,7,9.6,0.0,Clear,0,,950,0,21.1,0.756,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 22:00:00,22,1,0,64,7,9.8,0.0,Clear,0,,535,0,9.1,0.326,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-02 23:00:00,23,1,0,21,0,9.3,0.0,Clear,0,,233,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,85,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,21,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 06:00:00,6,2,0,40,5,14.7,0.0,Cloudy,0,,40,0,8.0,0.287,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 07:00:00,7,2,0,148,8,16.2,0.0,Clear,0,,188,0,18.5,0.663,high,4,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 08:00:00,8,2,0,489,20,16.0,0.0,Clear,0,,677,1,24.4,0.875,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 09:00:00,9,2,0,520,20,19.3,0.0,Clear,0,,1157,1,26.0,0.932,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 10:00:00,10,2,0,385,20,18.1,0.0,Clear,0,,1394,1,19.2,0.688,high,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 11:00:00,11,2,0,265,10,17.9,0.0,Clear,0,,1170,0,26.5,0.95,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-03 12:00:00,12,2,0,240,10,18.4,0.0,Clear,0,,890,0,24.0,0.86,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-03 13:00:00,13,2,0,217,10,16.5,0.0,Clear,0,,722,0,21.7,0.778,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-03 14:00:00,14,2,0,194,10,14.9,0.0,Clear,0,,651,0,19.4,0.695,high,4,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-03 15:00:00,15,2,0,224,10,12.6,0.0,Clear,0,,635,0,22.4,0.803,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-03 16:00:00,16,2,0,283,10,11.3,0.0,Clear,0,,701,0,28.3,1.0,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-03 17:00:00,17,2,0,461,18,10.7,0.0,Clear,0,,968,1,25.6,0.918,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 18:00:00,18,2,0,537,18,11.1,0.0,Clear,0,,1281,1,29.8,1.0,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 19:00:00,19,2,0,486,18,11.5,0.0,Cloudy,0,,1484,1,27.0,0.968,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 20:00:00,20,2,0,365,18,10.0,0.0,Clear,0,,1388,1,20.3,0.728,high,4,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-03 21:00:00,21,2,0,156,7,7.6,0.0,Clear,0,,1007,0,22.3,0.799,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 22:00:00,22,2,0,63,7,10.0,0.0,Clear,0,,584,0,9.0,0.323,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-03 23:00:00,23,2,0,21,0,9.9,0.0,Clear,0,,240,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,84,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,21,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 06:00:00,6,3,0,41,5,13.6,0.0,Clear,0,,41,0,8.2,0.294,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 07:00:00,7,3,0,149,8,16.3,0.0,Clear,0,,190,0,18.6,0.667,high,4,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 08:00:00,8,3,0,472,20,18.9,0.0,Clear,0,,662,1,23.6,0.846,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 09:00:00,9,3,0,574,20,21.2,0.0,Clear,0,,1195,1,28.7,1.0,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 10:00:00,10,3,0,381,20,19.8,0.0,Clear,0,,1427,1,19.1,0.685,high,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 11:00:00,11,3,0,262,10,21.6,0.0,Clear,0,,1217,0,26.2,0.939,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-04 12:00:00,12,3,0,230,10,19.3,0.0,Clear,0,,873,0,23.0,0.824,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-04 13:00:00,13,3,0,216,10,17.4,0.0,Clear,0,,708,0,21.6,0.774,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-04 14:00:00,14,3,0,211,10,13.5,0.0,Clear,0,,657,0,21.1,0.756,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-04 15:00:00,15,3,0,221,10,13.1,0.0,Clear,0,,648,0,22.1,0.792,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-04 16:00:00,16,3,0,258,10,11.6,0.0,Cloudy,0,,690,0,25.8,0.925,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-04 17:00:00,17,3,0,454,18,12.0,0.0,Clear,0,,933,1,25.2,0.903,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 18:00:00,18,3,0,475,18,11.2,0.0,Clear,0,,1187,1,26.4,0.946,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 19:00:00,19,3,0,481,18,11.4,0.0,Clear,0,,1410,1,26.7,0.957,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 20:00:00,20,3,0,340,18,9.0,0.0,Clear,0,,1296,1,18.9,0.677,high,4,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-04 21:00:00,21,3,0,151,7,9.4,0.0,Clear,0,,972,0,21.6,0.774,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 22:00:00,22,3,0,64,7,9.6,0.0,Clear,0,,555,0,9.1,0.326,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-04 23:00:00,23,3,0,19,0,10.1,0.0,Clear,0,,234,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,83,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 01:00:00,1,4,0,0,0,12.0,0.0,Clear,0,,19,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 02:00:00,2,4,0,0,0,13.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 03:00:00,3,4,0,0,0,13.8,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 04:00:00,4,4,0,0,0,15.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 05:00:00,5,4,0,0,0,12.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 06:00:00,6,4,0,43,5,13.9,0.0,Clear,0,,43,0,8.6,0.308,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 07:00:00,7,4,0,161,8,17.2,0.0,Clear,0,,204,0,20.1,0.72,high,4,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 08:00:00,8,4,0,479,20,17.1,0.0,Clear,0,,683,1,23.9,0.857,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 09:00:00,9,4,0,552,20,19.6,0.0,Cloudy,0,,1192,1,27.6,0.989,high,5,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 10:00:00,10,4,0,357,20,19.2,0.0,Clear,0,,1388,1,17.9,0.642,medium,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 11:00:00,11,4,0,244,10,20.4,0.0,Clear,0,,1153,0,24.4,0.875,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-05 12:00:00,12,4,0,227,10,18.5,0.2,Light Rain,0,,828,0,22.7,0.814,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-05 13:00:00,13,4,0,220,10,15.8,0.7,Light Rain,0,,691,0,22.0,0.789,high,5,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-05 14:00:00,14,4,0,210,10,16.1,0.6,Light Rain,0,,657,0,21.0,0.753,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-05 15:00:00,15,4,0,229,10,11.6,0.9,Light Rain,0,,659,0,22.9,0.821,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-05 16:00:00,16,4,0,268,10,13.4,0.6,Light Rain,0,,707,0,26.8,0.961,high,5,Afternoon
BL56,Noida Sector 62,Blue Line,2024-01-05 17:00:00,17,4,0,423,18,11.5,0.5,Light Rain,0,,920,1,23.5,0.842,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 18:00:00,18,4,0,483,18,10.9,0.5,Light Rain,0,,1174,1,26.8,0.961,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 19:00:00,19,4,0,447,18,12.1,0.7,Light Rain,0,,1353,1,24.8,0.889,high,5,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 20:00:00,20,4,0,335,18,10.9,0.8,Light Rain,0,,1265,1,18.6,0.667,high,4,Evening Peak
BL56,Noida Sector 62,Blue Line,2024-01-05 21:00:00,21,4,0,148,7,11.2,0.0,Clear,0,,930,0,21.1,0.756,high,5,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 22:00:00,22,4,0,61,7,11.7,0.0,Clear,0,,544,0,8.7,0.312,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-05 23:00:00,23,4,0,21,0,10.7,0.0,Clear,0,,230,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 00:00:00,0,5,1,0,0,13.2,0.0,Clear,0,,82,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 01:00:00,1,5,1,0,0,12.0,0.0,Clear,0,,21,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 02:00:00,2,5,1,0,0,14.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 03:00:00,3,5,1,0,0,12.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 04:00:00,4,5,1,0,0,15.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 05:00:00,5,5,1,0,0,12.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 06:00:00,6,5,1,30,5,16.7,0.0,Clear,0,,30,0,6.0,0.215,low,2,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 07:00:00,7,5,1,104,8,17.3,0.0,Clear,0,,134,0,13.0,0.466,medium,3,Night
BL56,Noida Sector 62,Blue Line,2024-01-06 08:00:00,8,5,1,353,20,18.9,0.0,Clear,0,,487,1,17.6,0.631,medium,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-06 09:00:00,9,5,1,381,20,18.7,0.0,Clear,0,,838,1,19.1,0.685,high,4,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-06 10:00:00,10,5,1,273,20,19.1,0.0,Clear,0,,1007,1,13.7,0.491,medium,3,Morning Peak
BL56,Noida Sector 62,Blue Line,2024-01-06 11:00:00,11,5,1,172,10,19.8,0.0,Clear,0,,826,0,17.2,0.616,medium,4,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-06 12:00:00,12,5,1,172,10,18.6,0.4,Light Rain,0,,617,0,17.2,0.616,medium,4,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-06 13:00:00,13,5,1,163,10,18.6,0.3,Light Rain,0,,507,0,16.3,0.584,medium,4,Mid Morning
BL56,Noida Sector 62,Blue Line,2024-01-06 14:00:00,14,5,1,153,10,15.5,0.4,Light Rain,0,,488,0,15.3,0.548,medium,3,Afternoon
