station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
BL57,Supreme Court,Blue Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
BL57,Supreme Court,Blue Line,2024-01-01 06:00:00,6,0,0,92,5,13.7,0.0,Clear,1,New Year,92,0,18.4,0.413,medium,3,Night
BL57,Supreme Court,Blue Line,2024-01-01 07:00:00,7,0,0,305,8,17.7,0.0,Cloudy,1,New Year,397,0,38.1,0.856,high,5,Night
BL57,Supreme Court,Blue Line,2024-01-01 08:00:00,8,0,0,1061,20,18.6,0.0,Clear,1,New Year,1458,1,53.0,1.0,high,5,Morning Peak
BL57,Supreme Court,Blue Line,2024-01-01 09:00:00,9,0,0,1156,20,18.5,0.0,Clear,1,New Year,2522,1,57.8,1.0,high,5,Morning Peak
BL57,Supreme Court,Blue Line,2024-01-01 10:00:00,10,0,0,742,20,18.5,0.0,Clear,1,New Year,2959,1,37.1,0.834,high,5,Morning Peak
BL57,Supreme Court,Blue Line,2024-01-01 11:00:00,11,0,0,578,10,17.5,0.0,Clear,1,New Year,2476,0,57.8,1.0,high,5,Mid Morning
BL57,Supreme Court,Blue Line,2024-01-01 12:00:00,12,0,0,506,10,18.0,0.0,Clear,1,New Year,1826,0,50.6,1.0,high,5,Mid Morning
BL57,Supreme Court,Blue Line,2024-01-01 13:00:00,13,0,0,523,10,16.1,0.0,Clear,1,New Year,1607,0,52.3,1.0,high,5,Mid Morning
BL57,Supreme Court,Blue Line,2024-01-01 14:00:00,14,0,0,470,10,14.7,0.0,Clear,1,New Year,1499,0,47.0,1.0,high,5,Afternoon
BL57,Supreme Court,Blue Line,2024-01-01 15:00:00,15,0,0,496,10,12.4,0.0,Clear,1,New Year,1489,0,49.6,1.0,high,5,Afternoon
BL57,Supreme Court,Blue Line,2024-01-01 16:00:00,16,0,0,625,10,12.0,0.0,Clear,1,New Year,1591,0,62.5,1.0,high,5,Afternoon
BL57,Supreme Court,Blue Line,2024-01-01 17:00:00,17,0,0,925,18,12.6,0.0,Clear,1,New Year,2046,1,51.4,1.0,high,5,Evening Peak
BL57,Supreme Court,Blue Line,2024-01-01 18:00:00,18,0,0,1046,18,11.8,0.0,Clear,1,New Year,2596,1,58.1,1.0,high,5,Evening Peak
