station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR01,Mundka,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-01 06:00:00,6,0,0,29,4,13.7,0.0,Clear,1,New Year,29,0,7.2,0.362,medium,3,Night
GR01,Mundka,Green Line,2024-01-01 07:00:00,7,0,0,108,6,17.7,0.0,Cloudy,1,New Year,137,0,18.0,0.905,high,5,Night
GR01,Mundka,Green Line,2024-01-01 08:00:00,8,0,0,333,14,18.6,0.0,Clear,1,New Year,470,1,23.8,1.0,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-01 09:00:00,9,0,0,343,14,18.5,0.0,Clear,1,New Year,784,1,24.5,1.0,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-01 10:00:00,10,0,0,252,14,18.5,0.0,Clear,1,New Year,928,1,18.0,0.905,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-01 11:00:00,11,0,0,159,7,17.5,0.0,Clear,1,New Year,754,0,22.7,1.0,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-01 12:00:00,12,0,0,164,7,18.0,0.0,Clear,1,New Year,575,0,23.4,1.0,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-01 13:00:00,13,0,0,161,7,16.1,0.0,Clear,1,New Year,484,0,23.0,1.0,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-01 14:00:00,14,0,0,139,7,14.7,0.0,Clear,1,New Year,464,0,19.9,1.0,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-01 15:00:00,15,0,0,167,7,12.4,0.0,Clear,1,New Year,467,0,23.9,1.0,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-01 16:00:00,16,0,0,184,7,12.0,0.0,Clear,1,New Year,490,0,26.3,1.0,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-01 17:00:00,17,0,0,267,13,12.6,0.0,Clear,1,New Year,618,1,20.5,1.0,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-01 18:00:00,18,0,0,342,13,11.8,0.0,Clear,1,New Year,793,1,26.3,1.0,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-01 19:00:00,19,0,0,301,13,9.4,0.0,Clear,1,New Year,910,1,23.2,1.0,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-01 20:00:00,20,0,0,245,13,9.6,0.0,Clear,1,New Year,888,1,18.8,0.945,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-01 21:00:00,21,0,0,103,5,8.6,0.0,Clear,1,New Year,649,0,20.6,1.0,high,5,Night
GR01,Mundka,Green Line,2024-01-01 22:00:00,22,0,0,40,5,10.3,0.0,Clear,1,New Year,388,0,8.0,0.402,medium,3,Night
GR01,Mundka,Green Line,2024-01-01 23:00:00,23,0,0,14,0,10.5,0.0,Clear,1,New Year,157,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,54,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,14,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-02 06:00:00,6,1,0,21,4,14.5,0.0,Clear,0,,21,0,5.2,0.261,low,2,Night
GR01,Mundka,Green Line,2024-01-02 07:00:00,7,1,0,70,6,16.3,0.0,Clear,0,,91,0,11.7,0.588,medium,4,Night
GR01,Mundka,Green Line,2024-01-02 08:00:00,8,1,0,239,14,17.4,0.0,Cloudy,0,,330,1,17.1,0.859,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-02 09:00:00,9,1,0,253,14,18.4,0.0,Clear,0,,562,1,18.1,0.91,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-02 10:00:00,10,1,0,168,14,20.4,0.0,Cloudy,0,,660,1,12.0,0.603,medium,4,Morning Peak
GR01,Mundka,Green Line,2024-01-02 11:00:00,11,1,0,129,7,19.8,0.0,Cloudy,0,,550,0,18.4,0.925,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-02 12:00:00,12,1,0,129,7,18.2,0.0,Clear,0,,426,0,18.4,0.925,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-02 13:00:00,13,1,0,112,7,16.1,0.0,Clear,0,,370,0,16.0,0.804,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-02 14:00:00,14,1,0,113,7,14.6,0.0,Clear,0,,354,0,16.1,0.809,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-02 15:00:00,15,1,0,108,7,13.0,0.0,Clear,0,,333,0,15.4,0.774,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-02 16:00:00,16,1,0,142,7,11.6,0.0,Clear,0,,363,0,20.3,1.0,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-02 17:00:00,17,1,0,221,13,11.3,0.0,Clear,0,,471,1,17.0,0.854,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-02 18:00:00,18,1,0,255,13,11.6,0.0,Clear,0,,618,1,19.6,0.985,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-02 19:00:00,19,1,0,227,13,10.7,0.0,Clear,0,,703,1,17.5,0.879,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-02 20:00:00,20,1,0,162,13,11.3,0.0,Clear,0,,644,1,12.5,0.628,medium,4,Evening Peak
GR01,Mundka,Green Line,2024-01-02 21:00:00,21,1,0,70,5,9.6,0.0,Clear,0,,459,0,14.0,0.704,high,4,Night
GR01,Mundka,Green Line,2024-01-02 22:00:00,22,1,0,35,5,9.8,0.0,Clear,0,,267,0,7.0,0.352,medium,3,Night
GR01,Mundka,Green Line,2024-01-02 23:00:00,23,1,0,9,0,9.3,0.0,Clear,0,,114,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,44,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,9,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR01,Mundka,Green Line,2024-01-03 06:00:00,6,2,0,19,4,14.7,0.0,Cloudy,0,,19,0,4.8,0.241,low,2,Night
GR01,Mundka,Green Line,2024-01-03 07:00:00,7,2,0,79,6,16.2,0.0,Clear,0,,98,0,13.2,0.663,high,4,Night
GR01,Mundka,Green Line,2024-01-03 08:00:00,8,2,0,217,14,16.0,0.0,Clear,0,,315,1,15.5,0.779,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-03 09:00:00,9,2,0,252,14,19.3,0.0,Clear,0,,548,1,18.0,0.905,high,5,Morning Peak
GR01,Mundka,Green Line,2024-01-03 10:00:00,10,2,0,178,14,18.1,0.0,Clear,0,,647,1,12.7,0.638,medium,4,Morning Peak
GR01,Mundka,Green Line,2024-01-03 11:00:00,11,2,0,129,7,17.9,0.0,Clear,0,,559,0,18.4,0.925,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-03 12:00:00,12,2,0,128,7,18.4,0.0,Clear,0,,435,0,18.3,0.92,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-03 13:00:00,13,2,0,118,7,16.5,0.0,Clear,0,,375,0,16.9,0.849,high,5,Mid Morning
GR01,Mundka,Green Line,2024-01-03 14:00:00,14,2,0,102,7,14.9,0.0,Clear,0,,348,0,14.6,0.734,high,4,Afternoon
GR01,Mundka,Green Line,2024-01-03 15:00:00,15,2,0,121,7,12.6,0.0,Clear,0,,341,0,17.3,0.869,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-03 16:00:00,16,2,0,135,7,11.3,0.0,Clear,0,,358,0,19.3,0.97,high,5,Afternoon
GR01,Mundka,Green Line,2024-01-03 17:00:00,17,2,0,214,13,10.7,0.0,Clear,0,,470,1,16.5,0.829,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-03 18:00:00,18,2,0,240,13,11.1,0.0,Clear,0,,589,1,18.5,0.93,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-03 19:00:00,19,2,0,219,13,11.5,0.0,Cloudy,0,,673,1,16.8,0.844,high,5,Evening Peak
GR01,Mundka,Green Line,2024-01-03 20:00:00,20,2,0,175,13,10.0,0.0,Clear,0,,634,1,13.5,0.678,high,4,Evening Peak
GR01,Mundka,Green Line,2024-01-03 21:00:00,21,2,0,76,5,7.6,0.0,Clear,0,,470,0,15.2,0.764,high,5,Night
GR01,Mundka,Green Line,2024-01-03 22:00:00,22,2,0,31,5,10.0,0.0,Clear,0,,282,0,6.2,0.312,low,2,Night
