station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR02,Nangloi,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-01 06:00:00,6,0,0,44,4,13.7,0.0,Clear,1,New Year,44,0,11.0,0.372,medium,3,Night
GR02,Nangloi,Green Line,2024-01-01 07:00:00,7,0,0,141,6,17.7,0.0,Cloudy,1,New Year,185,0,23.5,0.794,high,5,Night
GR02,Nangloi,Green Line,2024-01-01 08:00:00,8,0,0,500,14,18.6,0.0,Clear,1,New Year,685,1,35.7,1.0,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-01 09:00:00,9,0,0,548,14,18.5,0.0,Clear,1,New Year,1189,1,39.1,1.0,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-01 10:00:00,10,0,0,342,14,18.5,0.0,Clear,1,New Year,1390,1,24.4,0.824,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-01 11:00:00,11,0,0,265,7,17.5,0.0,Clear,1,New Year,1155,0,37.9,1.0,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-01 12:00:00,12,0,0,248,7,18.0,0.0,Clear,1,New Year,855,0,35.4,1.0,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-01 13:00:00,13,0,0,242,7,16.1,0.0,Clear,1,New Year,755,0,34.6,1.0,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-01 14:00:00,14,0,0,206,7,14.7,0.0,Clear,1,New Year,696,0,29.4,0.993,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-01 15:00:00,15,0,0,244,7,12.4,0.0,Clear,1,New Year,692,0,34.9,1.0,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-01 16:00:00,16,0,0,296,7,12.0,0.0,Clear,1,New Year,746,0,42.3,1.0,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-01 17:00:00,17,0,0,465,13,12.6,0.0,Clear,1,New Year,1005,1,35.8,1.0,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-01 18:00:00,18,0,0,485,13,11.8,0.0,Clear,1,New Year,1246,1,37.3,1.0,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-01 19:00:00,19,0,0,500,13,9.4,0.0,Clear,1,New Year,1450,1,38.5,1.0,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-01 20:00:00,20,0,0,351,13,9.6,0.0,Clear,1,New Year,1336,1,27.0,0.912,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-01 21:00:00,21,0,0,161,5,8.6,0.0,Clear,1,New Year,1012,0,32.2,1.0,high,5,Night
GR02,Nangloi,Green Line,2024-01-01 22:00:00,22,0,0,65,5,10.3,0.0,Clear,1,New Year,577,0,13.0,0.439,medium,3,Night
GR02,Nangloi,Green Line,2024-01-01 23:00:00,23,0,0,19,0,10.5,0.0,Clear,1,New Year,245,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,84,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-02 06:00:00,6,1,0,30,4,14.5,0.0,Clear,0,,30,0,7.5,0.253,low,2,Night
GR02,Nangloi,Green Line,2024-01-02 07:00:00,7,1,0,111,6,16.3,0.0,Clear,0,,141,0,18.5,0.625,medium,4,Night
GR02,Nangloi,Green Line,2024-01-02 08:00:00,8,1,0,366,14,17.4,0.0,Cloudy,0,,507,1,26.1,0.882,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-02 09:00:00,9,1,0,428,14,18.4,0.0,Clear,0,,905,1,30.6,1.0,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-02 10:00:00,10,1,0,278,14,20.4,0.0,Cloudy,0,,1072,1,19.9,0.672,high,4,Morning Peak
GR02,Nangloi,Green Line,2024-01-02 11:00:00,11,1,0,199,7,19.8,0.0,Cloudy,0,,905,0,28.4,0.959,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-02 12:00:00,12,1,0,197,7,18.2,0.0,Clear,0,,674,0,28.1,0.949,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-02 13:00:00,13,1,0,169,7,16.1,0.0,Clear,0,,565,0,24.1,0.814,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-02 14:00:00,14,1,0,169,7,14.6,0.0,Clear,0,,535,0,24.1,0.814,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-02 15:00:00,15,1,0,184,7,13.0,0.0,Clear,0,,522,0,26.3,0.889,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-02 16:00:00,16,1,0,205,7,11.6,0.0,Clear,0,,558,0,29.3,0.99,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-02 17:00:00,17,1,0,338,13,11.3,0.0,Clear,0,,727,1,26.0,0.878,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-02 18:00:00,18,1,0,368,13,11.6,0.0,Clear,0,,911,1,28.3,0.956,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-02 19:00:00,19,1,0,371,13,10.7,0.0,Clear,0,,1077,1,28.5,0.963,high,5,Evening Peak
GR02,Nangloi,Green Line,2024-01-02 20:00:00,20,1,0,238,13,11.3,0.0,Clear,0,,977,1,18.3,0.618,medium,4,Evening Peak
GR02,Nangloi,Green Line,2024-01-02 21:00:00,21,1,0,106,5,9.6,0.0,Clear,0,,715,0,21.2,0.716,high,4,Night
GR02,Nangloi,Green Line,2024-01-02 22:00:00,22,1,0,51,5,9.8,0.0,Clear,0,,395,0,10.2,0.345,low,2,Night
GR02,Nangloi,Green Line,2024-01-02 23:00:00,23,1,0,16,0,9.3,0.0,Clear,0,,173,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,67,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR02,Nangloi,Green Line,2024-01-03 06:00:00,6,2,0,29,4,14.7,0.0,Cloudy,0,,29,0,7.2,0.243,low,2,Night
GR02,Nangloi,Green Line,2024-01-03 07:00:00,7,2,0,110,6,16.2,0.0,Clear,0,,139,0,18.3,0.618,medium,4,Night
GR02,Nangloi,Green Line,2024-01-03 08:00:00,8,2,0,364,14,16.0,0.0,Clear,0,,503,1,26.0,0.878,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-03 09:00:00,9,2,0,410,14,19.3,0.0,Clear,0,,884,1,29.3,0.99,high,5,Morning Peak
GR02,Nangloi,Green Line,2024-01-03 10:00:00,10,2,0,254,14,18.1,0.0,Clear,0,,1028,1,18.1,0.611,medium,4,Morning Peak
GR02,Nangloi,Green Line,2024-01-03 11:00:00,11,2,0,188,7,17.9,0.0,Clear,0,,852,0,26.9,0.909,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-03 12:00:00,12,2,0,190,7,18.4,0.0,Clear,0,,632,0,27.1,0.916,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-03 13:00:00,13,2,0,161,7,16.5,0.0,Clear,0,,539,0,23.0,0.777,high,5,Mid Morning
GR02,Nangloi,Green Line,2024-01-03 14:00:00,14,2,0,150,7,14.9,0.0,Clear,0,,501,0,21.4,0.723,high,4,Afternoon
GR02,Nangloi,Green Line,2024-01-03 15:00:00,15,2,0,179,7,12.6,0.0,Clear,0,,490,0,25.6,0.865,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-03 16:00:00,16,2,0,215,7,11.3,0.0,Clear,0,,544,0,30.7,1.0,high,5,Afternoon
GR02,Nangloi,Green Line,2024-01-03 17:00:00,17,2,0,306,13,10.7,0.0,Clear,0,,700,1,23.5,0.794,high,5,Evening Peak
