station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR10,Mundka Industrial Area,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 06:00:00,6,0,0,34,4,13.7,0.0,Clear,1,New Year,34,0,8.5,0.359,medium,3,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 07:00:00,7,0,0,115,6,17.7,0.0,Cloudy,1,New Year,149,0,19.2,0.811,high,5,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 08:00:00,8,0,0,398,14,18.6,0.0,Clear,1,New Year,547,1,28.4,1.0,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 09:00:00,9,0,0,434,14,18.5,0.0,Clear,1,New Year,947,1,31.0,1.0,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 10:00:00,10,0,0,278,14,18.5,0.0,Clear,1,New Year,1110,1,19.9,0.841,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 11:00:00,11,0,0,217,7,17.5,0.0,Clear,1,New Year,929,0,31.0,1.0,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-01 12:00:00,12,0,0,190,7,18.0,0.0,Clear,1,New Year,685,0,27.1,1.0,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-01 13:00:00,13,0,0,196,7,16.1,0.0,Clear,1,New Year,603,0,28.0,1.0,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-01 14:00:00,14,0,0,176,7,14.7,0.0,Clear,1,New Year,562,0,25.1,1.0,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-01 15:00:00,15,0,0,186,7,12.4,0.0,Clear,1,New Year,558,0,26.6,1.0,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-01 16:00:00,16,0,0,234,7,12.0,0.0,Clear,1,New Year,596,0,33.4,1.0,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-01 17:00:00,17,0,0,347,13,12.6,0.0,Clear,1,New Year,767,1,26.7,1.0,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 18:00:00,18,0,0,392,13,11.8,0.0,Clear,1,New Year,973,1,30.2,1.0,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 19:00:00,19,0,0,375,13,9.4,0.0,Clear,1,New Year,1114,1,28.8,1.0,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 20:00:00,20,0,0,290,13,9.6,0.0,Clear,1,New Year,1057,1,22.3,0.942,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-01 21:00:00,21,0,0,114,5,8.6,0.0,Clear,1,New Year,779,0,22.8,0.963,high,5,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 22:00:00,22,0,0,55,5,10.3,0.0,Clear,1,New Year,459,0,11.0,0.465,medium,3,Night
GR10,Mundka Industrial Area,Green Line,2024-01-01 23:00:00,23,0,0,16,0,10.5,0.0,Clear,1,New Year,185,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,71,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 06:00:00,6,1,0,25,4,14.5,0.0,Clear,0,,25,0,6.2,0.262,low,2,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 07:00:00,7,1,0,92,6,16.3,0.0,Clear,0,,117,0,15.3,0.647,medium,4,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 08:00:00,8,1,0,264,14,17.4,0.0,Cloudy,0,,381,1,18.9,0.799,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 09:00:00,9,1,0,324,14,18.4,0.0,Clear,0,,680,1,23.1,0.976,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 10:00:00,10,1,0,205,14,20.4,0.0,Cloudy,0,,793,1,14.6,0.617,medium,4,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 11:00:00,11,1,0,143,7,19.8,0.0,Cloudy,0,,672,0,20.4,0.862,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-02 12:00:00,12,1,0,161,7,18.2,0.0,Clear,0,,509,0,23.0,0.972,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-02 13:00:00,13,1,0,142,7,16.1,0.0,Clear,0,,446,0,20.3,0.858,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-02 14:00:00,14,1,0,135,7,14.6,0.0,Clear,0,,438,0,19.3,0.816,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-02 15:00:00,15,1,0,137,7,13.0,0.0,Clear,0,,414,0,19.6,0.828,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-02 16:00:00,16,1,0,157,7,11.6,0.0,Clear,0,,429,0,22.4,0.947,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-02 17:00:00,17,1,0,257,13,11.3,0.0,Clear,0,,551,1,19.8,0.837,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 18:00:00,18,1,0,291,13,11.6,0.0,Clear,0,,705,1,22.4,0.947,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 19:00:00,19,1,0,285,13,10.7,0.0,Clear,0,,833,1,21.9,0.925,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 20:00:00,20,1,0,200,13,11.3,0.0,Clear,0,,776,1,15.4,0.651,high,4,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-02 21:00:00,21,1,0,84,5,9.6,0.0,Clear,0,,569,0,16.8,0.71,high,4,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 22:00:00,22,1,0,37,5,9.8,0.0,Clear,0,,321,0,7.4,0.313,low,2,Night
GR10,Mundka Industrial Area,Green Line,2024-01-02 23:00:00,23,1,0,11,0,9.3,0.0,Clear,0,,132,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,48,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,11,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 06:00:00,6,2,0,25,4,14.7,0.0,Cloudy,0,,25,0,6.2,0.262,low,2,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 07:00:00,7,2,0,86,6,16.2,0.0,Clear,0,,111,0,14.3,0.604,medium,4,Night
GR10,Mundka Industrial Area,Green Line,2024-01-03 08:00:00,8,2,0,257,14,16.0,0.0,Clear,0,,368,1,18.4,0.778,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-03 09:00:00,9,2,0,301,14,19.3,0.0,Clear,0,,644,1,21.5,0.909,high,5,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-03 10:00:00,10,2,0,206,14,18.1,0.0,Clear,0,,764,1,14.7,0.621,medium,4,Morning Peak
GR10,Mundka Industrial Area,Green Line,2024-01-03 11:00:00,11,2,0,150,7,17.9,0.0,Clear,0,,657,0,21.4,0.904,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-03 12:00:00,12,2,0,159,7,18.4,0.0,Clear,0,,515,0,22.7,0.959,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-03 13:00:00,13,2,0,127,7,16.5,0.0,Clear,0,,436,0,18.1,0.765,high,5,Mid Morning
GR10,Mundka Industrial Area,Green Line,2024-01-03 14:00:00,14,2,0,122,7,14.9,0.0,Clear,0,,408,0,17.4,0.735,high,4,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-03 15:00:00,15,2,0,138,7,12.6,0.0,Clear,0,,387,0,19.7,0.832,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-03 16:00:00,16,2,0,167,7,11.3,0.0,Clear,0,,427,0,23.9,1.0,high,5,Afternoon
GR10,Mundka Industrial Area,Green Line,2024-01-03 17:00:00,17,2,0,265,13,10.7,0.0,Clear,0,,570,1,20.4,0.862,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-03 18:00:00,18,2,0,322,13,11.1,0.0,Clear,0,,754,1,24.8,1.0,high,5,Evening Peak
GR10,Mundka Industrial Area,Green Line,2024-01-03 19:00:00,19,2,0,287,13,11.5,0.0,Cloudy,0,,874,1,22.1,0.934,high,5,Evening Peak
