station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR14,Paschim Vihar West,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 06:00:00,6,0,0,51,4,13.7,0.0,Clear,1,New Year,51,0,12.8,0.36,medium,3,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 07:00:00,7,0,0,187,6,17.7,0.0,Cloudy,1,New Year,238,0,31.2,0.877,high,5,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 08:00:00,8,0,0,561,14,18.6,0.0,Clear,1,New Year,799,1,40.1,1.0,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 09:00:00,9,0,0,607,14,18.5,0.0,Clear,1,New Year,1355,1,43.4,1.0,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 10:00:00,10,0,0,460,14,18.5,0.0,Clear,1,New Year,1628,1,32.9,0.925,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 11:00:00,11,0,0,311,7,17.5,0.0,Clear,1,New Year,1378,0,44.4,1.0,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-01 12:00:00,12,0,0,315,7,18.0,0.0,Clear,1,New Year,1086,0,45.0,1.0,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-01 13:00:00,13,0,0,254,7,16.1,0.0,Clear,1,New Year,880,0,36.3,1.0,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-01 14:00:00,14,0,0,270,7,14.7,0.0,Clear,1,New Year,839,0,38.6,1.0,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-01 15:00:00,15,0,0,264,7,12.4,0.0,Clear,1,New Year,788,0,37.7,1.0,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-01 16:00:00,16,0,0,327,7,12.0,0.0,Clear,1,New Year,861,0,46.7,1.0,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-01 17:00:00,17,0,0,521,13,12.6,0.0,Clear,1,New Year,1112,1,40.1,1.0,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 18:00:00,18,0,0,581,13,11.8,0.0,Clear,1,New Year,1429,1,44.7,1.0,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 19:00:00,19,0,0,587,13,9.4,0.0,Clear,1,New Year,1689,1,45.2,1.0,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 20:00:00,20,0,0,428,13,9.6,0.0,Clear,1,New Year,1596,1,32.9,0.925,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-01 21:00:00,21,0,0,181,5,8.6,0.0,Clear,1,New Year,1196,0,36.2,1.0,high,5,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 22:00:00,22,0,0,85,5,10.3,0.0,Clear,1,New Year,694,0,17.0,0.478,medium,3,Night
GR14,Paschim Vihar West,Green Line,2024-01-01 23:00:00,23,0,0,24,0,10.5,0.0,Clear,1,New Year,290,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,109,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,24,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 06:00:00,6,1,0,38,4,14.5,0.0,Clear,0,,38,0,9.5,0.267,low,2,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 07:00:00,7,1,0,132,6,16.3,0.0,Clear,0,,170,0,22.0,0.619,medium,4,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 08:00:00,8,1,0,394,14,17.4,0.0,Cloudy,0,,564,1,28.1,0.79,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 09:00:00,9,1,0,514,14,18.4,0.0,Clear,0,,1040,1,36.7,1.0,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 10:00:00,10,1,0,332,14,20.4,0.0,Cloudy,0,,1240,1,23.7,0.666,high,4,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 11:00:00,11,1,0,221,7,19.8,0.0,Cloudy,0,,1067,0,31.6,0.889,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-02 12:00:00,12,1,0,216,7,18.2,0.0,Clear,0,,769,0,30.9,0.869,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-02 13:00:00,13,1,0,193,7,16.1,0.0,Clear,0,,630,0,27.6,0.776,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-02 14:00:00,14,1,0,190,7,14.6,0.0,Clear,0,,599,0,27.1,0.762,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-02 15:00:00,15,1,0,222,7,13.0,0.0,Clear,0,,605,0,31.7,0.891,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-02 16:00:00,16,1,0,264,7,11.6,0.0,Clear,0,,676,0,37.7,1.0,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-02 17:00:00,17,1,0,412,13,11.3,0.0,Clear,0,,898,1,31.7,0.891,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 18:00:00,18,1,0,443,13,11.6,0.0,Clear,0,,1119,1,34.1,0.959,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 19:00:00,19,1,0,433,13,10.7,0.0,Clear,0,,1288,1,33.3,0.936,high,5,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 20:00:00,20,1,0,298,13,11.3,0.0,Clear,0,,1174,1,22.9,0.644,medium,4,Evening Peak
GR14,Paschim Vihar West,Green Line,2024-01-02 21:00:00,21,1,0,143,5,9.6,0.0,Clear,0,,874,0,28.6,0.804,high,5,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 22:00:00,22,1,0,61,5,9.8,0.0,Clear,0,,502,0,12.2,0.343,low,2,Night
GR14,Paschim Vihar West,Green Line,2024-01-02 23:00:00,23,1,0,17,0,9.3,0.0,Clear,0,,221,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,78,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,17,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 06:00:00,6,2,0,33,4,14.7,0.0,Cloudy,0,,33,0,8.2,0.231,low,2,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 07:00:00,7,2,0,145,6,16.2,0.0,Clear,0,,178,0,24.2,0.68,high,4,Night
GR14,Paschim Vihar West,Green Line,2024-01-03 08:00:00,8,2,0,430,14,16.0,0.0,Clear,0,,608,1,30.7,0.863,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-03 09:00:00,9,2,0,499,14,19.3,0.0,Clear,0,,1074,1,35.6,1.0,high,5,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-03 10:00:00,10,2,0,316,14,18.1,0.0,Clear,0,,1245,1,22.6,0.635,medium,4,Morning Peak
GR14,Paschim Vihar West,Green Line,2024-01-03 11:00:00,11,2,0,240,7,17.9,0.0,Clear,0,,1055,0,34.3,0.964,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-03 12:00:00,12,2,0,217,7,18.4,0.0,Clear,0,,773,0,31.0,0.872,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-03 13:00:00,13,2,0,209,7,16.5,0.0,Clear,0,,666,0,29.9,0.841,high,5,Mid Morning
GR14,Paschim Vihar West,Green Line,2024-01-03 14:00:00,14,2,0,192,7,14.9,0.0,Clear,0,,618,0,27.4,0.77,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-03 15:00:00,15,2,0,223,7,12.6,0.0,Clear,0,,624,0,31.9,0.897,high,5,Afternoon
GR14,Paschim Vihar West,Green Line,2024-01-03 16:00:00,16,2,0,258,7,11.3,0.0,Clear,0,,673,0,36.9,1.0,high,5,Afternoon
