station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR16,Punjabi Bagh West,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 06:00:00,6,0,0,63,4,13.7,0.0,Clear,1,New Year,63,0,15.8,0.362,medium,3,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 07:00:00,7,0,0,225,6,17.7,0.0,Cloudy,1,New Year,288,0,37.5,0.86,high,5,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 08:00:00,8,0,0,674,14,18.6,0.0,Clear,1,New Year,962,1,48.1,1.0,high,5,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 09:00:00,9,0,0,776,14,18.5,0.0,Clear,1,New Year,1675,1,55.4,1.0,high,5,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 10:00:00,10,0,0,572,14,18.5,0.0,Clear,1,New Year,2022,1,40.9,0.938,high,5,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 11:00:00,11,0,0,345,7,17.5,0.0,Clear,1,New Year,1693,0,49.3,1.0,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-01 12:00:00,12,0,0,367,7,18.0,0.0,Clear,1,New Year,1284,0,52.4,1.0,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-01 13:00:00,13,0,0,335,7,16.1,0.0,Clear,1,New Year,1047,0,47.9,1.0,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-01 14:00:00,14,0,0,319,7,14.7,0.0,Clear,1,New Year,1021,0,45.6,1.0,high,5,Afternoon
GR16,Punjabi Bagh West,Green Line,2024-01-01 15:00:00,15,0,0,318,7,12.4,0.0,Clear,1,New Year,972,0,45.4,1.0,high,5,Afternoon
GR16,Punjabi Bagh West,Green Line,2024-01-01 16:00:00,16,0,0,436,7,12.0,0.0,Clear,1,New Year,1073,0,62.3,1.0,high,5,Afternoon
GR16,Punjabi Bagh West,Green Line,2024-01-01 17:00:00,17,0,0,663,13,12.6,0.0,Clear,1,New Year,1417,1,51.0,1.0,high,5,Evening Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 18:00:00,18,0,0,702,13,11.8,0.0,Clear,1,New Year,1801,1,54.0,1.0,high,5,Evening Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 19:00:00,19,0,0,630,13,9.4,0.0,Clear,1,New Year,1995,1,48.5,1.0,high,5,Evening Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 20:00:00,20,0,0,538,13,9.6,0.0,Clear,1,New Year,1870,1,41.4,0.95,high,5,Evening Peak
GR16,Punjabi Bagh West,Green Line,2024-01-01 21:00:00,21,0,0,213,5,8.6,0.0,Clear,1,New Year,1381,0,42.6,0.977,high,5,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 22:00:00,22,0,0,93,5,10.3,0.0,Clear,1,New Year,844,0,18.6,0.427,medium,3,Night
GR16,Punjabi Bagh West,Green Line,2024-01-01 23:00:00,23,0,0,31,0,10.5,0.0,Clear,1,New Year,337,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,124,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,31,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 06:00:00,6,1,0,42,4,14.5,0.0,Clear,0,,42,0,10.5,0.241,low,2,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 07:00:00,7,1,0,163,6,16.3,0.0,Clear,0,,205,0,27.2,0.624,medium,4,Night
GR16,Punjabi Bagh West,Green Line,2024-01-02 08:00:00,8,1,0,507,14,17.4,0.0,Cloudy,0,,712,1,36.2,0.83,high,5,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-02 09:00:00,9,1,0,564,14,18.4,0.0,Clear,0,,1234,1,40.3,0.924,high,5,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-02 10:00:00,10,1,0,408,14,20.4,0.0,Cloudy,0,,1479,1,29.1,0.667,high,4,Morning Peak
GR16,Punjabi Bagh West,Green Line,2024-01-02 11:00:00,11,1,0,256,7,19.8,0.0,Cloudy,0,,1228,0,36.6,0.839,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-02 12:00:00,12,1,0,259,7,18.2,0.0,Clear,0,,923,0,37.0,0.849,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-02 13:00:00,13,1,0,236,7,16.1,0.0,Clear,0,,751,0,33.7,0.773,high,5,Mid Morning
GR16,Punjabi Bagh West,Green Line,2024-01-02 14:00:00,14,1,0,217,7,14.6,0.0,Clear,0,,712,0,31.0,0.711,high,4,Afternoon
