station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GR22,Udyog Nagar,Green Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-01 06:00:00,6,0,0,38,4,13.7,0.0,Clear,1,New Year,38,0,9.5,0.343,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-01 07:00:00,7,0,0,145,6,17.7,0.0,Cloudy,1,New Year,183,0,24.2,0.874,high,5,Night
GR22,Udyog Nagar,Green Line,2024-01-01 08:00:00,8,0,0,401,14,18.6,0.0,Clear,1,New Year,584,1,28.6,1.0,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-01 09:00:00,9,0,0,541,14,18.5,0.0,Clear,1,New Year,1087,1,38.6,1.0,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-01 10:00:00,10,0,0,341,14,18.5,0.0,Clear,1,New Year,1283,1,24.4,0.881,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-01 11:00:00,11,0,0,230,7,17.5,0.0,Clear,1,New Year,1112,0,32.9,1.0,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-01 12:00:00,12,0,0,221,7,18.0,0.0,Clear,1,New Year,792,0,31.6,1.0,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-01 13:00:00,13,0,0,206,7,16.1,0.0,Clear,1,New Year,657,0,29.4,1.0,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-01 14:00:00,14,0,0,210,7,14.7,0.0,Clear,1,New Year,637,0,30.0,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-01 15:00:00,15,0,0,210,7,12.4,0.0,Clear,1,New Year,626,0,30.0,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-01 16:00:00,16,0,0,251,7,12.0,0.0,Clear,1,New Year,671,0,35.9,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-01 17:00:00,17,0,0,389,13,12.6,0.0,Clear,1,New Year,850,1,29.9,1.0,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-01 18:00:00,18,0,0,458,13,11.8,0.0,Clear,1,New Year,1098,1,35.2,1.0,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-01 19:00:00,19,0,0,469,13,9.4,0.0,Clear,1,New Year,1316,1,36.1,1.0,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-01 20:00:00,20,0,0,336,13,9.6,0.0,Clear,1,New Year,1263,1,25.8,0.931,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-01 21:00:00,21,0,0,153,5,8.6,0.0,Clear,1,New Year,958,0,30.6,1.0,high,5,Night
GR22,Udyog Nagar,Green Line,2024-01-01 22:00:00,22,0,0,61,5,10.3,0.0,Clear,1,New Year,550,0,12.2,0.44,medium,3,Night
GR22,Udyog Nagar,Green Line,2024-01-01 23:00:00,23,0,0,20,0,10.5,0.0,Clear,1,New Year,234,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,81,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,20,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-02 06:00:00,6,1,0,30,4,14.5,0.0,Clear,0,,30,0,7.5,0.271,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-02 07:00:00,7,1,0,105,6,16.3,0.0,Clear,0,,135,0,17.5,0.632,medium,4,Night
GR22,Udyog Nagar,Green Line,2024-01-02 08:00:00,8,1,0,330,14,17.4,0.0,Cloudy,0,,465,1,23.6,0.852,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-02 09:00:00,9,1,0,399,14,18.4,0.0,Clear,0,,834,1,28.5,1.0,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-02 10:00:00,10,1,0,266,14,20.4,0.0,Cloudy,0,,995,1,19.0,0.686,high,4,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-02 11:00:00,11,1,0,166,7,19.8,0.0,Cloudy,0,,831,0,23.7,0.856,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-02 12:00:00,12,1,0,180,7,18.2,0.0,Clear,0,,612,0,25.7,0.928,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-02 13:00:00,13,1,0,154,7,16.1,0.0,Clear,0,,500,0,22.0,0.794,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-02 14:00:00,14,1,0,157,7,14.6,0.0,Clear,0,,491,0,22.4,0.809,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-02 15:00:00,15,1,0,151,7,13.0,0.0,Clear,0,,462,0,21.6,0.78,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-02 16:00:00,16,1,0,204,7,11.6,0.0,Clear,0,,512,0,29.1,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-02 17:00:00,17,1,0,285,13,11.3,0.0,Clear,0,,640,1,21.9,0.791,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-02 18:00:00,18,1,0,323,13,11.6,0.0,Clear,0,,812,1,24.8,0.895,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-02 19:00:00,19,1,0,345,13,10.7,0.0,Clear,0,,953,1,26.5,0.957,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-02 20:00:00,20,1,0,255,13,11.3,0.0,Clear,0,,923,1,19.6,0.708,high,4,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-02 21:00:00,21,1,0,107,5,9.6,0.0,Clear,0,,707,0,21.4,0.773,high,5,Night
GR22,Udyog Nagar,Green Line,2024-01-02 22:00:00,22,1,0,45,5,9.8,0.0,Clear,0,,407,0,9.0,0.325,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-02 23:00:00,23,1,0,13,0,9.3,0.0,Clear,0,,165,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,58,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,13,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-03 06:00:00,6,2,0,26,4,14.7,0.0,Cloudy,0,,26,0,6.5,0.235,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-03 07:00:00,7,2,0,111,6,16.2,0.0,Clear,0,,137,0,18.5,0.668,high,4,Night
GR22,Udyog Nagar,Green Line,2024-01-03 08:00:00,8,2,0,306,14,16.0,0.0,Clear,0,,443,1,21.9,0.791,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-03 09:00:00,9,2,0,408,14,19.3,0.0,Clear,0,,825,1,29.1,1.0,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-03 10:00:00,10,2,0,263,14,18.1,0.0,Clear,0,,977,1,18.8,0.679,high,4,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-03 11:00:00,11,2,0,181,7,17.9,0.0,Clear,0,,852,0,25.9,0.935,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-03 12:00:00,12,2,0,164,7,18.4,0.0,Clear,0,,608,0,23.4,0.845,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-03 13:00:00,13,2,0,161,7,16.5,0.0,Clear,0,,506,0,23.0,0.83,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-03 14:00:00,14,2,0,144,7,14.9,0.0,Clear,0,,469,0,20.6,0.744,high,4,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-03 15:00:00,15,2,0,151,7,12.6,0.0,Clear,0,,456,0,21.6,0.78,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-03 16:00:00,16,2,0,198,7,11.3,0.0,Clear,0,,493,0,28.3,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-03 17:00:00,17,2,0,313,13,10.7,0.0,Clear,0,,662,1,24.1,0.87,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-03 18:00:00,18,2,0,336,13,11.1,0.0,Clear,0,,847,1,25.8,0.931,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-03 19:00:00,19,2,0,339,13,11.5,0.0,Cloudy,0,,988,1,26.1,0.942,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-03 20:00:00,20,2,0,237,13,10.0,0.0,Clear,0,,912,1,18.2,0.657,high,4,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-03 21:00:00,21,2,0,103,5,7.6,0.0,Clear,0,,679,0,20.6,0.744,high,4,Night
GR22,Udyog Nagar,Green Line,2024-01-03 22:00:00,22,2,0,49,5,10.0,0.0,Clear,0,,389,0,9.8,0.354,medium,3,Night
GR22,Udyog Nagar,Green Line,2024-01-03 23:00:00,23,2,0,13,0,9.9,0.0,Clear,0,,165,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,62,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,13,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-04 06:00:00,6,3,0,26,4,13.6,0.0,Clear,0,,26,0,6.5,0.235,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-04 07:00:00,7,3,0,109,6,16.3,0.0,Clear,0,,135,0,18.2,0.657,high,4,Night
GR22,Udyog Nagar,Green Line,2024-01-04 08:00:00,8,3,0,347,14,18.9,0.0,Clear,0,,482,1,24.8,0.895,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-04 09:00:00,9,3,0,351,14,21.2,0.0,Clear,0,,807,1,25.1,0.906,high,5,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-04 10:00:00,10,3,0,243,14,19.8,0.0,Clear,0,,941,1,17.4,0.628,medium,4,Morning Peak
GR22,Udyog Nagar,Green Line,2024-01-04 11:00:00,11,3,0,180,7,21.6,0.0,Clear,0,,774,0,25.7,0.928,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-04 12:00:00,12,3,0,182,7,19.3,0.0,Clear,0,,605,0,26.0,0.939,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-04 13:00:00,13,3,0,147,7,17.4,0.0,Clear,0,,509,0,21.0,0.758,high,5,Mid Morning
GR22,Udyog Nagar,Green Line,2024-01-04 14:00:00,14,3,0,152,7,13.5,0.0,Clear,0,,481,0,21.7,0.783,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-04 15:00:00,15,3,0,154,7,13.1,0.0,Clear,0,,453,0,22.0,0.794,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-04 16:00:00,16,3,0,205,7,11.6,0.0,Cloudy,0,,511,0,29.3,1.0,high,5,Afternoon
GR22,Udyog Nagar,Green Line,2024-01-04 17:00:00,17,3,0,304,13,12.0,0.0,Clear,0,,663,1,23.4,0.845,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-04 18:00:00,18,3,0,332,13,11.2,0.0,Clear,0,,841,1,25.5,0.921,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-04 19:00:00,19,3,0,326,13,11.4,0.0,Clear,0,,962,1,25.1,0.906,high,5,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-04 20:00:00,20,3,0,230,13,9.0,0.0,Clear,0,,888,1,17.7,0.639,medium,4,Evening Peak
GR22,Udyog Nagar,Green Line,2024-01-04 21:00:00,21,3,0,104,5,9.4,0.0,Clear,0,,660,0,20.8,0.751,high,5,Night
GR22,Udyog Nagar,Green Line,2024-01-04 22:00:00,22,3,0,44,5,9.6,0.0,Clear,0,,378,0,8.8,0.318,low,2,Night
GR22,Udyog Nagar,Green Line,2024-01-04 23:00:00,23,3,0,15,0,10.1,0.0,Clear,0,,163,0,0.0,0.0,low,1,Night
GR22,Udyog Nagar,Green Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,59,0,0.0,0.0,low,1,Night
