station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 06:00:00,6,0,0,15,0,13.7,0.0,Clear,1,New Year,15,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 07:00:00,7,0,0,64,4,17.7,0.0,Cloudy,1,New Year,79,0,16.0,0.43,medium,3,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 08:00:00,8,0,0,181,4,18.6,0.0,Clear,1,New Year,260,1,45.2,1.0,high,5,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 09:00:00,9,0,0,227,4,18.5,0.0,Clear,1,New Year,472,1,56.8,1.0,high,5,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 10:00:00,10,0,0,135,4,18.5,0.0,Clear,1,New Year,543,1,33.8,0.909,high,5,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 11:00:00,11,0,0,109,4,17.5,0.0,Clear,1,New Year,471,0,27.2,0.731,high,4,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 12:00:00,12,0,0,97,4,18.0,0.0,Clear,1,New Year,341,0,24.2,0.651,high,4,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 13:00:00,13,0,0,96,4,16.1,0.0,Clear,1,New Year,302,0,24.0,0.645,medium,4,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 14:00:00,14,0,0,88,4,14.7,0.0,Clear,1,New Year,281,0,22.0,0.591,medium,4,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 15:00:00,15,0,0,95,4,12.4,0.0,Clear,1,New Year,279,0,23.8,0.64,medium,4,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 16:00:00,16,0,0,116,4,12.0,0.0,Clear,1,New Year,299,0,29.0,0.78,high,5,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 17:00:00,17,0,0,169,4,12.6,0.0,Clear,1,New Year,380,1,42.2,1.0,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 18:00:00,18,0,0,190,4,11.8,0.0,Clear,1,New Year,475,1,47.5,1.0,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 19:00:00,19,0,0,200,4,9.4,0.0,Clear,1,New Year,559,1,50.0,1.0,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 20:00:00,20,0,0,127,4,9.6,0.0,Clear,1,New Year,517,1,31.8,0.855,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 21:00:00,21,0,0,58,4,8.6,0.0,Clear,1,New Year,385,0,14.5,0.39,medium,3,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 22:00:00,22,0,0,28,0,10.3,0.0,Clear,1,New Year,213,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-01 23:00:00,23,0,0,9,0,10.5,0.0,Clear,1,New Year,95,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,37,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,9,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 06:00:00,6,1,0,12,0,14.5,0.0,Clear,0,,12,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 07:00:00,7,1,0,48,4,16.3,0.0,Clear,0,,60,0,12.0,0.323,low,2,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 08:00:00,8,1,0,145,4,17.4,0.0,Cloudy,0,,205,1,36.2,0.973,high,5,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 09:00:00,9,1,0,150,4,18.4,0.0,Clear,0,,343,1,37.5,1.0,high,5,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 10:00:00,10,1,0,109,4,20.4,0.0,Cloudy,0,,404,1,27.2,0.731,high,4,Morning Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 11:00:00,11,1,0,77,4,19.8,0.0,Cloudy,0,,336,0,19.2,0.516,medium,3,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 12:00:00,12,1,0,74,4,18.2,0.0,Clear,0,,260,0,18.5,0.497,medium,3,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 13:00:00,13,1,0,71,4,16.1,0.0,Clear,0,,222,0,17.8,0.478,medium,3,Mid Morning
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 14:00:00,14,1,0,61,4,14.6,0.0,Clear,0,,206,0,15.2,0.409,medium,3,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 15:00:00,15,1,0,69,4,13.0,0.0,Clear,0,,201,0,17.2,0.462,medium,3,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 16:00:00,16,1,0,85,4,11.6,0.0,Clear,0,,215,0,21.2,0.57,medium,4,Afternoon
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 17:00:00,17,1,0,120,4,11.3,0.0,Clear,0,,274,1,30.0,0.806,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 18:00:00,18,1,0,146,4,11.6,0.0,Clear,0,,351,1,36.5,0.981,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 19:00:00,19,1,0,134,4,10.7,0.0,Clear,0,,400,1,33.5,0.901,high,5,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 20:00:00,20,1,0,95,4,11.3,0.0,Clear,0,,375,1,23.8,0.64,medium,4,Evening Peak
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 21:00:00,21,1,0,48,4,9.6,0.0,Clear,0,,277,0,12.0,0.323,low,2,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 22:00:00,22,1,0,20,0,9.8,0.0,Clear,0,,163,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-02 23:00:00,23,1,0,6,0,9.3,0.0,Clear,0,,74,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,26,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,6,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
GY01,Dhansa Bus Stand,Grey Line,2024-01-03 06:00:00,6,2,0,12,0,14.7,0.0,Cloudy,0,,12,0,0.0,0.0,low,1,Night
