station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 06:00:00,6,0,0,81,4,13.7,0.0,Clear,1,New Year,81,0,20.2,0.32,low,2,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 07:00:00,7,0,0,317,6,17.7,0.0,Cloudy,1,New Year,398,0,52.8,0.836,high,5,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 08:00:00,8,0,0,946,14,18.6,0.0,Clear,1,New Year,1344,1,67.6,1.0,high,5,Morning Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 09:00:00,9,0,0,1133,14,18.5,0.0,Clear,1,New Year,2396,1,80.9,1.0,high,5,Morning Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 10:00:00,10,0,0,827,14,18.5,0.0,Clear,1,New Year,2906,1,59.1,0.936,high,5,Morning Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 11:00:00,11,0,0,563,7,17.5,0.0,Clear,1,New Year,2523,0,80.4,1.0,high,5,Mid Morning
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 12:00:00,12,0,0,539,7,18.0,0.0,Clear,1,New Year,1929,0,77.0,1.0,high,5,Mid Morning
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 13:00:00,13,0,0,463,7,16.1,0.0,Clear,1,New Year,1565,0,66.1,1.0,high,5,Mid Morning
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 14:00:00,14,0,0,431,7,14.7,0.0,Clear,1,New Year,1433,0,61.6,0.975,high,5,Afternoon
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 15:00:00,15,0,0,518,7,12.4,0.0,Clear,1,New Year,1412,0,74.0,1.0,high,5,Afternoon
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 16:00:00,16,0,0,620,7,12.0,0.0,Clear,1,New Year,1569,0,88.6,1.0,high,5,Afternoon
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 17:00:00,17,0,0,998,13,12.6,0.0,Clear,1,New Year,2136,1,76.8,1.0,high,5,Evening Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 18:00:00,18,0,0,1142,13,11.8,0.0,Clear,1,New Year,2760,1,87.8,1.0,high,5,Evening Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 19:00:00,19,0,0,951,13,9.4,0.0,Clear,1,New Year,3091,1,73.2,1.0,high,5,Evening Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 20:00:00,20,0,0,700,13,9.6,0.0,Clear,1,New Year,2793,1,53.8,0.852,high,5,Evening Peak
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 21:00:00,21,0,0,329,5,8.6,0.0,Clear,1,New Year,1980,0,65.8,1.0,high,5,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 22:00:00,22,0,0,131,5,10.3,0.0,Clear,1,New Year,1160,0,26.2,0.415,medium,3,Night
MG01,Botanical Garden Magenta,Magenta Line,2024-01-01 23:00:00,23,0,0,43,0,10.5,0.0,Clear,1,New Year,503,0,0.0,0.0,low,1,Night
