station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG02,Chirag Delhi,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 06:00:00,6,0,0,54,4,13.7,0.0,Clear,1,New Year,54,0,13.5,0.341,low,2,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 07:00:00,7,0,0,216,6,17.7,0.0,Cloudy,1,New Year,270,0,36.0,0.91,high,5,Night
MG02,Chirag Delhi,Magenta Line,2024-01-01 08:00:00,8,0,0,625,14,18.6,0.0,Clear,1,New Year,895,1,44.6,1.0,high,5,Morning Peak
MG02,Chirag Delhi,Magenta Line,2024-01-01 09:00:00,9,0,0,687,14,18.5,0.0,Clear,1,New Year,1528,1,49.1,1.0,high,5,Morning Peak
MG02,Chirag Delhi,Magenta Line,2024-01-01 10:00:00,10,0,0,510,14,18.5,0.0,Clear,1,New Year,1822,1,36.4,0.92,high,5,Morning Peak
MG02,Chirag Delhi,Magenta Line,2024-01-01 11:00:00,11,0,0,320,7,17.5,0.0,Clear,1,New Year,1517,0,45.7,1.0,high,5,Mid Morning
MG02,Chirag Delhi,Magenta Line,2024-01-01 12:00:00,12,0,0,342,7,18.0,0.0,Clear,1,New Year,1172,0,48.9,1.0,high,5,Mid Morning
MG02,Chirag Delhi,Magenta Line,2024-01-01 13:00:00,13,0,0,316,7,16.1,0.0,Clear,1,New Year,978,0,45.1,1.0,high,5,Mid Morning
MG02,Chirag Delhi,Magenta Line,2024-01-01 14:00:00,14,0,0,262,7,14.7,0.0,Clear,1,New Year,920,0,37.4,0.945,high,5,Afternoon
