station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG04,Dashrath Puri,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 06:00:00,6,0,0,46,4,13.7,0.0,Clear,1,New Year,46,0,11.5,0.323,low,2,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 07:00:00,7,0,0,195,6,17.7,0.0,Cloudy,1,New Year,241,0,32.5,0.913,high,5,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 08:00:00,8,0,0,576,14,18.6,0.0,Clear,1,New Year,817,1,41.1,1.0,high,5,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 09:00:00,9,0,0,620,14,18.5,0.0,Clear,1,New Year,1391,1,44.3,1.0,high,5,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 10:00:00,10,0,0,409,14,18.5,0.0,Clear,1,New Year,1605,1,29.2,0.82,high,5,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 11:00:00,11,0,0,282,7,17.5,0.0,Clear,1,New Year,1311,0,40.3,1.0,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-01 12:00:00,12,0,0,304,7,18.0,0.0,Clear,1,New Year,995,0,43.4,1.0,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-01 13:00:00,13,0,0,253,7,16.1,0.0,Clear,1,New Year,839,0,36.1,1.0,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-01 14:00:00,14,0,0,245,7,14.7,0.0,Clear,1,New Year,802,0,35.0,0.983,high,5,Afternoon
MG04,Dashrath Puri,Magenta Line,2024-01-01 15:00:00,15,0,0,294,7,12.4,0.0,Clear,1,New Year,792,0,42.0,1.0,high,5,Afternoon
MG04,Dashrath Puri,Magenta Line,2024-01-01 16:00:00,16,0,0,360,7,12.0,0.0,Clear,1,New Year,899,0,51.4,1.0,high,5,Afternoon
MG04,Dashrath Puri,Magenta Line,2024-01-01 17:00:00,17,0,0,513,13,12.6,0.0,Clear,1,New Year,1167,1,39.5,1.0,high,5,Evening Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 18:00:00,18,0,0,610,13,11.8,0.0,Clear,1,New Year,1483,1,46.9,1.0,high,5,Evening Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 19:00:00,19,0,0,527,13,9.4,0.0,Clear,1,New Year,1650,1,40.5,1.0,high,5,Evening Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 20:00:00,20,0,0,390,13,9.6,0.0,Clear,1,New Year,1527,1,30.0,0.843,high,5,Evening Peak
MG04,Dashrath Puri,Magenta Line,2024-01-01 21:00:00,21,0,0,182,5,8.6,0.0,Clear,1,New Year,1099,0,36.4,1.0,high,5,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 22:00:00,22,0,0,76,5,10.3,0.0,Clear,1,New Year,648,0,15.2,0.427,medium,3,Night
MG04,Dashrath Puri,Magenta Line,2024-01-01 23:00:00,23,0,0,26,0,10.5,0.0,Clear,1,New Year,284,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,102,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,26,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 06:00:00,6,1,0,34,4,14.5,0.0,Clear,0,,34,0,8.5,0.239,low,2,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 07:00:00,7,1,0,127,6,16.3,0.0,Clear,0,,161,0,21.2,0.596,medium,4,Night
MG04,Dashrath Puri,Magenta Line,2024-01-02 08:00:00,8,1,0,430,14,17.4,0.0,Cloudy,0,,591,1,30.7,0.862,high,5,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-02 09:00:00,9,1,0,454,14,18.4,0.0,Clear,0,,1011,1,32.4,0.91,high,5,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-02 10:00:00,10,1,0,327,14,20.4,0.0,Cloudy,0,,1211,1,23.4,0.657,high,4,Morning Peak
MG04,Dashrath Puri,Magenta Line,2024-01-02 11:00:00,11,1,0,228,7,19.8,0.0,Cloudy,0,,1009,0,32.6,0.916,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-02 12:00:00,12,1,0,223,7,18.2,0.0,Clear,0,,778,0,31.9,0.896,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-02 13:00:00,13,1,0,189,7,16.1,0.0,Clear,0,,640,0,27.0,0.758,high,5,Mid Morning
MG04,Dashrath Puri,Magenta Line,2024-01-02 14:00:00,14,1,0,175,7,14.6,0.0,Clear,0,,587,0,25.0,0.702,high,4,Afternoon
