station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG05,Greater Kailash,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 06:00:00,6,0,0,107,4,13.7,0.0,Clear,1,New Year,107,0,26.8,0.36,medium,3,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 07:00:00,7,0,0,360,6,17.7,0.0,Cloudy,1,New Year,467,0,60.0,0.807,high,5,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 08:00:00,8,0,0,1251,14,18.6,0.0,Clear,1,New Year,1718,1,89.4,1.0,high,5,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 09:00:00,9,0,0,1431,14,18.5,0.0,Clear,1,New Year,3042,1,102.2,1.0,high,5,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 10:00:00,10,0,0,876,14,18.5,0.0,Clear,1,New Year,3558,1,62.6,0.842,high,5,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 11:00:00,11,0,0,683,7,17.5,0.0,Clear,1,New Year,2990,0,97.6,1.0,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-01 12:00:00,12,0,0,590,7,18.0,0.0,Clear,1,New Year,2149,0,84.3,1.0,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-01 13:00:00,13,0,0,564,7,16.1,0.0,Clear,1,New Year,1837,0,80.6,1.0,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-01 14:00:00,14,0,0,570,7,14.7,0.0,Clear,1,New Year,1724,0,81.4,1.0,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-01 15:00:00,15,0,0,616,7,12.4,0.0,Clear,1,New Year,1750,0,88.0,1.0,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-01 16:00:00,16,0,0,711,7,12.0,0.0,Clear,1,New Year,1897,0,101.6,1.0,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-01 17:00:00,17,0,0,1123,13,12.6,0.0,Clear,1,New Year,2450,1,86.4,1.0,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 18:00:00,18,0,0,1265,13,11.8,0.0,Clear,1,New Year,3099,1,97.3,1.0,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 19:00:00,19,0,0,1190,13,9.4,0.0,Clear,1,New Year,3578,1,91.5,1.0,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 20:00:00,20,0,0,887,13,9.6,0.0,Clear,1,New Year,3342,1,68.2,0.917,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-01 21:00:00,21,0,0,360,5,8.6,0.0,Clear,1,New Year,2437,0,72.0,0.968,high,5,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 22:00:00,22,0,0,177,5,10.3,0.0,Clear,1,New Year,1424,0,35.4,0.476,medium,3,Night
MG05,Greater Kailash,Magenta Line,2024-01-01 23:00:00,23,0,0,49,0,10.5,0.0,Clear,1,New Year,586,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,226,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,49,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 06:00:00,6,1,0,73,4,14.5,0.0,Clear,0,,73,0,18.2,0.245,low,2,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 07:00:00,7,1,0,285,6,16.3,0.0,Clear,0,,358,0,47.5,0.639,medium,4,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 08:00:00,8,1,0,836,14,17.4,0.0,Cloudy,0,,1194,1,59.7,0.803,high,5,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 09:00:00,9,1,0,1085,14,18.4,0.0,Clear,0,,2206,1,77.5,1.0,high,5,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 10:00:00,10,1,0,697,14,20.4,0.0,Cloudy,0,,2618,1,49.8,0.67,high,4,Morning Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 11:00:00,11,1,0,450,7,19.8,0.0,Cloudy,0,,2232,0,64.3,0.865,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-02 12:00:00,12,1,0,489,7,18.2,0.0,Clear,0,,1636,0,69.9,0.94,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-02 13:00:00,13,1,0,444,7,16.1,0.0,Clear,0,,1383,0,63.4,0.853,high,5,Mid Morning
MG05,Greater Kailash,Magenta Line,2024-01-02 14:00:00,14,1,0,393,7,14.6,0.0,Clear,0,,1326,0,56.1,0.754,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-02 15:00:00,15,1,0,400,7,13.0,0.0,Clear,0,,1237,0,57.1,0.768,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-02 16:00:00,16,1,0,491,7,11.6,0.0,Clear,0,,1284,0,70.1,0.943,high,5,Afternoon
MG05,Greater Kailash,Magenta Line,2024-01-02 17:00:00,17,1,0,849,13,11.3,0.0,Clear,0,,1740,1,65.3,0.878,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 18:00:00,18,1,0,876,13,11.6,0.0,Clear,0,,2216,1,67.4,0.906,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 19:00:00,19,1,0,900,13,10.7,0.0,Clear,0,,2625,1,69.2,0.931,high,5,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 20:00:00,20,1,0,608,13,11.3,0.0,Clear,0,,2384,1,46.8,0.629,medium,4,Evening Peak
MG05,Greater Kailash,Magenta Line,2024-01-02 21:00:00,21,1,0,278,5,9.6,0.0,Clear,0,,1786,0,55.6,0.748,high,4,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 22:00:00,22,1,0,120,5,9.8,0.0,Clear,0,,1006,0,24.0,0.323,low,2,Night
MG05,Greater Kailash,Magenta Line,2024-01-02 23:00:00,23,1,0,40,0,9.3,0.0,Clear,0,,438,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,160,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,40,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG05,Greater Kailash,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
