station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 06:00:00,6,0,0,1100,4,13.7,0.0,Clear,1,New Year,1100,0,275.0,0.363,medium,3,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 07:00:00,7,0,0,3670,6,17.7,0.0,Cloudy,1,New Year,4770,0,611.7,0.806,high,5,Night
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 08:00:00,8,0,0,12756,14,18.6,0.0,Clear,1,New Year,17526,1,911.1,1.0,high,5,Morning Peak
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 09:00:00,9,0,0,13899,14,18.5,0.0,Clear,1,New Year,30325,1,992.8,1.0,high,5,Morning Peak
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 10:00:00,10,0,0,8923,14,18.5,0.0,Clear,1,New Year,35578,1,637.4,0.84,high,5,Morning Peak
MG06,Hauz Khas Magenta,Magenta Line,2024-01-01 11:00:00,11,0,0,6949,7,17.5,0.0,Clear,1,New Year,29771,0,992.7,1.0,high,5,Mid Morning
