station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG07,IIT,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-01 06:00:00,6,0,0,95,4,13.7,0.0,Clear,1,New Year,95,0,23.8,0.321,low,2,Night
MG07,IIT,Magenta Line,2024-01-01 07:00:00,7,0,0,372,6,17.7,0.0,Cloudy,1,New Year,467,0,62.0,0.836,high,5,Night
MG07,IIT,Magenta Line,2024-01-01 08:00:00,8,0,0,1139,14,18.6,0.0,Clear,1,New Year,1606,1,81.4,1.0,high,5,Morning Peak
MG07,IIT,Magenta Line,2024-01-01 09:00:00,9,0,0,1399,14,18.5,0.0,Clear,1,New Year,2910,1,99.9,1.0,high,5,Morning Peak
MG07,IIT,Magenta Line,2024-01-01 10:00:00,10,0,0,851,14,18.5,0.0,Clear,1,New Year,3389,1,60.8,0.819,high,5,Morning Peak
MG07,IIT,Magenta Line,2024-01-01 11:00:00,11,0,0,618,7,17.5,0.0,Clear,1,New Year,2868,0,88.3,1.0,high,5,Mid Morning
MG07,IIT,Magenta Line,2024-01-01 12:00:00,12,0,0,671,7,18.0,0.0,Clear,1,New Year,2140,0,95.9,1.0,high,5,Mid Morning
MG07,IIT,Magenta Line,2024-01-01 13:00:00,13,0,0,533,7,16.1,0.0,Clear,1,New Year,1822,0,76.1,1.0,high,5,Mid Morning
MG07,IIT,Magenta Line,2024-01-01 14:00:00,14,0,0,537,7,14.7,0.0,Clear,1,New Year,1741,0,76.7,1.0,high,5,Afternoon
MG07,IIT,Magenta Line,2024-01-01 15:00:00,15,0,0,625,7,12.4,0.0,Clear,1,New Year,1695,0,89.3,1.0,high,5,Afternoon
MG07,IIT,Magenta Line,2024-01-01 16:00:00,16,0,0,686,7,12.0,0.0,Clear,1,New Year,1848,0,98.0,1.0,high,5,Afternoon
MG07,IIT,Magenta Line,2024-01-01 17:00:00,17,0,0,1054,13,12.6,0.0,Clear,1,New Year,2365,1,81.1,1.0,high,5,Evening Peak
MG07,IIT,Magenta Line,2024-01-01 18:00:00,18,0,0,1178,13,11.8,0.0,Clear,1,New Year,2918,1,90.6,1.0,high,5,Evening Peak
MG07,IIT,Magenta Line,2024-01-01 19:00:00,19,0,0,1187,13,9.4,0.0,Clear,1,New Year,3419,1,91.3,1.0,high,5,Evening Peak
MG07,IIT,Magenta Line,2024-01-01 20:00:00,20,0,0,855,13,9.6,0.0,Clear,1,New Year,3220,1,65.8,0.887,high,5,Evening Peak
MG07,IIT,Magenta Line,2024-01-01 21:00:00,21,0,0,404,5,8.6,0.0,Clear,1,New Year,2446,0,80.8,1.0,high,5,Night
MG07,IIT,Magenta Line,2024-01-01 22:00:00,22,0,0,155,5,10.3,0.0,Clear,1,New Year,1414,0,31.0,0.418,medium,3,Night
MG07,IIT,Magenta Line,2024-01-01 23:00:00,23,0,0,53,0,10.5,0.0,Clear,1,New Year,612,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,208,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,53,0,0.0,0.0,low,1,Night
MG07,IIT,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
