station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 06:00:00,6,0,0,75,4,13.7,0.0,Clear,1,New Year,75,0,18.8,0.34,low,2,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 07:00:00,7,0,0,265,6,17.7,0.0,Cloudy,1,New Year,340,0,44.2,0.799,high,5,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 08:00:00,8,0,0,885,14,18.6,0.0,Clear,1,New Year,1225,1,63.2,1.0,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 09:00:00,9,0,0,1048,14,18.5,0.0,Clear,1,New Year,2198,1,74.9,1.0,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 10:00:00,10,0,0,710,14,18.5,0.0,Clear,1,New Year,2643,1,50.7,0.917,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 11:00:00,11,0,0,475,7,17.5,0.0,Clear,1,New Year,2233,0,67.9,1.0,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 12:00:00,12,0,0,462,7,18.0,0.0,Clear,1,New Year,1647,0,66.0,1.0,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 13:00:00,13,0,0,433,7,16.1,0.0,Clear,1,New Year,1370,0,61.9,1.0,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 14:00:00,14,0,0,426,7,14.7,0.0,Clear,1,New Year,1321,0,60.9,1.0,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 15:00:00,15,0,0,468,7,12.4,0.0,Clear,1,New Year,1327,0,66.9,1.0,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 16:00:00,16,0,0,509,7,12.0,0.0,Clear,1,New Year,1403,0,72.7,1.0,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 17:00:00,17,0,0,848,13,12.6,0.0,Clear,1,New Year,1825,1,65.2,1.0,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 18:00:00,18,0,0,909,13,11.8,0.0,Clear,1,New Year,2266,1,69.9,1.0,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 19:00:00,19,0,0,832,13,9.4,0.0,Clear,1,New Year,2589,1,64.0,1.0,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 20:00:00,20,0,0,605,13,9.6,0.0,Clear,1,New Year,2346,1,46.5,0.841,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 21:00:00,21,0,0,272,5,8.6,0.0,Clear,1,New Year,1709,0,54.4,0.984,high,5,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 22:00:00,22,0,0,124,5,10.3,0.0,Clear,1,New Year,1001,0,24.8,0.448,medium,3,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-01 23:00:00,23,0,0,38,0,10.5,0.0,Clear,1,New Year,434,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,162,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,38,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 06:00:00,6,1,0,54,4,14.5,0.0,Clear,0,,54,0,13.5,0.244,low,2,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 07:00:00,7,1,0,219,6,16.3,0.0,Clear,0,,273,0,36.5,0.66,high,4,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 08:00:00,8,1,0,652,14,17.4,0.0,Cloudy,0,,925,1,46.6,0.843,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 09:00:00,9,1,0,698,14,18.4,0.0,Clear,0,,1569,1,49.9,0.902,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 10:00:00,10,1,0,473,14,20.4,0.0,Cloudy,0,,1823,1,33.8,0.611,medium,4,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 11:00:00,11,1,0,363,7,19.8,0.0,Cloudy,0,,1534,0,51.9,0.939,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 12:00:00,12,1,0,371,7,18.2,0.0,Clear,0,,1207,0,53.0,0.958,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 13:00:00,13,1,0,304,7,16.1,0.0,Clear,0,,1038,0,43.4,0.785,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 14:00:00,14,1,0,302,7,14.6,0.0,Clear,0,,977,0,43.1,0.779,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 15:00:00,15,1,0,338,7,13.0,0.0,Clear,0,,944,0,48.3,0.873,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 16:00:00,16,1,0,381,7,11.6,0.0,Clear,0,,1021,0,54.4,0.984,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 17:00:00,17,1,0,639,13,11.3,0.0,Clear,0,,1358,1,49.2,0.89,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 18:00:00,18,1,0,661,13,11.6,0.0,Clear,0,,1681,1,50.8,0.919,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 19:00:00,19,1,0,669,13,10.7,0.0,Clear,0,,1969,1,51.5,0.931,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 20:00:00,20,1,0,465,13,11.3,0.0,Clear,0,,1795,1,35.8,0.647,medium,4,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 21:00:00,21,1,0,209,5,9.6,0.0,Clear,0,,1343,0,41.8,0.756,high,5,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 22:00:00,22,1,0,94,5,9.8,0.0,Clear,0,,768,0,18.8,0.34,low,2,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-02 23:00:00,23,1,0,30,0,9.3,0.0,Clear,0,,333,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,124,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,30,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 06:00:00,6,2,0,58,4,14.7,0.0,Cloudy,0,,58,0,14.5,0.262,low,2,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 07:00:00,7,2,0,203,6,16.2,0.0,Clear,0,,261,0,33.8,0.611,medium,4,Night
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 08:00:00,8,2,0,637,14,16.0,0.0,Clear,0,,898,1,45.5,0.823,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 09:00:00,9,2,0,742,14,19.3,0.0,Clear,0,,1582,1,53.0,0.958,high,5,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 10:00:00,10,2,0,480,14,18.1,0.0,Clear,0,,1859,1,34.3,0.62,medium,4,Morning Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 11:00:00,11,2,0,338,7,17.9,0.0,Clear,0,,1560,0,48.3,0.873,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 12:00:00,12,2,0,343,7,18.4,0.0,Clear,0,,1161,0,49.0,0.886,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 13:00:00,13,2,0,319,7,16.5,0.0,Clear,0,,1000,0,45.6,0.825,high,5,Mid Morning
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 14:00:00,14,2,0,291,7,14.9,0.0,Clear,0,,953,0,41.6,0.752,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 15:00:00,15,2,0,316,7,12.6,0.0,Clear,0,,926,0,45.1,0.816,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 16:00:00,16,2,0,370,7,11.3,0.0,Clear,0,,977,0,52.9,0.957,high,5,Afternoon
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 17:00:00,17,2,0,619,13,10.7,0.0,Clear,0,,1305,1,47.6,0.861,high,5,Evening Peak
MG08,Jamia Millia Islamia,Magenta Line,2024-01-03 18:00:00,18,2,0,684,13,11.1,0.0,Clear,0,,1673,1,52.6,0.951,high,5,Evening Peak
