station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 06:00:00,6,0,0,86,4,13.7,0.0,Clear,1,New Year,86,0,21.5,0.339,low,2,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 07:00:00,7,0,0,331,6,17.7,0.0,Cloudy,1,New Year,417,0,55.2,0.871,high,5,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 08:00:00,8,0,0,917,14,18.6,0.0,Clear,1,New Year,1334,1,65.5,1.0,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 09:00:00,9,0,0,1237,14,18.5,0.0,Clear,1,New Year,2485,1,88.4,1.0,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 10:00:00,10,0,0,779,14,18.5,0.0,Clear,1,New Year,2933,1,55.6,0.877,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 11:00:00,11,0,0,526,7,17.5,0.0,Clear,1,New Year,2542,0,75.1,1.0,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 12:00:00,12,0,0,505,7,18.0,0.0,Clear,1,New Year,1810,0,72.1,1.0,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 13:00:00,13,0,0,472,7,16.1,0.0,Clear,1,New Year,1503,0,67.4,1.0,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 14:00:00,14,0,0,481,7,14.7,0.0,Clear,1,New Year,1458,0,68.7,1.0,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 15:00:00,15,0,0,480,7,12.4,0.0,Clear,1,New Year,1433,0,68.6,1.0,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 16:00:00,16,0,0,574,7,12.0,0.0,Clear,1,New Year,1535,0,82.0,1.0,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 17:00:00,17,0,0,889,13,12.6,0.0,Clear,1,New Year,1943,1,68.4,1.0,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 18:00:00,18,0,0,1046,13,11.8,0.0,Clear,1,New Year,2509,1,80.5,1.0,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 19:00:00,19,0,0,1071,13,9.4,0.0,Clear,1,New Year,3006,1,82.4,1.0,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 20:00:00,20,0,0,769,13,9.6,0.0,Clear,1,New Year,2886,1,59.2,0.934,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 21:00:00,21,0,0,349,5,8.6,0.0,Clear,1,New Year,2189,0,69.8,1.0,high,5,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 22:00:00,22,0,0,140,5,10.3,0.0,Clear,1,New Year,1258,0,28.0,0.442,medium,3,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-01 23:00:00,23,0,0,46,0,10.5,0.0,Clear,1,New Year,535,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,186,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,46,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 06:00:00,6,1,0,68,4,14.5,0.0,Clear,0,,68,0,17.0,0.268,low,2,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 07:00:00,7,1,0,240,6,16.3,0.0,Clear,0,,308,0,40.0,0.631,medium,4,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 08:00:00,8,1,0,754,14,17.4,0.0,Cloudy,0,,1062,1,53.9,0.85,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 09:00:00,9,1,0,913,14,18.4,0.0,Clear,0,,1907,1,65.2,1.0,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 10:00:00,10,1,0,607,14,20.4,0.0,Cloudy,0,,2274,1,43.4,0.685,high,4,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 11:00:00,11,1,0,379,7,19.8,0.0,Cloudy,0,,1899,0,54.1,0.853,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 12:00:00,12,1,0,412,7,18.2,0.0,Clear,0,,1398,0,58.9,0.929,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 13:00:00,13,1,0,351,7,16.1,0.0,Clear,0,,1142,0,50.1,0.79,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 14:00:00,14,1,0,359,7,14.6,0.0,Clear,0,,1122,0,51.3,0.809,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 15:00:00,15,1,0,346,7,13.0,0.0,Clear,0,,1056,0,49.4,0.779,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 16:00:00,16,1,0,467,7,11.6,0.0,Clear,0,,1172,0,66.7,1.0,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 17:00:00,17,1,0,652,13,11.3,0.0,Clear,0,,1465,1,50.2,0.792,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 18:00:00,18,1,0,738,13,11.6,0.0,Clear,0,,1857,1,56.8,0.896,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 19:00:00,19,1,0,789,13,10.7,0.0,Clear,0,,2179,1,60.7,0.957,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 20:00:00,20,1,0,583,13,11.3,0.0,Clear,0,,2110,1,44.8,0.707,high,4,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 21:00:00,21,1,0,246,5,9.6,0.0,Clear,0,,1618,0,49.2,0.776,high,5,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 22:00:00,22,1,0,104,5,9.8,0.0,Clear,0,,933,0,20.8,0.328,low,2,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-02 23:00:00,23,1,0,30,0,9.3,0.0,Clear,0,,380,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,134,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,30,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 06:00:00,6,2,0,59,4,14.7,0.0,Cloudy,0,,59,0,14.8,0.233,low,2,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 07:00:00,7,2,0,254,6,16.2,0.0,Clear,0,,313,0,42.3,0.667,high,4,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 08:00:00,8,2,0,699,14,16.0,0.0,Clear,0,,1012,1,49.9,0.787,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 09:00:00,9,2,0,933,14,19.3,0.0,Clear,0,,1886,1,66.6,1.0,high,5,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 10:00:00,10,2,0,601,14,18.1,0.0,Clear,0,,2233,1,42.9,0.677,high,4,Morning Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 11:00:00,11,2,0,413,7,17.9,0.0,Clear,0,,1947,0,59.0,0.931,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 12:00:00,12,2,0,374,7,18.4,0.0,Clear,0,,1388,0,53.4,0.842,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 13:00:00,13,2,0,367,7,16.5,0.0,Clear,0,,1154,0,52.4,0.826,high,5,Mid Morning
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 14:00:00,14,2,0,330,7,14.9,0.0,Clear,0,,1071,0,47.1,0.743,high,4,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 15:00:00,15,2,0,346,7,12.6,0.0,Clear,0,,1043,0,49.4,0.779,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 16:00:00,16,2,0,453,7,11.3,0.0,Clear,0,,1129,0,64.7,1.0,high,5,Afternoon
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 17:00:00,17,2,0,716,13,10.7,0.0,Clear,0,,1515,1,55.1,0.869,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 18:00:00,18,2,0,767,13,11.1,0.0,Clear,0,,1936,1,59.0,0.931,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 19:00:00,19,2,0,774,13,11.5,0.0,Cloudy,0,,2257,1,59.5,0.938,high,5,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 20:00:00,20,2,0,541,13,10.0,0.0,Clear,0,,2082,1,41.6,0.656,high,4,Evening Peak
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 21:00:00,21,2,0,236,5,7.6,0.0,Clear,0,,1551,0,47.2,0.744,high,4,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 22:00:00,22,2,0,112,5,10.0,0.0,Clear,0,,889,0,22.4,0.353,medium,3,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-03 23:00:00,23,2,0,31,0,9.9,0.0,Clear,0,,379,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,143,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,31,0,0.0,0.0,low,1,Night
MG09,Janakpuri West Magenta,Magenta Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
