station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 06:00:00,6,0,0,61,4,13.7,0.0,Clear,1,New Year,61,0,15.2,0.321,low,2,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 07:00:00,7,0,0,238,6,17.7,0.0,Cloudy,1,New Year,299,0,39.7,0.838,high,5,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 08:00:00,8,0,0,710,14,18.6,0.0,Clear,1,New Year,1009,1,50.7,1.0,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 09:00:00,9,0,0,849,14,18.5,0.0,Clear,1,New Year,1797,1,60.6,1.0,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 10:00:00,10,0,0,620,14,18.5,0.0,Clear,1,New Year,2179,1,44.3,0.935,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 11:00:00,11,0,0,422,7,17.5,0.0,Clear,1,New Year,1891,0,60.3,1.0,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 12:00:00,12,0,0,404,7,18.0,0.0,Clear,1,New Year,1446,0,57.7,1.0,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 13:00:00,13,0,0,348,7,16.1,0.0,Clear,1,New Year,1174,0,49.7,1.0,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 14:00:00,14,0,0,323,7,14.7,0.0,Clear,1,New Year,1075,0,46.1,0.973,high,5,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 15:00:00,15,0,0,389,7,12.4,0.0,Clear,1,New Year,1060,0,55.6,1.0,high,5,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 16:00:00,16,0,0,465,7,12.0,0.0,Clear,1,New Year,1177,0,66.4,1.0,high,5,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 17:00:00,17,0,0,749,13,12.6,0.0,Clear,1,New Year,1603,1,57.6,1.0,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 18:00:00,18,0,0,857,13,11.8,0.0,Clear,1,New Year,2071,1,65.9,1.0,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 19:00:00,19,0,0,713,13,9.4,0.0,Clear,1,New Year,2319,1,54.8,1.0,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 20:00:00,20,0,0,525,13,9.6,0.0,Clear,1,New Year,2095,1,40.4,0.852,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 21:00:00,21,0,0,247,5,8.6,0.0,Clear,1,New Year,1485,0,49.4,1.0,high,5,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 22:00:00,22,0,0,98,5,10.3,0.0,Clear,1,New Year,870,0,19.6,0.414,medium,3,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-01 23:00:00,23,0,0,32,0,10.5,0.0,Clear,1,New Year,377,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,130,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,32,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 06:00:00,6,1,0,44,4,14.5,0.0,Clear,0,,44,0,11.0,0.232,low,2,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 07:00:00,7,1,0,170,6,16.3,0.0,Clear,0,,214,0,28.3,0.597,medium,4,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 08:00:00,8,1,0,592,14,17.4,0.0,Cloudy,0,,806,1,42.3,0.892,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 09:00:00,9,1,0,604,14,18.4,0.0,Clear,0,,1366,1,43.1,0.909,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 10:00:00,10,1,0,443,14,20.4,0.0,Cloudy,0,,1639,1,31.6,0.667,high,4,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 11:00:00,11,1,0,281,7,19.8,0.0,Cloudy,0,,1328,0,40.1,0.846,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 12:00:00,12,1,0,320,7,18.2,0.0,Clear,0,,1044,0,45.7,0.964,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 13:00:00,13,1,0,267,7,16.1,0.0,Clear,0,,868,0,38.1,0.804,high,5,Mid Morning
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 14:00:00,14,1,0,236,7,14.6,0.0,Clear,0,,823,0,33.7,0.711,high,4,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 15:00:00,15,1,0,257,7,13.0,0.0,Clear,0,,760,0,36.7,0.774,high,5,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 16:00:00,16,1,0,342,7,11.6,0.0,Clear,0,,835,0,48.9,1.0,high,5,Afternoon
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 17:00:00,17,1,0,552,13,11.3,0.0,Clear,0,,1151,1,42.5,0.897,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 18:00:00,18,1,0,583,13,11.6,0.0,Clear,0,,1477,1,44.8,0.945,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 19:00:00,19,1,0,550,13,10.7,0.0,Clear,0,,1685,1,42.3,0.892,high,5,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 20:00:00,20,1,0,417,13,11.3,0.0,Clear,0,,1550,1,32.1,0.677,high,4,Evening Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 21:00:00,21,1,0,183,5,9.6,0.0,Clear,0,,1150,0,36.6,0.772,high,5,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 22:00:00,22,1,0,76,5,9.8,0.0,Clear,0,,676,0,15.2,0.321,low,2,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-02 23:00:00,23,1,0,23,0,9.3,0.0,Clear,0,,282,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,99,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,23,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 06:00:00,6,2,0,48,4,14.7,0.0,Cloudy,0,,48,0,12.0,0.253,low,2,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 07:00:00,7,2,0,182,6,16.2,0.0,Clear,0,,230,0,30.3,0.639,medium,4,Night
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 08:00:00,8,2,0,574,14,16.0,0.0,Clear,0,,804,1,41.0,0.865,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 09:00:00,9,2,0,622,14,19.3,0.0,Clear,0,,1378,1,44.4,0.937,high,5,Morning Peak
MG10,Jasola Vihar Shaheen Bagh,Magenta Line,2024-01-03 10:00:00,10,2,0,411,14,18.1,0.0,Clear,0,,1607,1,29.4,0.62,medium,4,Morning Peak
