station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 06:00:00,6,0,0,859,4,13.7,0.0,Clear,1,New Year,859,0,214.8,0.34,low,2,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 07:00:00,7,0,0,3460,6,17.7,0.0,Cloudy,1,New Year,4319,0,576.7,0.912,high,5,Night
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 08:00:00,8,0,0,10004,14,18.6,0.0,Clear,1,New Year,14323,1,714.6,1.0,high,5,Morning Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 09:00:00,9,0,0,10994,14,18.5,0.0,Clear,1,New Year,24458,1,785.3,1.0,high,5,Morning Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 10:00:00,10,0,0,8155,14,18.5,0.0,Clear,1,New Year,29153,1,582.5,0.921,high,5,Morning Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 11:00:00,11,0,0,5115,7,17.5,0.0,Clear,1,New Year,24264,0,730.7,1.0,high,5,Mid Morning
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 12:00:00,12,0,0,5469,7,18.0,0.0,Clear,1,New Year,18739,0,781.3,1.0,high,5,Mid Morning
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 13:00:00,13,0,0,5064,7,16.1,0.0,Clear,1,New Year,15648,0,723.4,1.0,high,5,Mid Morning
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 14:00:00,14,0,0,4188,7,14.7,0.0,Clear,1,New Year,14721,0,598.3,0.946,high,5,Afternoon
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 15:00:00,15,0,0,4822,7,12.4,0.0,Clear,1,New Year,14074,0,688.9,1.0,high,5,Afternoon
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 16:00:00,16,0,0,6345,7,12.0,0.0,Clear,1,New Year,15355,0,906.4,1.0,high,5,Afternoon
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 17:00:00,17,0,0,9537,13,12.6,0.0,Clear,1,New Year,20704,1,733.6,1.0,high,5,Evening Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 18:00:00,18,0,0,10498,13,11.8,0.0,Clear,1,New Year,26380,1,807.5,1.0,high,5,Evening Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 19:00:00,19,0,0,9603,13,9.4,0.0,Clear,1,New Year,29638,1,738.7,1.0,high,5,Evening Peak
MG11,Kalkaji Mandir Magenta,Magenta Line,2024-01-01 20:00:00,20,0,0,7502,13,9.6,0.0,Clear,1,New Year,27603,1,577.1,0.912,high,5,Evening Peak
