station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG12,Kalindi Kunj,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 06:00:00,6,0,0,71,4,13.7,0.0,Clear,1,New Year,71,0,17.8,0.322,low,2,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 07:00:00,7,0,0,263,6,17.7,0.0,Cloudy,1,New Year,334,0,43.8,0.793,high,5,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 08:00:00,8,0,0,863,14,18.6,0.0,Clear,1,New Year,1197,1,61.6,1.0,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 09:00:00,9,0,0,966,14,18.5,0.0,Clear,1,New Year,2092,1,69.0,1.0,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 10:00:00,10,0,0,646,14,18.5,0.0,Clear,1,New Year,2475,1,46.1,0.835,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 11:00:00,11,0,0,473,7,17.5,0.0,Clear,1,New Year,2085,0,67.6,1.0,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-01 12:00:00,12,0,0,472,7,18.0,0.0,Clear,1,New Year,1591,0,67.4,1.0,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-01 13:00:00,13,0,0,425,7,16.1,0.0,Clear,1,New Year,1370,0,60.7,1.0,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-01 14:00:00,14,0,0,390,7,14.7,0.0,Clear,1,New Year,1287,0,55.7,1.0,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-01 15:00:00,15,0,0,432,7,12.4,0.0,Clear,1,New Year,1247,0,61.7,1.0,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-01 16:00:00,16,0,0,486,7,12.0,0.0,Clear,1,New Year,1308,0,69.4,1.0,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-01 17:00:00,17,0,0,850,13,12.6,0.0,Clear,1,New Year,1768,1,65.4,1.0,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 18:00:00,18,0,0,1005,13,11.8,0.0,Clear,1,New Year,2341,1,77.3,1.0,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 19:00:00,19,0,0,922,13,9.4,0.0,Clear,1,New Year,2777,1,70.9,1.0,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 20:00:00,20,0,0,665,13,9.6,0.0,Clear,1,New Year,2592,1,51.2,0.928,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-01 21:00:00,21,0,0,275,5,8.6,0.0,Clear,1,New Year,1862,0,55.0,0.996,high,5,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 22:00:00,22,0,0,130,5,10.3,0.0,Clear,1,New Year,1070,0,26.0,0.471,medium,3,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-01 23:00:00,23,0,0,35,0,10.5,0.0,Clear,1,New Year,440,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,165,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,35,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 06:00:00,6,1,0,56,4,14.5,0.0,Clear,0,,56,0,14.0,0.254,low,2,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 07:00:00,7,1,0,220,6,16.3,0.0,Clear,0,,276,0,36.7,0.665,high,4,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 08:00:00,8,1,0,621,14,17.4,0.0,Cloudy,0,,897,1,44.4,0.804,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 09:00:00,9,1,0,727,14,18.4,0.0,Clear,0,,1568,1,51.9,0.94,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 10:00:00,10,1,0,521,14,20.4,0.0,Cloudy,0,,1869,1,37.2,0.674,high,4,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 11:00:00,11,1,0,365,7,19.8,0.0,Cloudy,0,,1613,0,52.1,0.944,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-02 12:00:00,12,1,0,371,7,18.2,0.0,Clear,0,,1257,0,53.0,0.96,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-02 13:00:00,13,1,0,335,7,16.1,0.0,Clear,0,,1071,0,47.9,0.868,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-02 14:00:00,14,1,0,312,7,14.6,0.0,Clear,0,,1018,0,44.6,0.808,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-02 15:00:00,15,1,0,331,7,13.0,0.0,Clear,0,,978,0,47.3,0.857,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-02 16:00:00,16,1,0,401,7,11.6,0.0,Clear,0,,1044,0,57.3,1.0,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-02 17:00:00,17,1,0,624,13,11.3,0.0,Clear,0,,1356,1,48.0,0.87,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 18:00:00,18,1,0,688,13,11.6,0.0,Clear,0,,1713,1,52.9,0.958,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 19:00:00,19,1,0,659,13,10.7,0.0,Clear,0,,1971,1,50.7,0.918,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 20:00:00,20,1,0,483,13,11.3,0.0,Clear,0,,1830,1,37.2,0.674,high,4,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-02 21:00:00,21,1,0,215,5,9.6,0.0,Clear,0,,1357,0,43.0,0.779,high,5,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 22:00:00,22,1,0,88,5,9.8,0.0,Clear,0,,786,0,17.6,0.319,low,2,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-02 23:00:00,23,1,0,30,0,9.3,0.0,Clear,0,,333,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,118,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,30,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 06:00:00,6,2,0,53,4,14.7,0.0,Cloudy,0,,53,0,13.2,0.239,low,2,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 07:00:00,7,2,0,212,6,16.2,0.0,Clear,0,,265,0,35.3,0.639,medium,4,Night
MG12,Kalindi Kunj,Magenta Line,2024-01-03 08:00:00,8,2,0,602,14,16.0,0.0,Clear,0,,867,1,43.0,0.779,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 09:00:00,9,2,0,700,14,19.3,0.0,Clear,0,,1514,1,50.0,0.906,high,5,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 10:00:00,10,2,0,501,14,18.1,0.0,Clear,0,,1803,1,35.8,0.649,medium,4,Morning Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 11:00:00,11,2,0,359,7,17.9,0.0,Clear,0,,1560,0,51.3,0.929,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-03 12:00:00,12,2,0,341,7,18.4,0.0,Clear,0,,1201,0,48.7,0.882,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-03 13:00:00,13,2,0,307,7,16.5,0.0,Clear,0,,1007,0,43.9,0.795,high,5,Mid Morning
MG12,Kalindi Kunj,Magenta Line,2024-01-03 14:00:00,14,2,0,294,7,14.9,0.0,Clear,0,,942,0,42.0,0.761,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-03 15:00:00,15,2,0,334,7,12.6,0.0,Clear,0,,935,0,47.7,0.864,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-03 16:00:00,16,2,0,403,7,11.3,0.0,Clear,0,,1031,0,57.6,1.0,high,5,Afternoon
MG12,Kalindi Kunj,Magenta Line,2024-01-03 17:00:00,17,2,0,581,13,10.7,0.0,Clear,0,,1318,1,44.7,0.81,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 18:00:00,18,2,0,756,13,11.1,0.0,Clear,0,,1740,1,58.2,1.0,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 19:00:00,19,2,0,600,13,11.5,0.0,Cloudy,0,,1937,1,46.2,0.837,high,5,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 20:00:00,20,2,0,453,13,10.0,0.0,Clear,0,,1809,1,34.8,0.63,medium,4,Evening Peak
MG12,Kalindi Kunj,Magenta Line,2024-01-03 21:00:00,21,2,0,213,5,7.6,0.0,Clear,0,,1266,0,42.6,0.772,high,5,Night
