station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG13,Munirka,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-01 06:00:00,6,0,0,97,4,13.7,0.0,Clear,1,New Year,97,0,24.2,0.325,low,2,Night
MG13,Munirka,Magenta Line,2024-01-01 07:00:00,7,0,0,407,6,17.7,0.0,Cloudy,1,New Year,504,0,67.8,0.911,high,5,Night
MG13,Munirka,Magenta Line,2024-01-01 08:00:00,8,0,0,1203,14,18.6,0.0,Clear,1,New Year,1707,1,85.9,1.0,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-01 09:00:00,9,0,0,1296,14,18.5,0.0,Clear,1,New Year,2906,1,92.6,1.0,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-01 10:00:00,10,0,0,854,14,18.5,0.0,Clear,1,New Year,3353,1,61.0,0.82,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-01 11:00:00,11,0,0,588,7,17.5,0.0,Clear,1,New Year,2738,0,84.0,1.0,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-01 12:00:00,12,0,0,636,7,18.0,0.0,Clear,1,New Year,2078,0,90.9,1.0,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-01 13:00:00,13,0,0,529,7,16.1,0.0,Clear,1,New Year,1753,0,75.6,1.0,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-01 14:00:00,14,0,0,512,7,14.7,0.0,Clear,1,New Year,1677,0,73.1,0.983,high,5,Afternoon
MG13,Munirka,Magenta Line,2024-01-01 15:00:00,15,0,0,613,7,12.4,0.0,Clear,1,New Year,1654,0,87.6,1.0,high,5,Afternoon
MG13,Munirka,Magenta Line,2024-01-01 16:00:00,16,0,0,753,7,12.0,0.0,Clear,1,New Year,1878,0,107.6,1.0,high,5,Afternoon
MG13,Munirka,Magenta Line,2024-01-01 17:00:00,17,0,0,1071,13,12.6,0.0,Clear,1,New Year,2437,1,82.4,1.0,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-01 18:00:00,18,0,0,1274,13,11.8,0.0,Clear,1,New Year,3098,1,98.0,1.0,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-01 19:00:00,19,0,0,1101,13,9.4,0.0,Clear,1,New Year,3446,1,84.7,1.0,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-01 20:00:00,20,0,0,815,13,9.6,0.0,Clear,1,New Year,3190,1,62.7,0.843,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-01 21:00:00,21,0,0,379,5,8.6,0.0,Clear,1,New Year,2295,0,75.8,1.0,high,5,Night
MG13,Munirka,Magenta Line,2024-01-01 22:00:00,22,0,0,158,5,10.3,0.0,Clear,1,New Year,1352,0,31.6,0.425,medium,3,Night
MG13,Munirka,Magenta Line,2024-01-01 23:00:00,23,0,0,55,0,10.5,0.0,Clear,1,New Year,592,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,213,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,55,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-02 06:00:00,6,1,0,70,4,14.5,0.0,Clear,0,,70,0,17.5,0.235,low,2,Night
MG13,Munirka,Magenta Line,2024-01-02 07:00:00,7,1,0,265,6,16.3,0.0,Clear,0,,335,0,44.2,0.594,medium,4,Night
MG13,Munirka,Magenta Line,2024-01-02 08:00:00,8,1,0,899,14,17.4,0.0,Cloudy,0,,1234,1,64.2,0.863,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-02 09:00:00,9,1,0,949,14,18.4,0.0,Clear,0,,2113,1,67.8,0.911,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-02 10:00:00,10,1,0,684,14,20.4,0.0,Cloudy,0,,2532,1,48.9,0.657,high,4,Morning Peak
MG13,Munirka,Magenta Line,2024-01-02 11:00:00,11,1,0,477,7,19.8,0.0,Cloudy,0,,2110,0,68.1,0.915,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-02 12:00:00,12,1,0,466,7,18.2,0.0,Clear,0,,1627,0,66.6,0.895,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-02 13:00:00,13,1,0,395,7,16.1,0.0,Clear,0,,1338,0,56.4,0.758,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-02 14:00:00,14,1,0,365,7,14.6,0.0,Clear,0,,1226,0,52.1,0.7,high,4,Afternoon
MG13,Munirka,Magenta Line,2024-01-02 15:00:00,15,1,0,448,7,13.0,0.0,Clear,0,,1208,0,64.0,0.86,high,5,Afternoon
MG13,Munirka,Magenta Line,2024-01-02 16:00:00,16,1,0,547,7,11.6,0.0,Clear,0,,1360,0,78.1,1.0,high,5,Afternoon
MG13,Munirka,Magenta Line,2024-01-02 17:00:00,17,1,0,829,13,11.3,0.0,Clear,0,,1824,1,63.8,0.858,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-02 18:00:00,18,1,0,892,13,11.6,0.0,Clear,0,,2268,1,68.6,0.922,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-02 19:00:00,19,1,0,859,13,10.7,0.0,Clear,0,,2580,1,66.1,0.888,high,5,Evening Peak
MG13,Munirka,Magenta Line,2024-01-02 20:00:00,20,1,0,603,13,11.3,0.0,Clear,0,,2354,1,46.4,0.624,medium,4,Evening Peak
MG13,Munirka,Magenta Line,2024-01-02 21:00:00,21,1,0,275,5,9.6,0.0,Clear,0,,1737,0,55.0,0.739,high,4,Night
MG13,Munirka,Magenta Line,2024-01-02 22:00:00,22,1,0,119,5,9.8,0.0,Clear,0,,997,0,23.8,0.32,low,2,Night
MG13,Munirka,Magenta Line,2024-01-02 23:00:00,23,1,0,38,0,9.3,0.0,Clear,0,,432,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,157,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,38,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG13,Munirka,Magenta Line,2024-01-03 06:00:00,6,2,0,69,4,14.7,0.0,Cloudy,0,,69,0,17.2,0.231,low,2,Night
MG13,Munirka,Magenta Line,2024-01-03 07:00:00,7,2,0,264,6,16.2,0.0,Clear,0,,333,0,44.0,0.591,medium,4,Night
MG13,Munirka,Magenta Line,2024-01-03 08:00:00,8,2,0,896,14,16.0,0.0,Clear,0,,1229,1,64.0,0.86,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-03 09:00:00,9,2,0,1020,14,19.3,0.0,Clear,0,,2180,1,72.9,0.98,high,5,Morning Peak
MG13,Munirka,Magenta Line,2024-01-03 10:00:00,10,2,0,623,14,18.1,0.0,Clear,0,,2539,1,44.5,0.598,medium,4,Morning Peak
MG13,Munirka,Magenta Line,2024-01-03 11:00:00,11,2,0,477,7,17.9,0.0,Clear,0,,2120,0,68.1,0.915,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-03 12:00:00,12,2,0,436,7,18.4,0.0,Clear,0,,1536,0,62.3,0.837,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-03 13:00:00,13,2,0,430,7,16.5,0.0,Clear,0,,1343,0,61.4,0.825,high,5,Mid Morning
MG13,Munirka,Magenta Line,2024-01-03 14:00:00,14,2,0,380,7,14.9,0.0,Clear,0,,1246,0,54.3,0.73,high,4,Afternoon
MG13,Munirka,Magenta Line,2024-01-03 15:00:00,15,2,0,462,7,12.6,0.0,Clear,0,,1272,0,66.0,0.887,high,5,Afternoon
