station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG14,Nehru Enclave,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 06:00:00,6,0,0,91,4,13.7,0.0,Clear,1,New Year,91,0,22.8,0.36,medium,3,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 07:00:00,7,0,0,306,6,17.7,0.0,Cloudy,1,New Year,397,0,51.0,0.806,high,5,Night
MG14,Nehru Enclave,Magenta Line,2024-01-01 08:00:00,8,0,0,1065,14,18.6,0.0,Clear,1,New Year,1462,1,76.1,1.0,high,5,Morning Peak
MG14,Nehru Enclave,Magenta Line,2024-01-01 09:00:00,9,0,0,1218,14,18.5,0.0,Clear,1,New Year,2589,1,87.0,1.0,high,5,Morning Peak
MG14,Nehru Enclave,Magenta Line,2024-01-01 10:00:00,10,0,0,745,14,18.5,0.0,Clear,1,New Year,3028,1,53.2,0.84,high,5,Morning Peak
MG14,Nehru Enclave,Magenta Line,2024-01-01 11:00:00,11,0,0,581,7,17.5,0.0,Clear,1,New Year,2544,0,83.0,1.0,high,5,Mid Morning
MG14,Nehru Enclave,Magenta Line,2024-01-01 12:00:00,12,0,0,502,7,18.0,0.0,Clear,1,New Year,1828,0,71.7,1.0,high,5,Mid Morning
MG14,Nehru Enclave,Magenta Line,2024-01-01 13:00:00,13,0,0,480,7,16.1,0.0,Clear,1,New Year,1563,0,68.6,1.0,high,5,Mid Morning
MG14,Nehru Enclave,Magenta Line,2024-01-01 14:00:00,14,0,0,485,7,14.7,0.0,Clear,1,New Year,1467,0,69.3,1.0,high,5,Afternoon
MG14,Nehru Enclave,Magenta Line,2024-01-01 15:00:00,15,0,0,524,7,12.4,0.0,Clear,1,New Year,1489,0,74.9,1.0,high,5,Afternoon
MG14,Nehru Enclave,Magenta Line,2024-01-01 16:00:00,16,0,0,605,7,12.0,0.0,Clear,1,New Year,1614,0,86.4,1.0,high,5,Afternoon
