station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG16,Okhla NSIC,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 06:00:00,6,0,0,51,4,13.7,0.0,Clear,1,New Year,51,0,12.8,0.324,low,2,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 07:00:00,7,0,0,198,6,17.7,0.0,Cloudy,1,New Year,249,0,33.0,0.835,high,5,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 08:00:00,8,0,0,606,14,18.6,0.0,Clear,1,New Year,855,1,43.3,1.0,high,5,Morning Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 09:00:00,9,0,0,744,14,18.5,0.0,Clear,1,New Year,1548,1,53.1,1.0,high,5,Morning Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 10:00:00,10,0,0,453,14,18.5,0.0,Clear,1,New Year,1803,1,32.4,0.82,high,5,Morning Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 11:00:00,11,0,0,329,7,17.5,0.0,Clear,1,New Year,1526,0,47.0,1.0,high,5,Mid Morning
MG16,Okhla NSIC,Magenta Line,2024-01-01 12:00:00,12,0,0,357,7,18.0,0.0,Clear,1,New Year,1139,0,51.0,1.0,high,5,Mid Morning
MG16,Okhla NSIC,Magenta Line,2024-01-01 13:00:00,13,0,0,283,7,16.1,0.0,Clear,1,New Year,969,0,40.4,1.0,high,5,Mid Morning
MG16,Okhla NSIC,Magenta Line,2024-01-01 14:00:00,14,0,0,286,7,14.7,0.0,Clear,1,New Year,926,0,40.9,1.0,high,5,Afternoon
MG16,Okhla NSIC,Magenta Line,2024-01-01 15:00:00,15,0,0,333,7,12.4,0.0,Clear,1,New Year,902,0,47.6,1.0,high,5,Afternoon
MG16,Okhla NSIC,Magenta Line,2024-01-01 16:00:00,16,0,0,365,7,12.0,0.0,Clear,1,New Year,984,0,52.1,1.0,high,5,Afternoon
MG16,Okhla NSIC,Magenta Line,2024-01-01 17:00:00,17,0,0,561,13,12.6,0.0,Clear,1,New Year,1259,1,43.2,1.0,high,5,Evening Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 18:00:00,18,0,0,626,13,11.8,0.0,Clear,1,New Year,1552,1,48.2,1.0,high,5,Evening Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 19:00:00,19,0,0,632,13,9.4,0.0,Clear,1,New Year,1819,1,48.6,1.0,high,5,Evening Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 20:00:00,20,0,0,455,13,9.6,0.0,Clear,1,New Year,1713,1,35.0,0.886,high,5,Evening Peak
MG16,Okhla NSIC,Magenta Line,2024-01-01 21:00:00,21,0,0,215,5,8.6,0.0,Clear,1,New Year,1302,0,43.0,1.0,high,5,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 22:00:00,22,0,0,83,5,10.3,0.0,Clear,1,New Year,753,0,16.6,0.42,medium,3,Night
MG16,Okhla NSIC,Magenta Line,2024-01-01 23:00:00,23,0,0,28,0,10.5,0.0,Clear,1,New Year,326,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,111,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,28,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG16,Okhla NSIC,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
