station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG17,Okhla Vihar,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 06:00:00,6,0,0,53,4,13.7,0.0,Clear,1,New Year,53,0,13.2,0.334,low,2,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 07:00:00,7,0,0,189,6,17.7,0.0,Cloudy,1,New Year,242,0,31.5,0.798,high,5,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 08:00:00,8,0,0,632,14,18.6,0.0,Clear,1,New Year,874,1,45.1,1.0,high,5,Morning Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 09:00:00,9,0,0,748,14,18.5,0.0,Clear,1,New Year,1569,1,53.4,1.0,high,5,Morning Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 10:00:00,10,0,0,507,14,18.5,0.0,Clear,1,New Year,1887,1,36.2,0.917,high,5,Morning Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 11:00:00,11,0,0,340,7,17.5,0.0,Clear,1,New Year,1595,0,48.6,1.0,high,5,Mid Morning
MG17,Okhla Vihar,Magenta Line,2024-01-01 12:00:00,12,0,0,330,7,18.0,0.0,Clear,1,New Year,1177,0,47.1,1.0,high,5,Mid Morning
MG17,Okhla Vihar,Magenta Line,2024-01-01 13:00:00,13,0,0,309,7,16.1,0.0,Clear,1,New Year,979,0,44.1,1.0,high,5,Mid Morning
MG17,Okhla Vihar,Magenta Line,2024-01-01 14:00:00,14,0,0,304,7,14.7,0.0,Clear,1,New Year,943,0,43.4,1.0,high,5,Afternoon
MG17,Okhla Vihar,Magenta Line,2024-01-01 15:00:00,15,0,0,334,7,12.4,0.0,Clear,1,New Year,947,0,47.7,1.0,high,5,Afternoon
MG17,Okhla Vihar,Magenta Line,2024-01-01 16:00:00,16,0,0,363,7,12.0,0.0,Clear,1,New Year,1001,0,51.9,1.0,high,5,Afternoon
MG17,Okhla Vihar,Magenta Line,2024-01-01 17:00:00,17,0,0,606,13,12.6,0.0,Clear,1,New Year,1303,1,46.6,1.0,high,5,Evening Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 18:00:00,18,0,0,649,13,11.8,0.0,Clear,1,New Year,1618,1,49.9,1.0,high,5,Evening Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 19:00:00,19,0,0,594,13,9.4,0.0,Clear,1,New Year,1849,1,45.7,1.0,high,5,Evening Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 20:00:00,20,0,0,432,13,9.6,0.0,Clear,1,New Year,1675,1,33.2,0.841,high,5,Evening Peak
MG17,Okhla Vihar,Magenta Line,2024-01-01 21:00:00,21,0,0,194,5,8.6,0.0,Clear,1,New Year,1220,0,38.8,0.983,high,5,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 22:00:00,22,0,0,88,5,10.3,0.0,Clear,1,New Year,714,0,17.6,0.446,medium,3,Night
MG17,Okhla Vihar,Magenta Line,2024-01-01 23:00:00,23,0,0,27,0,10.5,0.0,Clear,1,New Year,309,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,115,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG17,Okhla Vihar,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
