station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG18,Palam,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-01 06:00:00,6,0,0,64,4,13.7,0.0,Clear,1,New Year,64,0,16.0,0.337,low,2,Night
MG18,Palam,Magenta Line,2024-01-01 07:00:00,7,0,0,249,6,17.7,0.0,Cloudy,1,New Year,313,0,41.5,0.874,high,5,Night
MG18,Palam,Magenta Line,2024-01-01 08:00:00,8,0,0,688,14,18.6,0.0,Clear,1,New Year,1001,1,49.1,1.0,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-01 09:00:00,9,0,0,928,14,18.5,0.0,Clear,1,New Year,1865,1,66.3,1.0,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-01 10:00:00,10,0,0,584,14,18.5,0.0,Clear,1,New Year,2200,1,41.7,0.878,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-01 11:00:00,11,0,0,394,7,17.5,0.0,Clear,1,New Year,1906,0,56.3,1.0,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-01 12:00:00,12,0,0,378,7,18.0,0.0,Clear,1,New Year,1356,0,54.0,1.0,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-01 13:00:00,13,0,0,354,7,16.1,0.0,Clear,1,New Year,1126,0,50.6,1.0,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-01 14:00:00,14,0,0,361,7,14.7,0.0,Clear,1,New Year,1093,0,51.6,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-01 15:00:00,15,0,0,360,7,12.4,0.0,Clear,1,New Year,1075,0,51.4,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-01 16:00:00,16,0,0,430,7,12.0,0.0,Clear,1,New Year,1151,0,61.4,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-01 17:00:00,17,0,0,667,13,12.6,0.0,Clear,1,New Year,1457,1,51.3,1.0,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-01 18:00:00,18,0,0,784,13,11.8,0.0,Clear,1,New Year,1881,1,60.3,1.0,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-01 19:00:00,19,0,0,803,13,9.4,0.0,Clear,1,New Year,2254,1,61.8,1.0,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-01 20:00:00,20,0,0,577,13,9.6,0.0,Clear,1,New Year,2164,1,44.4,0.935,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-01 21:00:00,21,0,0,262,5,8.6,0.0,Clear,1,New Year,1642,0,52.4,1.0,high,5,Night
MG18,Palam,Magenta Line,2024-01-01 22:00:00,22,0,0,105,5,10.3,0.0,Clear,1,New Year,944,0,21.0,0.442,medium,3,Night
MG18,Palam,Magenta Line,2024-01-01 23:00:00,23,0,0,34,0,10.5,0.0,Clear,1,New Year,401,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,139,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,34,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-02 06:00:00,6,1,0,51,4,14.5,0.0,Clear,0,,51,0,12.8,0.269,low,2,Night
MG18,Palam,Magenta Line,2024-01-02 07:00:00,7,1,0,180,6,16.3,0.0,Clear,0,,231,0,30.0,0.632,medium,4,Night
MG18,Palam,Magenta Line,2024-01-02 08:00:00,8,1,0,565,14,17.4,0.0,Cloudy,0,,796,1,40.4,0.851,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-02 09:00:00,9,1,0,684,14,18.4,0.0,Clear,0,,1429,1,48.9,1.0,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-02 10:00:00,10,1,0,455,14,20.4,0.0,Cloudy,0,,1704,1,32.5,0.684,high,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-02 11:00:00,11,1,0,284,7,19.8,0.0,Cloudy,0,,1423,0,40.6,0.855,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-02 12:00:00,12,1,0,309,7,18.2,0.0,Clear,0,,1048,0,44.1,0.928,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-02 13:00:00,13,1,0,264,7,16.1,0.0,Clear,0,,857,0,37.7,0.794,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-02 14:00:00,14,1,0,269,7,14.6,0.0,Clear,0,,842,0,38.4,0.808,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-02 15:00:00,15,1,0,260,7,13.0,0.0,Clear,0,,793,0,37.1,0.781,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-02 16:00:00,16,1,0,350,7,11.6,0.0,Clear,0,,879,0,50.0,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-02 17:00:00,17,1,0,489,13,11.3,0.0,Clear,0,,1099,1,37.6,0.792,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-02 18:00:00,18,1,0,553,13,11.6,0.0,Clear,0,,1392,1,42.5,0.895,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-02 19:00:00,19,1,0,592,13,10.7,0.0,Clear,0,,1634,1,45.5,0.958,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-02 20:00:00,20,1,0,437,13,11.3,0.0,Clear,0,,1582,1,33.6,0.707,high,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-02 21:00:00,21,1,0,184,5,9.6,0.0,Clear,0,,1213,0,36.8,0.775,high,5,Night
MG18,Palam,Magenta Line,2024-01-02 22:00:00,22,1,0,78,5,9.8,0.0,Clear,0,,699,0,15.6,0.328,low,2,Night
MG18,Palam,Magenta Line,2024-01-02 23:00:00,23,1,0,22,0,9.3,0.0,Clear,0,,284,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,100,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,22,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-03 06:00:00,6,2,0,44,4,14.7,0.0,Cloudy,0,,44,0,11.0,0.232,low,2,Night
MG18,Palam,Magenta Line,2024-01-03 07:00:00,7,2,0,190,6,16.2,0.0,Clear,0,,234,0,31.7,0.667,high,4,Night
MG18,Palam,Magenta Line,2024-01-03 08:00:00,8,2,0,525,14,16.0,0.0,Clear,0,,759,1,37.5,0.789,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-03 09:00:00,9,2,0,699,14,19.3,0.0,Clear,0,,1414,1,49.9,1.0,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-03 10:00:00,10,2,0,451,14,18.1,0.0,Clear,0,,1675,1,32.2,0.678,high,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-03 11:00:00,11,2,0,310,7,17.9,0.0,Clear,0,,1460,0,44.3,0.933,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-03 12:00:00,12,2,0,280,7,18.4,0.0,Clear,0,,1041,0,40.0,0.842,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-03 13:00:00,13,2,0,276,7,16.5,0.0,Clear,0,,866,0,39.4,0.829,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-03 14:00:00,14,2,0,247,7,14.9,0.0,Clear,0,,803,0,35.3,0.743,high,4,Afternoon
MG18,Palam,Magenta Line,2024-01-03 15:00:00,15,2,0,259,7,12.6,0.0,Clear,0,,782,0,37.0,0.779,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-03 16:00:00,16,2,0,340,7,11.3,0.0,Clear,0,,846,0,48.6,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-03 17:00:00,17,2,0,537,13,10.7,0.0,Clear,0,,1136,1,41.3,0.869,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-03 18:00:00,18,2,0,576,13,11.1,0.0,Clear,0,,1453,1,44.3,0.933,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-03 19:00:00,19,2,0,581,13,11.5,0.0,Cloudy,0,,1694,1,44.7,0.941,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-03 20:00:00,20,2,0,406,13,10.0,0.0,Clear,0,,1563,1,31.2,0.657,high,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-03 21:00:00,21,2,0,177,5,7.6,0.0,Clear,0,,1164,0,35.4,0.745,high,4,Night
MG18,Palam,Magenta Line,2024-01-03 22:00:00,22,2,0,84,5,10.0,0.0,Clear,0,,667,0,16.8,0.354,medium,3,Night
MG18,Palam,Magenta Line,2024-01-03 23:00:00,23,2,0,23,0,9.9,0.0,Clear,0,,284,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,107,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,23,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-04 06:00:00,6,3,0,45,4,13.6,0.0,Clear,0,,45,0,11.2,0.236,low,2,Night
MG18,Palam,Magenta Line,2024-01-04 07:00:00,7,3,0,187,6,16.3,0.0,Clear,0,,232,0,31.2,0.657,high,4,Night
MG18,Palam,Magenta Line,2024-01-04 08:00:00,8,3,0,595,14,18.9,0.0,Clear,0,,827,1,42.5,0.895,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-04 09:00:00,9,3,0,602,14,21.2,0.0,Clear,0,,1384,1,43.0,0.905,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-04 10:00:00,10,3,0,416,14,19.8,0.0,Clear,0,,1613,1,29.7,0.625,medium,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-04 11:00:00,11,3,0,308,7,21.6,0.0,Clear,0,,1326,0,44.0,0.926,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-04 12:00:00,12,3,0,313,7,19.3,0.0,Clear,0,,1037,0,44.7,0.941,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-04 13:00:00,13,3,0,252,7,17.4,0.0,Clear,0,,873,0,36.0,0.758,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-04 14:00:00,14,3,0,261,7,13.5,0.0,Clear,0,,826,0,37.3,0.785,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-04 15:00:00,15,3,0,265,7,13.1,0.0,Clear,0,,778,0,37.9,0.798,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-04 16:00:00,16,3,0,352,7,11.6,0.0,Cloudy,0,,878,0,50.3,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-04 17:00:00,17,3,0,522,13,12.0,0.0,Clear,0,,1139,1,40.2,0.846,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-04 18:00:00,18,3,0,570,13,11.2,0.0,Clear,0,,1444,1,43.8,0.922,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-04 19:00:00,19,3,0,560,13,11.4,0.0,Clear,0,,1652,1,43.1,0.907,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-04 20:00:00,20,3,0,394,13,9.0,0.0,Clear,0,,1524,1,30.3,0.638,medium,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-04 21:00:00,21,3,0,178,5,9.4,0.0,Clear,0,,1132,0,35.6,0.749,high,4,Night
MG18,Palam,Magenta Line,2024-01-04 22:00:00,22,3,0,76,5,9.6,0.0,Clear,0,,648,0,15.2,0.32,low,2,Night
MG18,Palam,Magenta Line,2024-01-04 23:00:00,23,3,0,25,0,10.1,0.0,Clear,0,,279,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,101,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 01:00:00,1,4,0,0,0,12.0,0.0,Clear,0,,25,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 02:00:00,2,4,0,0,0,13.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 03:00:00,3,4,0,0,0,13.8,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 04:00:00,4,4,0,0,0,15.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 05:00:00,5,4,0,0,0,12.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-05 06:00:00,6,4,0,49,4,13.9,0.0,Clear,0,,49,0,12.2,0.257,low,2,Night
MG18,Palam,Magenta Line,2024-01-05 07:00:00,7,4,0,176,6,17.2,0.0,Clear,0,,225,0,29.3,0.617,medium,4,Night
MG18,Palam,Magenta Line,2024-01-05 08:00:00,8,4,0,577,14,17.1,0.0,Clear,0,,802,1,41.2,0.867,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-05 09:00:00,9,4,0,667,14,19.6,0.0,Cloudy,0,,1420,1,47.6,1.0,high,5,Morning Peak
MG18,Palam,Magenta Line,2024-01-05 10:00:00,10,4,0,460,14,19.2,0.0,Clear,0,,1704,1,32.9,0.693,high,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-05 11:00:00,11,4,0,296,7,20.4,0.0,Clear,0,,1423,0,42.3,0.891,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-05 12:00:00,12,4,0,287,7,18.5,0.2,Light Rain,0,,1043,0,41.0,0.863,high,5,Mid Morning
MG18,Palam,Magenta Line,2024-01-05 13:00:00,13,4,0,249,7,15.8,0.7,Light Rain,0,,832,0,35.6,0.749,high,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-05 14:00:00,14,4,0,246,7,16.1,0.6,Light Rain,0,,782,0,35.1,0.739,high,4,Afternoon
MG18,Palam,Magenta Line,2024-01-05 15:00:00,15,4,0,260,7,11.6,0.9,Light Rain,0,,755,0,37.1,0.781,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-05 16:00:00,16,4,0,335,7,13.4,0.6,Light Rain,0,,841,0,47.9,1.0,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-05 17:00:00,17,4,0,486,13,11.5,0.5,Light Rain,0,,1081,1,37.4,0.787,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-05 18:00:00,18,4,0,588,13,10.9,0.5,Light Rain,0,,1409,1,45.2,0.952,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-05 19:00:00,19,4,0,548,13,12.1,0.7,Light Rain,0,,1622,1,42.2,0.888,high,5,Evening Peak
MG18,Palam,Magenta Line,2024-01-05 20:00:00,20,4,0,380,13,10.9,0.8,Light Rain,0,,1516,1,29.2,0.615,medium,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-05 21:00:00,21,4,0,190,5,11.2,0.0,Clear,0,,1118,0,38.0,0.8,high,5,Night
MG18,Palam,Magenta Line,2024-01-05 22:00:00,22,4,0,78,5,11.7,0.0,Clear,0,,648,0,15.6,0.328,low,2,Night
MG18,Palam,Magenta Line,2024-01-05 23:00:00,23,4,0,25,0,10.7,0.0,Clear,0,,293,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 00:00:00,0,5,1,0,0,13.2,0.0,Clear,0,,103,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 01:00:00,1,5,1,0,0,12.0,0.0,Clear,0,,25,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 02:00:00,2,5,1,0,0,14.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 03:00:00,3,5,1,0,0,12.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 04:00:00,4,5,1,0,0,15.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 05:00:00,5,5,1,0,0,12.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-06 06:00:00,6,5,1,36,4,16.7,0.0,Clear,0,,36,0,9.0,0.189,low,2,Night
MG18,Palam,Magenta Line,2024-01-06 07:00:00,7,5,1,134,6,17.3,0.0,Clear,0,,170,0,22.3,0.469,medium,3,Night
MG18,Palam,Magenta Line,2024-01-06 08:00:00,8,5,1,393,14,18.9,0.0,Clear,0,,563,1,28.1,0.592,medium,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-06 09:00:00,9,5,1,495,14,18.7,0.0,Clear,0,,1022,1,35.4,0.745,high,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-06 10:00:00,10,5,1,314,14,19.1,0.0,Clear,0,,1202,1,22.4,0.472,medium,3,Morning Peak
MG18,Palam,Magenta Line,2024-01-06 11:00:00,11,5,1,213,7,19.8,0.0,Clear,0,,1022,0,30.4,0.64,medium,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-06 12:00:00,12,5,1,196,7,18.6,0.4,Light Rain,0,,723,0,28.0,0.589,medium,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-06 13:00:00,13,5,1,175,7,18.6,0.3,Light Rain,0,,584,0,25.0,0.526,medium,3,Mid Morning
MG18,Palam,Magenta Line,2024-01-06 14:00:00,14,5,1,166,7,15.5,0.4,Light Rain,0,,537,0,23.7,0.499,medium,3,Afternoon
MG18,Palam,Magenta Line,2024-01-06 15:00:00,15,5,1,186,7,13.3,0.2,Light Rain,0,,527,0,26.6,0.56,medium,4,Afternoon
MG18,Palam,Magenta Line,2024-01-06 16:00:00,16,5,1,220,7,13.1,0.3,Light Rain,0,,572,0,31.4,0.661,high,4,Afternoon
MG18,Palam,Magenta Line,2024-01-06 17:00:00,17,5,1,352,13,11.5,0.3,Light Rain,0,,758,1,27.1,0.571,medium,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-06 18:00:00,18,5,1,405,13,11.7,0.1,Light Rain,0,,977,1,31.2,0.657,high,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-06 19:00:00,19,5,1,361,13,10.7,0.3,Light Rain,0,,1118,1,27.8,0.585,medium,4,Evening Peak
MG18,Palam,Magenta Line,2024-01-06 20:00:00,20,5,1,300,13,11.0,0.2,Light Rain,0,,1066,1,23.1,0.486,medium,3,Evening Peak
MG18,Palam,Magenta Line,2024-01-06 21:00:00,21,5,1,138,5,10.5,0.0,Cloudy,0,,799,0,27.6,0.581,medium,4,Night
MG18,Palam,Magenta Line,2024-01-06 22:00:00,22,5,1,55,5,12.5,0.0,Clear,0,,493,0,11.0,0.232,low,2,Night
MG18,Palam,Magenta Line,2024-01-06 23:00:00,23,5,1,17,0,11.4,0.0,Clear,0,,210,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 00:00:00,0,6,1,0,0,10.1,0.0,Foggy,0,,72,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 01:00:00,1,6,1,0,0,16.1,0.0,Clear,0,,17,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 02:00:00,2,6,1,0,0,13.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 03:00:00,3,6,1,0,0,15.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 04:00:00,4,6,1,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 05:00:00,5,6,1,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG18,Palam,Magenta Line,2024-01-07 06:00:00,6,6,1,33,4,16.2,0.0,Cloudy,0,,33,0,8.2,0.173,low,2,Night
MG18,Palam,Magenta Line,2024-01-07 07:00:00,7,6,1,131,6,17.0,0.0,Clear,0,,164,0,21.8,0.459,medium,3,Night
MG18,Palam,Magenta Line,2024-01-07 08:00:00,8,6,1,410,14,18.5,0.0,Clear,0,,574,1,29.3,0.617,medium,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-07 09:00:00,9,6,1,499,14,20.4,0.0,Clear,0,,1040,1,35.6,0.749,high,4,Morning Peak
MG18,Palam,Magenta Line,2024-01-07 10:00:00,10,6,1,327,14,20.7,0.0,Clear,0,,1236,1,23.4,0.493,medium,3,Morning Peak
MG18,Palam,Magenta Line,2024-01-07 11:00:00,11,6,1,229,7,18.4,0.0,Clear,0,,1055,0,32.7,0.688,high,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-07 12:00:00,12,6,1,208,7,20.0,0.0,Clear,0,,764,0,29.7,0.625,medium,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-07 13:00:00,13,6,1,206,7,18.2,0.0,Clear,0,,643,0,29.4,0.619,medium,4,Mid Morning
MG18,Palam,Magenta Line,2024-01-07 14:00:00,14,6,1,170,7,15.4,0.0,Clear,0,,584,0,24.3,0.512,medium,3,Afternoon
MG18,Palam,Magenta Line,2024-01-07 15:00:00,15,6,1,204,7,12.6,0.0,Clear,0,,580,0,29.1,0.613,medium,4,Afternoon
MG18,Palam,Magenta Line,2024-01-07 16:00:00,16,6,1,256,7,12.8,0.0,Cloudy,0,,630,0,36.6,0.771,high,5,Afternoon
MG18,Palam,Magenta Line,2024-01-07 17:00:00,17,6,1,380,13,11.7,0.0,Clear,0,,840,1,29.2,0.615,medium,4,Evening Peak
