station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG20,R K Puram,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG20,R K Puram,Magenta Line,2024-01-01 06:00:00,6,0,0,75,4,13.7,0.0,Clear,1,New Year,75,0,18.8,0.339,low,2,Night
MG20,R K Puram,Magenta Line,2024-01-01 07:00:00,7,0,0,303,6,17.7,0.0,Cloudy,1,New Year,378,0,50.5,0.912,high,5,Night
MG20,R K Puram,Magenta Line,2024-01-01 08:00:00,8,0,0,875,14,18.6,0.0,Clear,1,New Year,1253,1,62.5,1.0,high,5,Morning Peak
MG20,R K Puram,Magenta Line,2024-01-01 09:00:00,9,0,0,962,14,18.5,0.0,Clear,1,New Year,2140,1,68.7,1.0,high,5,Morning Peak
MG20,R K Puram,Magenta Line,2024-01-01 10:00:00,10,0,0,714,14,18.5,0.0,Clear,1,New Year,2551,1,51.0,0.921,high,5,Morning Peak
MG20,R K Puram,Magenta Line,2024-01-01 11:00:00,11,0,0,448,7,17.5,0.0,Clear,1,New Year,2124,0,64.0,1.0,high,5,Mid Morning
MG20,R K Puram,Magenta Line,2024-01-01 12:00:00,12,0,0,478,7,18.0,0.0,Clear,1,New Year,1640,0,68.3,1.0,high,5,Mid Morning
