station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG23,Shankar Vihar,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 06:00:00,6,0,0,34,4,13.7,0.0,Clear,1,New Year,34,0,8.5,0.359,medium,3,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 07:00:00,7,0,0,115,6,17.7,0.0,Cloudy,1,New Year,149,0,19.2,0.81,high,5,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 08:00:00,8,0,0,399,14,18.6,0.0,Clear,1,New Year,548,1,28.5,1.0,high,5,Morning Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 09:00:00,9,0,0,457,14,18.5,0.0,Clear,1,New Year,971,1,32.6,1.0,high,5,Morning Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 10:00:00,10,0,0,279,14,18.5,0.0,Clear,1,New Year,1135,1,19.9,0.84,high,5,Morning Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 11:00:00,11,0,0,218,7,17.5,0.0,Clear,1,New Year,954,0,31.1,1.0,high,5,Mid Morning
MG23,Shankar Vihar,Magenta Line,2024-01-01 12:00:00,12,0,0,188,7,18.0,0.0,Clear,1,New Year,685,0,26.9,1.0,high,5,Mid Morning
MG23,Shankar Vihar,Magenta Line,2024-01-01 13:00:00,13,0,0,180,7,16.1,0.0,Clear,1,New Year,586,0,25.7,1.0,high,5,Mid Morning
MG23,Shankar Vihar,Magenta Line,2024-01-01 14:00:00,14,0,0,182,7,14.7,0.0,Clear,1,New Year,550,0,26.0,1.0,high,5,Afternoon
MG23,Shankar Vihar,Magenta Line,2024-01-01 15:00:00,15,0,0,197,7,12.4,0.0,Clear,1,New Year,559,0,28.1,1.0,high,5,Afternoon
MG23,Shankar Vihar,Magenta Line,2024-01-01 16:00:00,16,0,0,227,7,12.0,0.0,Clear,1,New Year,606,0,32.4,1.0,high,5,Afternoon
MG23,Shankar Vihar,Magenta Line,2024-01-01 17:00:00,17,0,0,358,13,12.6,0.0,Clear,1,New Year,782,1,27.5,1.0,high,5,Evening Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 18:00:00,18,0,0,404,13,11.8,0.0,Clear,1,New Year,989,1,31.1,1.0,high,5,Evening Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 19:00:00,19,0,0,380,13,9.4,0.0,Clear,1,New Year,1142,1,29.2,1.0,high,5,Evening Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 20:00:00,20,0,0,283,13,9.6,0.0,Clear,1,New Year,1067,1,21.8,0.92,high,5,Evening Peak
MG23,Shankar Vihar,Magenta Line,2024-01-01 21:00:00,21,0,0,115,5,8.6,0.0,Clear,1,New Year,778,0,23.0,0.97,high,5,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 22:00:00,22,0,0,56,5,10.3,0.0,Clear,1,New Year,454,0,11.2,0.473,medium,3,Night
MG23,Shankar Vihar,Magenta Line,2024-01-01 23:00:00,23,0,0,16,0,10.5,0.0,Clear,1,New Year,187,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,72,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,16,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG23,Shankar Vihar,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
