station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 06:00:00,6,0,0,69,4,13.7,0.0,Clear,1,New Year,69,0,17.2,0.363,medium,3,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 07:00:00,7,0,0,229,6,17.7,0.0,Cloudy,1,New Year,298,0,38.2,0.807,high,5,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 08:00:00,8,0,0,796,14,18.6,0.0,Clear,1,New Year,1094,1,56.9,1.0,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 09:00:00,9,0,0,867,14,18.5,0.0,Clear,1,New Year,1892,1,61.9,1.0,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 10:00:00,10,0,0,557,14,18.5,0.0,Clear,1,New Year,2220,1,39.8,0.84,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 11:00:00,11,0,0,434,7,17.5,0.0,Clear,1,New Year,1858,0,62.0,1.0,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 12:00:00,12,0,0,379,7,18.0,0.0,Clear,1,New Year,1370,0,54.1,1.0,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 13:00:00,13,0,0,392,7,16.1,0.0,Clear,1,New Year,1205,0,56.0,1.0,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 14:00:00,14,0,0,352,7,14.7,0.0,Clear,1,New Year,1123,0,50.3,1.0,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 15:00:00,15,0,0,372,7,12.4,0.0,Clear,1,New Year,1116,0,53.1,1.0,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 16:00:00,16,0,0,469,7,12.0,0.0,Clear,1,New Year,1193,0,67.0,1.0,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 17:00:00,17,0,0,694,13,12.6,0.0,Clear,1,New Year,1535,1,53.4,1.0,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 18:00:00,18,0,0,784,13,11.8,0.0,Clear,1,New Year,1947,1,60.3,1.0,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 19:00:00,19,0,0,751,13,9.4,0.0,Clear,1,New Year,2229,1,57.8,1.0,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 20:00:00,20,0,0,580,13,9.6,0.0,Clear,1,New Year,2115,1,44.6,0.942,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 21:00:00,21,0,0,228,5,8.6,0.0,Clear,1,New Year,1559,0,45.6,0.963,high,5,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 22:00:00,22,0,0,110,5,10.3,0.0,Clear,1,New Year,918,0,22.0,0.464,medium,3,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-01 23:00:00,23,0,0,31,0,10.5,0.0,Clear,1,New Year,369,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,141,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,31,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 06:00:00,6,1,0,49,4,14.5,0.0,Clear,0,,49,0,12.2,0.258,low,2,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 07:00:00,7,1,0,183,6,16.3,0.0,Clear,0,,232,0,30.5,0.644,medium,4,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 08:00:00,8,1,0,528,14,17.4,0.0,Cloudy,0,,760,1,37.7,0.796,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 09:00:00,9,1,0,647,14,18.4,0.0,Clear,0,,1358,1,46.2,0.975,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 10:00:00,10,1,0,410,14,20.4,0.0,Cloudy,0,,1585,1,29.3,0.619,medium,4,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 11:00:00,11,1,0,286,7,19.8,0.0,Cloudy,0,,1343,0,40.9,0.864,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 12:00:00,12,1,0,322,7,18.2,0.0,Clear,0,,1018,0,46.0,0.971,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 13:00:00,13,1,0,283,7,16.1,0.0,Clear,0,,891,0,40.4,0.853,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 14:00:00,14,1,0,270,7,14.6,0.0,Clear,0,,875,0,38.6,0.815,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 15:00:00,15,1,0,274,7,13.0,0.0,Clear,0,,827,0,39.1,0.826,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 16:00:00,16,1,0,315,7,11.6,0.0,Clear,0,,859,0,45.0,0.95,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 17:00:00,17,1,0,515,13,11.3,0.0,Clear,0,,1104,1,39.6,0.836,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 18:00:00,18,1,0,582,13,11.6,0.0,Clear,0,,1412,1,44.8,0.946,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 19:00:00,19,1,0,570,13,10.7,0.0,Clear,0,,1667,1,43.8,0.925,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 20:00:00,20,1,0,399,13,11.3,0.0,Clear,0,,1551,1,30.7,0.648,medium,4,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 21:00:00,21,1,0,167,5,9.6,0.0,Clear,0,,1136,0,33.4,0.705,high,4,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 22:00:00,22,1,0,73,5,9.8,0.0,Clear,0,,639,0,14.6,0.308,low,2,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-02 23:00:00,23,1,0,23,0,9.3,0.0,Clear,0,,263,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,96,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,23,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 06:00:00,6,2,0,49,4,14.7,0.0,Cloudy,0,,49,0,12.2,0.258,low,2,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 07:00:00,7,2,0,172,6,16.2,0.0,Clear,0,,221,0,28.7,0.606,medium,4,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 08:00:00,8,2,0,513,14,16.0,0.0,Clear,0,,734,1,36.6,0.773,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 09:00:00,9,2,0,603,14,19.3,0.0,Clear,0,,1288,1,43.1,0.91,high,5,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 10:00:00,10,2,0,413,14,18.1,0.0,Clear,0,,1529,1,29.5,0.623,medium,4,Morning Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 11:00:00,11,2,0,300,7,17.9,0.0,Clear,0,,1316,0,42.9,0.906,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 12:00:00,12,2,0,317,7,18.4,0.0,Clear,0,,1030,0,45.3,0.956,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 13:00:00,13,2,0,253,7,16.5,0.0,Clear,0,,870,0,36.1,0.762,high,5,Mid Morning
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 14:00:00,14,2,0,244,7,14.9,0.0,Clear,0,,814,0,34.9,0.737,high,4,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 15:00:00,15,2,0,275,7,12.6,0.0,Clear,0,,772,0,39.3,0.83,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 16:00:00,16,2,0,334,7,11.3,0.0,Clear,0,,853,0,47.7,1.0,high,5,Afternoon
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 17:00:00,17,2,0,531,13,10.7,0.0,Clear,0,,1140,1,40.8,0.861,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 18:00:00,18,2,0,644,13,11.1,0.0,Clear,0,,1509,1,49.5,1.0,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 19:00:00,19,2,0,575,13,11.5,0.0,Cloudy,0,,1750,1,44.2,0.933,high,5,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 20:00:00,20,2,0,402,13,10.0,0.0,Clear,0,,1621,1,30.9,0.652,high,4,Evening Peak
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 21:00:00,21,2,0,171,5,7.6,0.0,Clear,0,,1148,0,34.2,0.722,high,4,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 22:00:00,22,2,0,78,5,10.0,0.0,Clear,0,,651,0,15.6,0.329,low,2,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-03 23:00:00,23,2,0,25,0,9.9,0.0,Clear,0,,274,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,103,0,0.0,0.0,low,1,Night
MG24,Sukhdev Vihar,Magenta Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,25,0,0.0,0.0,low,1,Night
