station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 06:00:00,6,0,0,117,4,13.7,0.0,Clear,1,New Year,117,0,29.2,0.322,low,2,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 07:00:00,7,0,0,456,6,17.7,0.0,Cloudy,1,New Year,573,0,76.0,0.837,high,5,Night
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 08:00:00,8,0,0,1394,14,18.6,0.0,Clear,1,New Year,1967,1,99.6,1.0,high,5,Morning Peak
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 09:00:00,9,0,0,1711,14,18.5,0.0,Clear,1,New Year,3561,1,122.2,1.0,high,5,Morning Peak
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 10:00:00,10,0,0,1041,14,18.5,0.0,Clear,1,New Year,4146,1,74.4,0.819,high,5,Morning Peak
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 11:00:00,11,0,0,756,7,17.5,0.0,Clear,1,New Year,3508,0,108.0,1.0,high,5,Mid Morning
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 12:00:00,12,0,0,822,7,18.0,0.0,Clear,1,New Year,2619,0,117.4,1.0,high,5,Mid Morning
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 13:00:00,13,0,0,652,7,16.1,0.0,Clear,1,New Year,2230,0,93.1,1.0,high,5,Mid Morning
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 14:00:00,14,0,0,657,7,14.7,0.0,Clear,1,New Year,2131,0,93.9,1.0,high,5,Afternoon
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 15:00:00,15,0,0,765,7,12.4,0.0,Clear,1,New Year,2074,0,109.3,1.0,high,5,Afternoon
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 16:00:00,16,0,0,839,7,12.0,0.0,Clear,1,New Year,2261,0,119.9,1.0,high,5,Afternoon
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 17:00:00,17,0,0,1290,13,12.6,0.0,Clear,1,New Year,2894,1,99.2,1.0,high,5,Evening Peak
MG25,Terminal 1 IGI Airport,Magenta Line,2024-01-01 18:00:00,18,0,0,1441,13,11.8,0.0,Clear,1,New Year,3570,1,110.8,1.0,high,5,Evening Peak
