station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 06:00:00,6,0,0,116,4,13.7,0.0,Clear,1,New Year,116,0,29.0,0.339,low,2,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 07:00:00,7,0,0,447,6,17.7,0.0,Cloudy,1,New Year,563,0,74.5,0.87,high,5,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 08:00:00,8,0,0,1238,14,18.6,0.0,Clear,1,New Year,1801,1,88.4,1.0,high,5,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 09:00:00,9,0,0,1670,14,18.5,0.0,Clear,1,New Year,3355,1,119.3,1.0,high,5,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 10:00:00,10,0,0,1052,14,18.5,0.0,Clear,1,New Year,3960,1,75.1,0.877,high,5,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 11:00:00,11,0,0,710,7,17.5,0.0,Clear,1,New Year,3432,0,101.4,1.0,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 12:00:00,12,0,0,681,7,18.0,0.0,Clear,1,New Year,2443,0,97.3,1.0,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 13:00:00,13,0,0,637,7,16.1,0.0,Clear,1,New Year,2028,0,91.0,1.0,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 14:00:00,14,0,0,649,7,14.7,0.0,Clear,1,New Year,1967,0,92.7,1.0,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 15:00:00,15,0,0,647,7,12.4,0.0,Clear,1,New Year,1933,0,92.4,1.0,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 16:00:00,16,0,0,774,7,12.0,0.0,Clear,1,New Year,2070,0,110.6,1.0,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 17:00:00,17,0,0,1201,13,12.6,0.0,Clear,1,New Year,2622,1,92.4,1.0,high,5,Evening Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 18:00:00,18,0,0,1412,13,11.8,0.0,Clear,1,New Year,3387,1,108.6,1.0,high,5,Evening Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 19:00:00,19,0,0,1446,13,9.4,0.0,Clear,1,New Year,4059,1,111.2,1.0,high,5,Evening Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 20:00:00,20,0,0,1038,13,9.6,0.0,Clear,1,New Year,3896,1,79.8,0.932,high,5,Evening Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 21:00:00,21,0,0,471,5,8.6,0.0,Clear,1,New Year,2955,0,94.2,1.0,high,5,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 22:00:00,22,0,0,189,5,10.3,0.0,Clear,1,New Year,1698,0,37.8,0.442,medium,3,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-01 23:00:00,23,0,0,62,0,10.5,0.0,Clear,1,New Year,722,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,251,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,62,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 06:00:00,6,1,0,91,4,14.5,0.0,Clear,0,,91,0,22.8,0.266,low,2,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 07:00:00,7,1,0,324,6,16.3,0.0,Clear,0,,415,0,54.0,0.631,medium,4,Night
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 08:00:00,8,1,0,1017,14,17.4,0.0,Cloudy,0,,1432,1,72.6,0.848,high,5,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 09:00:00,9,1,0,1232,14,18.4,0.0,Clear,0,,2573,1,88.0,1.0,high,5,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 10:00:00,10,1,0,820,14,20.4,0.0,Cloudy,0,,3069,1,58.6,0.685,high,4,Morning Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 11:00:00,11,1,0,512,7,19.8,0.0,Cloudy,0,,2564,0,73.1,0.854,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 12:00:00,12,1,0,556,7,18.2,0.0,Clear,0,,1888,0,79.4,0.928,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 13:00:00,13,1,0,474,7,16.1,0.0,Clear,0,,1542,0,67.7,0.791,high,5,Mid Morning
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 14:00:00,14,1,0,484,7,14.6,0.0,Clear,0,,1514,0,69.1,0.807,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 15:00:00,15,1,0,467,7,13.0,0.0,Clear,0,,1425,0,66.7,0.779,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 16:00:00,16,1,0,631,7,11.6,0.0,Clear,0,,1582,0,90.1,1.0,high,5,Afternoon
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 17:00:00,17,1,0,881,13,11.3,0.0,Clear,0,,1979,1,67.8,0.792,high,5,Evening Peak
MG27,Bhikaji Cama Place,Magenta Line,2024-01-02 18:00:00,18,1,0,996,13,11.6,0.0,Clear,0,,2508,1,76.6,0.895,high,5,Evening Peak
