station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 06:00:00,6,0,0,68,4,13.7,0.0,Clear,1,New Year,68,0,17.0,0.357,medium,3,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 07:00:00,7,0,0,245,6,17.7,0.0,Cloudy,1,New Year,313,0,40.8,0.857,high,5,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 08:00:00,8,0,0,735,14,18.6,0.0,Clear,1,New Year,1048,1,52.5,1.0,high,5,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 09:00:00,9,0,0,846,14,18.5,0.0,Clear,1,New Year,1826,1,60.4,1.0,high,5,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 10:00:00,10,0,0,624,14,18.5,0.0,Clear,1,New Year,2205,1,44.6,0.937,high,5,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 11:00:00,11,0,0,377,7,17.5,0.0,Clear,1,New Year,1847,0,53.9,1.0,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 12:00:00,12,0,0,400,7,18.0,0.0,Clear,1,New Year,1401,0,57.1,1.0,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 13:00:00,13,0,0,366,7,16.1,0.0,Clear,1,New Year,1143,0,52.3,1.0,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 14:00:00,14,0,0,348,7,14.7,0.0,Clear,1,New Year,1114,0,49.7,1.0,high,5,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 15:00:00,15,0,0,347,7,12.4,0.0,Clear,1,New Year,1061,0,49.6,1.0,high,5,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 16:00:00,16,0,0,475,7,12.0,0.0,Clear,1,New Year,1170,0,67.9,1.0,high,5,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 17:00:00,17,0,0,723,13,12.6,0.0,Clear,1,New Year,1545,1,55.6,1.0,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 18:00:00,18,0,0,766,13,11.8,0.0,Clear,1,New Year,1964,1,58.9,1.0,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 19:00:00,19,0,0,688,13,9.4,0.0,Clear,1,New Year,2177,1,52.9,1.0,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 20:00:00,20,0,0,587,13,9.6,0.0,Clear,1,New Year,2041,1,45.2,0.95,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 21:00:00,21,0,0,232,5,8.6,0.0,Clear,1,New Year,1507,0,46.4,0.975,high,5,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 22:00:00,22,0,0,101,5,10.3,0.0,Clear,1,New Year,920,0,20.2,0.424,medium,3,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-01 23:00:00,23,0,0,34,0,10.5,0.0,Clear,1,New Year,367,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,135,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,34,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 06:00:00,6,1,0,46,4,14.5,0.0,Clear,0,,46,0,11.5,0.242,low,2,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 07:00:00,7,1,0,178,6,16.3,0.0,Clear,0,,224,0,29.7,0.624,medium,4,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 08:00:00,8,1,0,553,14,17.4,0.0,Cloudy,0,,777,1,39.5,0.83,high,5,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 09:00:00,9,1,0,615,14,18.4,0.0,Clear,0,,1346,1,43.9,0.922,high,5,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 10:00:00,10,1,0,445,14,20.4,0.0,Cloudy,0,,1613,1,31.8,0.668,high,4,Morning Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 11:00:00,11,1,0,279,7,19.8,0.0,Cloudy,0,,1339,0,39.9,0.838,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 12:00:00,12,1,0,283,7,18.2,0.0,Clear,0,,1007,0,40.4,0.849,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 13:00:00,13,1,0,257,7,16.1,0.0,Clear,0,,819,0,36.7,0.771,high,5,Mid Morning
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 14:00:00,14,1,0,236,7,14.6,0.0,Clear,0,,776,0,33.7,0.708,high,4,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 15:00:00,15,1,0,281,7,13.0,0.0,Clear,0,,774,0,40.1,0.842,high,5,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 16:00:00,16,1,0,333,7,11.6,0.0,Clear,0,,850,0,47.6,1.0,high,5,Afternoon
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 17:00:00,17,1,0,542,13,11.3,0.0,Clear,0,,1156,1,41.7,0.876,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 18:00:00,18,1,0,563,13,11.6,0.0,Clear,0,,1438,1,43.3,0.91,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 19:00:00,19,1,0,529,13,10.7,0.0,Clear,0,,1634,1,40.7,0.855,high,5,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 20:00:00,20,1,0,391,13,11.3,0.0,Clear,0,,1483,1,30.1,0.632,medium,4,Evening Peak
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 21:00:00,21,1,0,191,5,9.6,0.0,Clear,0,,1111,0,38.2,0.803,high,5,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 22:00:00,22,1,0,76,5,9.8,0.0,Clear,0,,658,0,15.2,0.319,low,2,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-02 23:00:00,23,1,0,25,0,9.3,0.0,Clear,0,,292,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,101,0,0.0,0.0,low,1,Night
PK05,Durgabai Deshmukh South Campus,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,25,0,0.0,0.0,low,1,Night
