station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 06:00:00,6,0,0,51,4,13.7,0.0,Clear,1,New Year,51,0,12.8,0.322,low,2,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 07:00:00,7,0,0,212,6,17.7,0.0,Cloudy,1,New Year,263,0,35.3,0.889,high,5,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 08:00:00,8,0,0,600,14,18.6,0.0,Clear,1,New Year,863,1,42.9,1.0,high,5,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 09:00:00,9,0,0,783,14,18.5,0.0,Clear,1,New Year,1595,1,55.9,1.0,high,5,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 10:00:00,10,0,0,513,14,18.5,0.0,Clear,1,New Year,1896,1,36.6,0.922,high,5,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 11:00:00,11,0,0,315,7,17.5,0.0,Clear,1,New Year,1611,0,45.0,1.0,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 12:00:00,12,0,0,321,7,18.0,0.0,Clear,1,New Year,1149,0,45.9,1.0,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 13:00:00,13,0,0,282,7,16.1,0.0,Clear,1,New Year,918,0,40.3,1.0,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 14:00:00,14,0,0,292,7,14.7,0.0,Clear,1,New Year,895,0,41.7,1.0,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 15:00:00,15,0,0,300,7,12.4,0.0,Clear,1,New Year,874,0,42.9,1.0,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 16:00:00,16,0,0,386,7,12.0,0.0,Clear,1,New Year,978,0,55.1,1.0,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 17:00:00,17,0,0,589,13,12.6,0.0,Clear,1,New Year,1275,1,45.3,1.0,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 18:00:00,18,0,0,639,13,11.8,0.0,Clear,1,New Year,1614,1,49.2,1.0,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 19:00:00,19,0,0,603,13,9.4,0.0,Clear,1,New Year,1831,1,46.4,1.0,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 20:00:00,20,0,0,469,13,9.6,0.0,Clear,1,New Year,1711,1,36.1,0.909,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 21:00:00,21,0,0,200,5,8.6,0.0,Clear,1,New Year,1272,0,40.0,1.0,high,5,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 22:00:00,22,0,0,91,5,10.3,0.0,Clear,1,New Year,760,0,18.2,0.458,medium,3,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-01 23:00:00,23,0,0,26,0,10.5,0.0,Clear,1,New Year,317,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,117,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,26,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 06:00:00,6,1,0,42,4,14.5,0.0,Clear,0,,42,0,10.5,0.264,low,2,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 07:00:00,7,1,0,143,6,16.3,0.0,Clear,0,,185,0,23.8,0.599,medium,4,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 08:00:00,8,1,0,495,14,17.4,0.0,Cloudy,0,,680,1,35.4,0.892,high,5,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 09:00:00,9,1,0,552,14,18.4,0.0,Clear,0,,1190,1,39.4,0.992,high,5,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 10:00:00,10,1,0,387,14,20.4,0.0,Cloudy,0,,1434,1,27.6,0.695,high,4,Morning Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 11:00:00,11,1,0,251,7,19.8,0.0,Cloudy,0,,1190,0,35.9,0.904,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 12:00:00,12,1,0,252,7,18.2,0.0,Clear,0,,890,0,36.0,0.907,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 13:00:00,13,1,0,210,7,16.1,0.0,Clear,0,,713,0,30.0,0.756,high,5,Mid Morning
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 14:00:00,14,1,0,221,7,14.6,0.0,Clear,0,,683,0,31.6,0.796,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 15:00:00,15,1,0,226,7,13.0,0.0,Clear,0,,657,0,32.3,0.814,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 16:00:00,16,1,0,269,7,11.6,0.0,Clear,0,,716,0,38.4,0.967,high,5,Afternoon
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 17:00:00,17,1,0,425,13,11.3,0.0,Clear,0,,920,1,32.7,0.824,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 18:00:00,18,1,0,496,13,11.6,0.0,Clear,0,,1190,1,38.2,0.962,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 19:00:00,19,1,0,487,13,10.7,0.0,Clear,0,,1408,1,37.5,0.945,high,5,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 20:00:00,20,1,0,335,13,11.3,0.0,Clear,0,,1318,1,25.8,0.65,high,4,Evening Peak
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 21:00:00,21,1,0,140,5,9.6,0.0,Clear,0,,962,0,28.0,0.705,high,4,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 22:00:00,22,1,0,67,5,9.8,0.0,Clear,0,,542,0,13.4,0.338,low,2,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-02 23:00:00,23,1,0,19,0,9.3,0.0,Clear,0,,226,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,86,0,0.0,0.0,low,1,Night
PK07,East Vinod Nagar Mayur Vihar II,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
