station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK11,Jaffrabad,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-01 06:00:00,6,0,0,48,4,13.7,0.0,Clear,1,New Year,48,0,12.0,0.337,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-01 07:00:00,7,0,0,186,6,17.7,0.0,Cloudy,1,New Year,234,0,31.0,0.871,high,5,Night
PK11,Jaffrabad,Pink Line,2024-01-01 08:00:00,8,0,0,516,14,18.6,0.0,Clear,1,New Year,750,1,36.9,1.0,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-01 09:00:00,9,0,0,696,14,18.5,0.0,Clear,1,New Year,1398,1,49.7,1.0,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-01 10:00:00,10,0,0,438,14,18.5,0.0,Clear,1,New Year,1650,1,31.3,0.879,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-01 11:00:00,11,0,0,296,7,17.5,0.0,Clear,1,New Year,1430,0,42.3,1.0,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-01 12:00:00,12,0,0,284,7,18.0,0.0,Clear,1,New Year,1018,0,40.6,1.0,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-01 13:00:00,13,0,0,265,7,16.1,0.0,Clear,1,New Year,845,0,37.9,1.0,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-01 14:00:00,14,0,0,271,7,14.7,0.0,Clear,1,New Year,820,0,38.7,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-01 15:00:00,15,0,0,270,7,12.4,0.0,Clear,1,New Year,806,0,38.6,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-01 16:00:00,16,0,0,323,7,12.0,0.0,Clear,1,New Year,864,0,46.1,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-01 17:00:00,17,0,0,500,13,12.6,0.0,Clear,1,New Year,1093,1,38.5,1.0,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-01 18:00:00,18,0,0,588,13,11.8,0.0,Clear,1,New Year,1411,1,45.2,1.0,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-01 19:00:00,19,0,0,602,13,9.4,0.0,Clear,1,New Year,1690,1,46.3,1.0,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-01 20:00:00,20,0,0,433,13,9.6,0.0,Clear,1,New Year,1623,1,33.3,0.935,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-01 21:00:00,21,0,0,196,5,8.6,0.0,Clear,1,New Year,1231,0,39.2,1.0,high,5,Night
PK11,Jaffrabad,Pink Line,2024-01-01 22:00:00,22,0,0,79,5,10.3,0.0,Clear,1,New Year,708,0,15.8,0.444,medium,3,Night
PK11,Jaffrabad,Pink Line,2024-01-01 23:00:00,23,0,0,26,0,10.5,0.0,Clear,1,New Year,301,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,105,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,26,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-02 06:00:00,6,1,0,38,4,14.5,0.0,Clear,0,,38,0,9.5,0.267,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-02 07:00:00,7,1,0,135,6,16.3,0.0,Clear,0,,173,0,22.5,0.632,medium,4,Night
PK11,Jaffrabad,Pink Line,2024-01-02 08:00:00,8,1,0,424,14,17.4,0.0,Cloudy,0,,597,1,30.3,0.851,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-02 09:00:00,9,1,0,513,14,18.4,0.0,Clear,0,,1072,1,36.6,1.0,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-02 10:00:00,10,1,0,341,14,20.4,0.0,Cloudy,0,,1278,1,24.4,0.685,high,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-02 11:00:00,11,1,0,213,7,19.8,0.0,Cloudy,0,,1067,0,30.4,0.854,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-02 12:00:00,12,1,0,232,7,18.2,0.0,Clear,0,,786,0,33.1,0.93,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-02 13:00:00,13,1,0,198,7,16.1,0.0,Clear,0,,643,0,28.3,0.795,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-02 14:00:00,14,1,0,202,7,14.6,0.0,Clear,0,,632,0,28.9,0.812,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-02 15:00:00,15,1,0,195,7,13.0,0.0,Clear,0,,595,0,27.9,0.784,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-02 16:00:00,16,1,0,263,7,11.6,0.0,Clear,0,,660,0,37.6,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-02 17:00:00,17,1,0,367,13,11.3,0.0,Clear,0,,825,1,28.2,0.792,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-02 18:00:00,18,1,0,415,13,11.6,0.0,Clear,0,,1045,1,31.9,0.896,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-02 19:00:00,19,1,0,444,13,10.7,0.0,Clear,0,,1226,1,34.2,0.961,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-02 20:00:00,20,1,0,328,13,11.3,0.0,Clear,0,,1187,1,25.2,0.708,high,4,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-02 21:00:00,21,1,0,138,5,9.6,0.0,Clear,0,,910,0,27.6,0.775,high,5,Night
PK11,Jaffrabad,Pink Line,2024-01-02 22:00:00,22,1,0,58,5,9.8,0.0,Clear,0,,524,0,11.6,0.326,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-02 23:00:00,23,1,0,17,0,9.3,0.0,Clear,0,,213,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,75,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,17,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-03 06:00:00,6,2,0,33,4,14.7,0.0,Cloudy,0,,33,0,8.2,0.23,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-03 07:00:00,7,2,0,143,6,16.2,0.0,Clear,0,,176,0,23.8,0.669,high,4,Night
PK11,Jaffrabad,Pink Line,2024-01-03 08:00:00,8,2,0,393,14,16.0,0.0,Clear,0,,569,1,28.1,0.789,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-03 09:00:00,9,2,0,525,14,19.3,0.0,Clear,0,,1061,1,37.5,1.0,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-03 10:00:00,10,2,0,338,14,18.1,0.0,Clear,0,,1256,1,24.1,0.677,high,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-03 11:00:00,11,2,0,232,7,17.9,0.0,Clear,0,,1095,0,33.1,0.93,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-03 12:00:00,12,2,0,210,7,18.4,0.0,Clear,0,,780,0,30.0,0.843,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-03 13:00:00,13,2,0,207,7,16.5,0.0,Clear,0,,649,0,29.6,0.831,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-03 14:00:00,14,2,0,186,7,14.9,0.0,Clear,0,,603,0,26.6,0.747,high,4,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-03 15:00:00,15,2,0,195,7,12.6,0.0,Clear,0,,588,0,27.9,0.784,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-03 16:00:00,16,2,0,255,7,11.3,0.0,Clear,0,,636,0,36.4,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-03 17:00:00,17,2,0,403,13,10.7,0.0,Clear,0,,853,1,31.0,0.871,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-03 18:00:00,18,2,0,432,13,11.1,0.0,Clear,0,,1090,1,33.2,0.933,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-03 19:00:00,19,2,0,436,13,11.5,0.0,Cloudy,0,,1271,1,33.5,0.941,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-03 20:00:00,20,2,0,304,13,10.0,0.0,Clear,0,,1172,1,23.4,0.657,high,4,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-03 21:00:00,21,2,0,133,5,7.6,0.0,Clear,0,,873,0,26.6,0.747,high,4,Night
PK11,Jaffrabad,Pink Line,2024-01-03 22:00:00,22,2,0,63,5,10.0,0.0,Clear,0,,500,0,12.6,0.354,medium,3,Night
PK11,Jaffrabad,Pink Line,2024-01-03 23:00:00,23,2,0,17,0,9.9,0.0,Clear,0,,213,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,80,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,17,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-04 06:00:00,6,3,0,33,4,13.6,0.0,Clear,0,,33,0,8.2,0.23,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-04 07:00:00,7,3,0,140,6,16.3,0.0,Clear,0,,173,0,23.3,0.654,high,4,Night
PK11,Jaffrabad,Pink Line,2024-01-04 08:00:00,8,3,0,446,14,18.9,0.0,Clear,0,,619,1,31.9,0.896,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-04 09:00:00,9,3,0,452,14,21.2,0.0,Clear,0,,1038,1,32.3,0.907,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-04 10:00:00,10,3,0,312,14,19.8,0.0,Clear,0,,1210,1,22.3,0.626,medium,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-04 11:00:00,11,3,0,231,7,21.6,0.0,Clear,0,,995,0,33.0,0.927,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-04 12:00:00,12,3,0,234,7,19.3,0.0,Clear,0,,777,0,33.4,0.938,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-04 13:00:00,13,3,0,189,7,17.4,0.0,Clear,0,,654,0,27.0,0.758,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-04 14:00:00,14,3,0,196,7,13.5,0.0,Clear,0,,619,0,28.0,0.787,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-04 15:00:00,15,3,0,199,7,13.1,0.0,Clear,0,,584,0,28.4,0.798,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-04 16:00:00,16,3,0,264,7,11.6,0.0,Cloudy,0,,659,0,37.7,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-04 17:00:00,17,3,0,391,13,12.0,0.0,Clear,0,,854,1,30.1,0.846,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-04 18:00:00,18,3,0,427,13,11.2,0.0,Clear,0,,1082,1,32.8,0.921,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-04 19:00:00,19,3,0,420,13,11.4,0.0,Clear,0,,1238,1,32.3,0.907,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-04 20:00:00,20,3,0,295,13,9.0,0.0,Clear,0,,1142,1,22.7,0.638,medium,4,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-04 21:00:00,21,3,0,134,5,9.4,0.0,Clear,0,,849,0,26.8,0.753,high,5,Night
PK11,Jaffrabad,Pink Line,2024-01-04 22:00:00,22,3,0,57,5,9.6,0.0,Clear,0,,486,0,11.4,0.32,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-04 23:00:00,23,3,0,19,0,10.1,0.0,Clear,0,,210,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,76,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 01:00:00,1,4,0,0,0,12.0,0.0,Clear,0,,19,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 02:00:00,2,4,0,0,0,13.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 03:00:00,3,4,0,0,0,13.8,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 04:00:00,4,4,0,0,0,15.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 05:00:00,5,4,0,0,0,12.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-05 06:00:00,6,4,0,36,4,13.9,0.0,Clear,0,,36,0,9.0,0.253,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-05 07:00:00,7,4,0,132,6,17.2,0.0,Clear,0,,168,0,22.0,0.618,medium,4,Night
PK11,Jaffrabad,Pink Line,2024-01-05 08:00:00,8,4,0,433,14,17.1,0.0,Clear,0,,601,1,30.9,0.868,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-05 09:00:00,9,4,0,501,14,19.6,0.0,Cloudy,0,,1066,1,35.8,1.0,high,5,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-05 10:00:00,10,4,0,345,14,19.2,0.0,Clear,0,,1279,1,24.6,0.691,high,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-05 11:00:00,11,4,0,222,7,20.4,0.0,Clear,0,,1068,0,31.7,0.89,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-05 12:00:00,12,4,0,215,7,18.5,0.2,Light Rain,0,,782,0,30.7,0.862,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-05 13:00:00,13,4,0,187,7,15.8,0.7,Light Rain,0,,624,0,26.7,0.75,high,5,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-05 14:00:00,14,4,0,184,7,16.1,0.6,Light Rain,0,,586,0,26.3,0.739,high,4,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-05 15:00:00,15,4,0,195,7,11.6,0.9,Light Rain,0,,566,0,27.9,0.784,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-05 16:00:00,16,4,0,251,7,13.4,0.6,Light Rain,0,,630,0,35.9,1.0,high,5,Afternoon
PK11,Jaffrabad,Pink Line,2024-01-05 17:00:00,17,4,0,364,13,11.5,0.5,Light Rain,0,,810,1,28.0,0.787,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-05 18:00:00,18,4,0,441,13,10.9,0.5,Light Rain,0,,1056,1,33.9,0.952,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-05 19:00:00,19,4,0,411,13,12.1,0.7,Light Rain,0,,1216,1,31.6,0.888,high,5,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-05 20:00:00,20,4,0,285,13,10.9,0.8,Light Rain,0,,1137,1,21.9,0.615,medium,4,Evening Peak
PK11,Jaffrabad,Pink Line,2024-01-05 21:00:00,21,4,0,142,5,11.2,0.0,Clear,0,,838,0,28.4,0.798,high,5,Night
PK11,Jaffrabad,Pink Line,2024-01-05 22:00:00,22,4,0,58,5,11.7,0.0,Clear,0,,485,0,11.6,0.326,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-05 23:00:00,23,4,0,19,0,10.7,0.0,Clear,0,,219,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 00:00:00,0,5,1,0,0,13.2,0.0,Clear,0,,77,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 01:00:00,1,5,1,0,0,12.0,0.0,Clear,0,,19,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 02:00:00,2,5,1,0,0,14.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 03:00:00,3,5,1,0,0,12.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 04:00:00,4,5,1,0,0,15.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 05:00:00,5,5,1,0,0,12.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK11,Jaffrabad,Pink Line,2024-01-06 06:00:00,6,5,1,27,4,16.7,0.0,Clear,0,,27,0,6.8,0.191,low,2,Night
PK11,Jaffrabad,Pink Line,2024-01-06 07:00:00,7,5,1,100,6,17.3,0.0,Clear,0,,127,0,16.7,0.469,medium,3,Night
PK11,Jaffrabad,Pink Line,2024-01-06 08:00:00,8,5,1,295,14,18.9,0.0,Clear,0,,422,1,21.1,0.593,medium,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-06 09:00:00,9,5,1,371,14,18.7,0.0,Clear,0,,766,1,26.5,0.744,high,4,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-06 10:00:00,10,5,1,235,14,19.1,0.0,Clear,0,,901,1,16.8,0.472,medium,3,Morning Peak
PK11,Jaffrabad,Pink Line,2024-01-06 11:00:00,11,5,1,160,7,19.8,0.0,Clear,0,,766,0,22.9,0.643,medium,4,Mid Morning
PK11,Jaffrabad,Pink Line,2024-01-06 12:00:00,12,5,1,147,7,18.6,0.4,Light Rain,0,,542,0,21.0,0.59,medium,4,Mid Morning
