station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK13,Karkarduma Pink,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 06:00:00,6,0,0,63,4,13.7,0.0,Clear,1,New Year,63,0,15.8,0.333,low,2,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 07:00:00,7,0,0,252,6,17.7,0.0,Cloudy,1,New Year,315,0,42.0,0.886,high,5,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 08:00:00,8,0,0,731,14,18.6,0.0,Clear,1,New Year,1046,1,52.2,1.0,high,5,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 09:00:00,9,0,0,923,14,18.5,0.0,Clear,1,New Year,1906,1,65.9,1.0,high,5,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 10:00:00,10,0,0,613,14,18.5,0.0,Clear,1,New Year,2267,1,43.8,0.924,high,5,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 11:00:00,11,0,0,396,7,17.5,0.0,Clear,1,New Year,1932,0,56.6,1.0,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-01 12:00:00,12,0,0,394,7,18.0,0.0,Clear,1,New Year,1403,0,56.3,1.0,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-01 13:00:00,13,0,0,346,7,16.1,0.0,Clear,1,New Year,1136,0,49.4,1.0,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-01 14:00:00,14,0,0,339,7,14.7,0.0,Clear,1,New Year,1079,0,48.4,1.0,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-01 15:00:00,15,0,0,354,7,12.4,0.0,Clear,1,New Year,1039,0,50.6,1.0,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-01 16:00:00,16,0,0,472,7,12.0,0.0,Clear,1,New Year,1165,0,67.4,1.0,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-01 17:00:00,17,0,0,744,13,12.6,0.0,Clear,1,New Year,1570,1,57.2,1.0,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 18:00:00,18,0,0,782,13,11.8,0.0,Clear,1,New Year,1998,1,60.2,1.0,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 19:00:00,19,0,0,799,13,9.4,0.0,Clear,1,New Year,2325,1,61.5,1.0,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 20:00:00,20,0,0,546,13,9.6,0.0,Clear,1,New Year,2127,1,42.0,0.886,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-01 21:00:00,21,0,0,254,5,8.6,0.0,Clear,1,New Year,1599,0,50.8,1.0,high,5,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 22:00:00,22,0,0,105,5,10.3,0.0,Clear,1,New Year,905,0,21.0,0.443,medium,3,Night
PK13,Karkarduma Pink,Pink Line,2024-01-01 23:00:00,23,0,0,33,0,10.5,0.0,Clear,1,New Year,392,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,138,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,33,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 06:00:00,6,1,0,50,4,14.5,0.0,Clear,0,,50,0,12.5,0.264,low,2,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 07:00:00,7,1,0,166,6,16.3,0.0,Clear,0,,216,0,27.7,0.584,medium,4,Night
PK13,Karkarduma Pink,Pink Line,2024-01-02 08:00:00,8,1,0,591,14,17.4,0.0,Cloudy,0,,807,1,42.2,0.89,high,5,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-02 09:00:00,9,1,0,635,14,18.4,0.0,Clear,0,,1392,1,45.4,0.958,high,5,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-02 10:00:00,10,1,0,442,14,20.4,0.0,Cloudy,0,,1668,1,31.6,0.667,high,4,Morning Peak
PK13,Karkarduma Pink,Pink Line,2024-01-02 11:00:00,11,1,0,300,7,19.8,0.0,Cloudy,0,,1377,0,42.9,0.905,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-02 12:00:00,12,1,0,294,7,18.2,0.0,Clear,0,,1036,0,42.0,0.886,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-02 13:00:00,13,1,0,268,7,16.1,0.0,Clear,0,,862,0,38.3,0.808,high,5,Mid Morning
PK13,Karkarduma Pink,Pink Line,2024-01-02 14:00:00,14,1,0,260,7,14.6,0.0,Clear,0,,822,0,37.1,0.783,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-02 15:00:00,15,1,0,263,7,13.0,0.0,Clear,0,,791,0,37.6,0.793,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-02 16:00:00,16,1,0,329,7,11.6,0.0,Clear,0,,852,0,47.0,0.992,high,5,Afternoon
PK13,Karkarduma Pink,Pink Line,2024-01-02 17:00:00,17,1,0,517,13,11.3,0.0,Clear,0,,1109,1,39.8,0.84,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-02 18:00:00,18,1,0,571,13,11.6,0.0,Clear,0,,1417,1,43.9,0.926,high,5,Evening Peak
PK13,Karkarduma Pink,Pink Line,2024-01-02 19:00:00,19,1,0,516,13,10.7,0.0,Clear,0,,1604,1,39.7,0.838,high,5,Evening Peak
