station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK14,Karkarduma Court,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 06:00:00,6,0,0,51,4,13.7,0.0,Clear,1,New Year,51,0,12.8,0.359,medium,3,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 07:00:00,7,0,0,184,6,17.7,0.0,Cloudy,1,New Year,235,0,30.7,0.86,high,5,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 08:00:00,8,0,0,551,14,18.6,0.0,Clear,1,New Year,786,1,39.4,1.0,high,5,Morning Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 09:00:00,9,0,0,635,14,18.5,0.0,Clear,1,New Year,1370,1,45.4,1.0,high,5,Morning Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 10:00:00,10,0,0,468,14,18.5,0.0,Clear,1,New Year,1654,1,33.4,0.936,high,5,Morning Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 11:00:00,11,0,0,282,7,17.5,0.0,Clear,1,New Year,1385,0,40.3,1.0,high,5,Mid Morning
PK14,Karkarduma Court,Pink Line,2024-01-01 12:00:00,12,0,0,300,7,18.0,0.0,Clear,1,New Year,1050,0,42.9,1.0,high,5,Mid Morning
PK14,Karkarduma Court,Pink Line,2024-01-01 13:00:00,13,0,0,274,7,16.1,0.0,Clear,1,New Year,856,0,39.1,1.0,high,5,Mid Morning
PK14,Karkarduma Court,Pink Line,2024-01-01 14:00:00,14,0,0,261,7,14.7,0.0,Clear,1,New Year,835,0,37.3,1.0,high,5,Afternoon
PK14,Karkarduma Court,Pink Line,2024-01-01 15:00:00,15,0,0,260,7,12.4,0.0,Clear,1,New Year,795,0,37.1,1.0,high,5,Afternoon
PK14,Karkarduma Court,Pink Line,2024-01-01 16:00:00,16,0,0,357,7,12.0,0.0,Clear,1,New Year,878,0,51.0,1.0,high,5,Afternoon
PK14,Karkarduma Court,Pink Line,2024-01-01 17:00:00,17,0,0,543,13,12.6,0.0,Clear,1,New Year,1160,1,41.8,1.0,high,5,Evening Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 18:00:00,18,0,0,575,13,11.8,0.0,Clear,1,New Year,1475,1,44.2,1.0,high,5,Evening Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 19:00:00,19,0,0,516,13,9.4,0.0,Clear,1,New Year,1634,1,39.7,1.0,high,5,Evening Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 20:00:00,20,0,0,440,13,9.6,0.0,Clear,1,New Year,1531,1,33.8,0.947,high,5,Evening Peak
PK14,Karkarduma Court,Pink Line,2024-01-01 21:00:00,21,0,0,174,5,8.6,0.0,Clear,1,New Year,1130,0,34.8,0.975,high,5,Night
PK14,Karkarduma Court,Pink Line,2024-01-01 22:00:00,22,0,0,76,5,10.3,0.0,Clear,1,New Year,690,0,15.2,0.426,medium,3,Night
