station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 06:00:00,6,0,0,977,4,13.7,0.0,Clear,1,New Year,977,0,244.2,0.32,low,2,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 07:00:00,7,0,0,4069,6,17.7,0.0,Cloudy,1,New Year,5046,0,678.2,0.889,high,5,Night
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 08:00:00,8,0,0,11532,14,18.6,0.0,Clear,1,New Year,16578,1,823.7,1.0,high,5,Morning Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 09:00:00,9,0,0,15065,14,18.5,0.0,Clear,1,New Year,30666,1,1076.1,1.0,high,5,Morning Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 10:00:00,10,0,0,9872,14,18.5,0.0,Clear,1,New Year,36469,1,705.1,0.924,high,5,Morning Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 11:00:00,11,0,0,6059,7,17.5,0.0,Clear,1,New Year,30996,0,865.6,1.0,high,5,Mid Morning
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 12:00:00,12,0,0,6178,7,18.0,0.0,Clear,1,New Year,22109,0,882.6,1.0,high,5,Mid Morning
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 13:00:00,13,0,0,5422,7,16.1,0.0,Clear,1,New Year,17659,0,774.6,1.0,high,5,Mid Morning
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 14:00:00,14,0,0,5612,7,14.7,0.0,Clear,1,New Year,17212,0,801.7,1.0,high,5,Afternoon
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 15:00:00,15,0,0,5769,7,12.4,0.0,Clear,1,New Year,16803,0,824.1,1.0,high,5,Afternoon
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 16:00:00,16,0,0,7425,7,12.0,0.0,Clear,1,New Year,18806,0,1060.7,1.0,high,5,Afternoon
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 17:00:00,17,0,0,11327,13,12.6,0.0,Clear,1,New Year,24521,1,871.3,1.0,high,5,Evening Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 18:00:00,18,0,0,12288,13,11.8,0.0,Clear,1,New Year,31040,1,945.2,1.0,high,5,Evening Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 19:00:00,19,0,0,11591,13,9.4,0.0,Clear,1,New Year,35206,1,891.6,1.0,high,5,Evening Peak
PK16,Lajpat Nagar Pink,Pink Line,2024-01-01 20:00:00,20,0,0,9023,13,9.6,0.0,Clear,1,New Year,32902,1,694.1,0.909,high,5,Evening Peak
