station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK17,Majlis Park,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK17,Majlis Park,Pink Line,2024-01-01 06:00:00,6,0,0,53,4,13.7,0.0,Clear,1,New Year,53,0,13.2,0.334,low,2,Night
PK17,Majlis Park,Pink Line,2024-01-01 07:00:00,7,0,0,211,6,17.7,0.0,Cloudy,1,New Year,264,0,35.2,0.892,high,5,Night
PK17,Majlis Park,Pink Line,2024-01-01 08:00:00,8,0,0,597,14,18.6,0.0,Clear,1,New Year,861,1,42.6,1.0,high,5,Morning Peak
PK17,Majlis Park,Pink Line,2024-01-01 09:00:00,9,0,0,721,14,18.5,0.0,Clear,1,New Year,1529,1,51.5,1.0,high,5,Morning Peak
PK17,Majlis Park,Pink Line,2024-01-01 10:00:00,10,0,0,458,14,18.5,0.0,Clear,1,New Year,1776,1,32.7,0.829,high,5,Morning Peak
PK17,Majlis Park,Pink Line,2024-01-01 11:00:00,11,0,0,312,7,17.5,0.0,Clear,1,New Year,1491,0,44.6,1.0,high,5,Mid Morning
PK17,Majlis Park,Pink Line,2024-01-01 12:00:00,12,0,0,331,7,18.0,0.0,Clear,1,New Year,1101,0,47.3,1.0,high,5,Mid Morning
PK17,Majlis Park,Pink Line,2024-01-01 13:00:00,13,0,0,314,7,16.1,0.0,Clear,1,New Year,957,0,44.9,1.0,high,5,Mid Morning
PK17,Majlis Park,Pink Line,2024-01-01 14:00:00,14,0,0,278,7,14.7,0.0,Clear,1,New Year,923,0,39.7,1.0,high,5,Afternoon
PK17,Majlis Park,Pink Line,2024-01-01 15:00:00,15,0,0,304,7,12.4,0.0,Clear,1,New Year,896,0,43.4,1.0,high,5,Afternoon
PK17,Majlis Park,Pink Line,2024-01-01 16:00:00,16,0,0,388,7,12.0,0.0,Clear,1,New Year,970,0,55.4,1.0,high,5,Afternoon
PK17,Majlis Park,Pink Line,2024-01-01 17:00:00,17,0,0,615,13,12.6,0.0,Clear,1,New Year,1307,1,47.3,1.0,high,5,Evening Peak
PK17,Majlis Park,Pink Line,2024-01-01 18:00:00,18,0,0,668,13,11.8,0.0,Clear,1,New Year,1671,1,51.4,1.0,high,5,Evening Peak
PK17,Majlis Park,Pink Line,2024-01-01 19:00:00,19,0,0,641,13,9.4,0.0,Clear,1,New Year,1924,1,49.3,1.0,high,5,Evening Peak
PK17,Majlis Park,Pink Line,2024-01-01 20:00:00,20,0,0,455,13,9.6,0.0,Clear,1,New Year,1764,1,35.0,0.887,high,5,Evening Peak
