station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 06:00:00,6,0,0,45,4,13.7,0.0,Clear,1,New Year,45,0,11.2,0.315,low,2,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 07:00:00,7,0,0,190,6,17.7,0.0,Cloudy,1,New Year,235,0,31.7,0.89,high,5,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 08:00:00,8,0,0,576,14,18.6,0.0,Clear,1,New Year,811,1,41.1,1.0,high,5,Morning Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 09:00:00,9,0,0,639,14,18.5,0.0,Clear,1,New Year,1405,1,45.6,1.0,high,5,Morning Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 10:00:00,10,0,0,425,14,18.5,0.0,Clear,1,New Year,1640,1,30.4,0.854,high,5,Morning Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 11:00:00,11,0,0,295,7,17.5,0.0,Clear,1,New Year,1359,0,42.1,1.0,high,5,Mid Morning
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 12:00:00,12,0,0,287,7,18.0,0.0,Clear,1,New Year,1007,0,41.0,1.0,high,5,Mid Morning
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 13:00:00,13,0,0,256,7,16.1,0.0,Clear,1,New Year,838,0,36.6,1.0,high,5,Mid Morning
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 14:00:00,14,0,0,259,7,14.7,0.0,Clear,1,New Year,802,0,37.0,1.0,high,5,Afternoon
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 15:00:00,15,0,0,258,7,12.4,0.0,Clear,1,New Year,773,0,36.9,1.0,high,5,Afternoon
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 16:00:00,16,0,0,336,7,12.0,0.0,Clear,1,New Year,853,0,48.0,1.0,high,5,Afternoon
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 17:00:00,17,0,0,518,13,12.6,0.0,Clear,1,New Year,1112,1,39.8,1.0,high,5,Evening Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 18:00:00,18,0,0,647,13,11.8,0.0,Clear,1,New Year,1501,1,49.8,1.0,high,5,Evening Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 19:00:00,19,0,0,539,13,9.4,0.0,Clear,1,New Year,1704,1,41.5,1.0,high,5,Evening Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 20:00:00,20,0,0,426,13,9.6,0.0,Clear,1,New Year,1612,1,32.8,0.921,high,5,Evening Peak
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 21:00:00,21,0,0,185,5,8.6,0.0,Clear,1,New Year,1150,0,37.0,1.0,high,5,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 22:00:00,22,0,0,84,5,10.3,0.0,Clear,1,New Year,695,0,16.8,0.472,medium,3,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-01 23:00:00,23,0,0,24,0,10.5,0.0,Clear,1,New Year,293,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,108,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,24,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 06:00:00,6,1,0,36,4,14.5,0.0,Clear,0,,36,0,9.0,0.253,low,2,Night
PK18,Mandawali West Vinod Nagar,Pink Line,2024-01-02 07:00:00,7,1,0,140,6,16.3,0.0,Clear,0,,176,0,23.3,0.654,high,4,Night
