station_id,station_name,route_id,timestamp,hour_of_day,day_of_week,is_weekend,ridership_count,train_frequency,temperature,rainfall,weather_condition,event_flag,event_name,rolling_demand_3h,is_peak_hour,ridership_per_train,station_congestion_index,crowd_level,platform_crowd_level,boarding_time_category
PK21,Mayapuri,Pink Line,2024-01-01 00:00:00,0,0,0,0,0,12.6,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 01:00:00,1,0,0,0,0,13.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 02:00:00,2,0,0,0,0,11.5,0.0,Foggy,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 03:00:00,3,0,0,0,0,13.3,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 04:00:00,4,0,0,0,0,14.2,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 05:00:00,5,0,0,0,0,12.9,0.0,Clear,1,New Year,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-01 06:00:00,6,0,0,56,4,13.7,0.0,Clear,1,New Year,56,0,14.0,0.354,medium,3,Night
PK21,Mayapuri,Pink Line,2024-01-01 07:00:00,7,0,0,208,6,17.7,0.0,Cloudy,1,New Year,264,0,34.7,0.878,high,5,Night
PK21,Mayapuri,Pink Line,2024-01-01 08:00:00,8,0,0,623,14,18.6,0.0,Clear,1,New Year,887,1,44.5,1.0,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-01 09:00:00,9,0,0,674,14,18.5,0.0,Clear,1,New Year,1505,1,48.1,1.0,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-01 10:00:00,10,0,0,511,14,18.5,0.0,Clear,1,New Year,1808,1,36.5,0.924,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-01 11:00:00,11,0,0,346,7,17.5,0.0,Clear,1,New Year,1531,0,49.4,1.0,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-01 12:00:00,12,0,0,350,7,18.0,0.0,Clear,1,New Year,1207,0,50.0,1.0,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-01 13:00:00,13,0,0,282,7,16.1,0.0,Clear,1,New Year,978,0,40.3,1.0,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-01 14:00:00,14,0,0,301,7,14.7,0.0,Clear,1,New Year,933,0,43.0,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-01 15:00:00,15,0,0,293,7,12.4,0.0,Clear,1,New Year,876,0,41.9,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-01 16:00:00,16,0,0,363,7,12.0,0.0,Clear,1,New Year,957,0,51.9,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-01 17:00:00,17,0,0,579,13,12.6,0.0,Clear,1,New Year,1235,1,44.5,1.0,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-01 18:00:00,18,0,0,646,13,11.8,0.0,Clear,1,New Year,1588,1,49.7,1.0,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-01 19:00:00,19,0,0,652,13,9.4,0.0,Clear,1,New Year,1877,1,50.2,1.0,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-01 20:00:00,20,0,0,476,13,9.6,0.0,Clear,1,New Year,1774,1,36.6,0.927,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-01 21:00:00,21,0,0,201,5,8.6,0.0,Clear,1,New Year,1329,0,40.2,1.0,high,5,Night
PK21,Mayapuri,Pink Line,2024-01-01 22:00:00,22,0,0,94,5,10.3,0.0,Clear,1,New Year,771,0,18.8,0.476,medium,3,Night
PK21,Mayapuri,Pink Line,2024-01-01 23:00:00,23,0,0,27,0,10.5,0.0,Clear,1,New Year,322,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 00:00:00,0,1,0,0,0,11.7,0.0,Foggy,0,,121,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 01:00:00,1,1,0,0,0,11.4,0.0,Foggy,0,,27,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 02:00:00,2,1,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 03:00:00,3,1,0,0,0,13.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 04:00:00,4,1,0,0,0,15.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 05:00:00,5,1,0,0,0,13.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-02 06:00:00,6,1,0,42,4,14.5,0.0,Clear,0,,42,0,10.5,0.266,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-02 07:00:00,7,1,0,147,6,16.3,0.0,Clear,0,,189,0,24.5,0.62,medium,4,Night
PK21,Mayapuri,Pink Line,2024-01-02 08:00:00,8,1,0,437,14,17.4,0.0,Cloudy,0,,626,1,31.2,0.79,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-02 09:00:00,9,1,0,571,14,18.4,0.0,Clear,0,,1155,1,40.8,1.0,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-02 10:00:00,10,1,0,368,14,20.4,0.0,Cloudy,0,,1376,1,26.3,0.666,high,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-02 11:00:00,11,1,0,246,7,19.8,0.0,Cloudy,0,,1185,0,35.1,0.889,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-02 12:00:00,12,1,0,240,7,18.2,0.0,Clear,0,,854,0,34.3,0.868,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-02 13:00:00,13,1,0,215,7,16.1,0.0,Clear,0,,701,0,30.7,0.777,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-02 14:00:00,14,1,0,212,7,14.6,0.0,Clear,0,,667,0,30.3,0.767,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-02 15:00:00,15,1,0,247,7,13.0,0.0,Clear,0,,674,0,35.3,0.894,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-02 16:00:00,16,1,0,293,7,11.6,0.0,Clear,0,,752,0,41.9,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-02 17:00:00,17,1,0,457,13,11.3,0.0,Clear,0,,997,1,35.2,0.891,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-02 18:00:00,18,1,0,492,13,11.6,0.0,Clear,0,,1242,1,37.8,0.957,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-02 19:00:00,19,1,0,481,13,10.7,0.0,Clear,0,,1430,1,37.0,0.937,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-02 20:00:00,20,1,0,331,13,11.3,0.0,Clear,0,,1304,1,25.5,0.646,medium,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-02 21:00:00,21,1,0,159,5,9.6,0.0,Clear,0,,971,0,31.8,0.805,high,5,Night
PK21,Mayapuri,Pink Line,2024-01-02 22:00:00,22,1,0,68,5,9.8,0.0,Clear,0,,558,0,13.6,0.344,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-02 23:00:00,23,1,0,19,0,9.3,0.0,Clear,0,,246,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 00:00:00,0,2,0,0,0,12.4,0.0,Clear,0,,87,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 01:00:00,1,2,0,0,0,11.9,0.0,Foggy,0,,19,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 02:00:00,2,2,0,0,0,13.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 03:00:00,3,2,0,0,0,14.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 04:00:00,4,2,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 05:00:00,5,2,0,0,0,10.3,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-03 06:00:00,6,2,0,37,4,14.7,0.0,Cloudy,0,,37,0,9.2,0.233,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-03 07:00:00,7,2,0,161,6,16.2,0.0,Clear,0,,198,0,26.8,0.678,high,4,Night
PK21,Mayapuri,Pink Line,2024-01-03 08:00:00,8,2,0,477,14,16.0,0.0,Clear,0,,675,1,34.1,0.863,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-03 09:00:00,9,2,0,555,14,19.3,0.0,Clear,0,,1193,1,39.6,1.0,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-03 10:00:00,10,2,0,351,14,18.1,0.0,Clear,0,,1383,1,25.1,0.635,medium,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-03 11:00:00,11,2,0,266,7,17.9,0.0,Clear,0,,1172,0,38.0,0.962,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-03 12:00:00,12,2,0,241,7,18.4,0.0,Clear,0,,858,0,34.4,0.871,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-03 13:00:00,13,2,0,232,7,16.5,0.0,Clear,0,,739,0,33.1,0.838,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-03 14:00:00,14,2,0,214,7,14.9,0.0,Clear,0,,687,0,30.6,0.775,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-03 15:00:00,15,2,0,248,7,12.6,0.0,Clear,0,,694,0,35.4,0.896,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-03 16:00:00,16,2,0,287,7,11.3,0.0,Clear,0,,749,0,41.0,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-03 17:00:00,17,2,0,455,13,10.7,0.0,Clear,0,,990,1,35.0,0.886,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-03 18:00:00,18,2,0,529,13,11.1,0.0,Clear,0,,1271,1,40.7,1.0,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-03 19:00:00,19,2,0,471,13,11.5,0.0,Cloudy,0,,1455,1,36.2,0.916,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-03 20:00:00,20,2,0,329,13,10.0,0.0,Clear,0,,1329,1,25.3,0.641,medium,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-03 21:00:00,21,2,0,154,5,7.6,0.0,Clear,0,,954,0,30.8,0.78,high,5,Night
PK21,Mayapuri,Pink Line,2024-01-03 22:00:00,22,2,0,65,5,10.0,0.0,Clear,0,,548,0,13.0,0.329,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-03 23:00:00,23,2,0,19,0,9.9,0.0,Clear,0,,238,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 00:00:00,0,3,0,0,0,13.1,0.0,Clear,0,,84,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 01:00:00,1,3,0,0,0,14.5,0.0,Clear,0,,19,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 02:00:00,2,3,0,0,0,11.8,0.0,Foggy,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 03:00:00,3,3,0,0,0,13.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 04:00:00,4,3,0,0,0,14.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 05:00:00,5,3,0,0,0,13.3,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-04 06:00:00,6,3,0,41,4,13.6,0.0,Clear,0,,41,0,10.2,0.258,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-04 07:00:00,7,3,0,141,6,16.3,0.0,Clear,0,,182,0,23.5,0.595,medium,4,Night
PK21,Mayapuri,Pink Line,2024-01-04 08:00:00,8,3,0,479,14,18.9,0.0,Clear,0,,661,1,34.2,0.866,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-04 09:00:00,9,3,0,527,14,21.2,0.0,Clear,0,,1147,1,37.6,0.952,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-04 10:00:00,10,3,0,332,14,19.8,0.0,Clear,0,,1338,1,23.7,0.6,medium,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-04 11:00:00,11,3,0,265,7,21.6,0.0,Clear,0,,1124,0,37.9,0.959,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-04 12:00:00,12,3,0,266,7,19.3,0.0,Clear,0,,863,0,38.0,0.962,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-04 13:00:00,13,3,0,240,7,17.4,0.0,Clear,0,,771,0,34.3,0.868,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-04 14:00:00,14,3,0,197,7,13.5,0.0,Clear,0,,703,0,28.1,0.711,high,4,Afternoon
PK21,Mayapuri,Pink Line,2024-01-04 15:00:00,15,3,0,248,7,13.1,0.0,Clear,0,,685,0,35.4,0.896,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-04 16:00:00,16,3,0,278,7,11.6,0.0,Cloudy,0,,723,0,39.7,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-04 17:00:00,17,3,0,436,13,12.0,0.0,Clear,0,,962,1,33.5,0.848,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-04 18:00:00,18,3,0,493,13,11.2,0.0,Clear,0,,1207,1,37.9,0.959,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-04 19:00:00,19,3,0,466,13,11.4,0.0,Clear,0,,1395,1,35.8,0.906,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-04 20:00:00,20,3,0,317,13,9.0,0.0,Clear,0,,1276,1,24.4,0.618,medium,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-04 21:00:00,21,3,0,153,5,9.4,0.0,Clear,0,,936,0,30.6,0.775,high,5,Night
PK21,Mayapuri,Pink Line,2024-01-04 22:00:00,22,3,0,64,5,9.6,0.0,Clear,0,,534,0,12.8,0.324,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-04 23:00:00,23,3,0,21,0,10.1,0.0,Clear,0,,238,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 00:00:00,0,4,0,0,0,13.0,0.0,Clear,0,,85,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 01:00:00,1,4,0,0,0,12.0,0.0,Clear,0,,21,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 02:00:00,2,4,0,0,0,13.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 03:00:00,3,4,0,0,0,13.8,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 04:00:00,4,4,0,0,0,15.5,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 05:00:00,5,4,0,0,0,12.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-05 06:00:00,6,4,0,40,4,13.9,0.0,Clear,0,,40,0,10.0,0.253,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-05 07:00:00,7,4,0,146,6,17.2,0.0,Clear,0,,186,0,24.3,0.615,medium,4,Night
PK21,Mayapuri,Pink Line,2024-01-05 08:00:00,8,4,0,440,14,17.1,0.0,Clear,0,,626,1,31.4,0.795,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-05 09:00:00,9,4,0,573,14,19.6,0.0,Cloudy,0,,1159,1,40.9,1.0,high,5,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-05 10:00:00,10,4,0,384,14,19.2,0.0,Clear,0,,1397,1,27.4,0.694,high,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-05 11:00:00,11,4,0,270,7,20.4,0.0,Clear,0,,1227,0,38.6,0.977,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-05 12:00:00,12,4,0,240,7,18.5,0.2,Light Rain,0,,894,0,34.3,0.868,high,5,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-05 13:00:00,13,4,0,206,7,15.8,0.7,Light Rain,0,,716,0,29.4,0.744,high,4,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-05 14:00:00,14,4,0,200,7,16.1,0.6,Light Rain,0,,646,0,28.6,0.724,high,4,Afternoon
PK21,Mayapuri,Pink Line,2024-01-05 15:00:00,15,4,0,224,7,11.6,0.9,Light Rain,0,,630,0,32.0,0.81,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-05 16:00:00,16,4,0,277,7,13.4,0.6,Light Rain,0,,701,0,39.6,1.0,high,5,Afternoon
PK21,Mayapuri,Pink Line,2024-01-05 17:00:00,17,4,0,426,13,11.5,0.5,Light Rain,0,,927,1,32.8,0.83,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-05 18:00:00,18,4,0,440,13,10.9,0.5,Light Rain,0,,1143,1,33.8,0.856,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-05 19:00:00,19,4,0,465,13,12.1,0.7,Light Rain,0,,1331,1,35.8,0.906,high,5,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-05 20:00:00,20,4,0,317,13,10.9,0.8,Light Rain,0,,1222,1,24.4,0.618,medium,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-05 21:00:00,21,4,0,141,5,11.2,0.0,Clear,0,,923,0,28.2,0.714,high,4,Night
PK21,Mayapuri,Pink Line,2024-01-05 22:00:00,22,4,0,64,5,11.7,0.0,Clear,0,,522,0,12.8,0.324,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-05 23:00:00,23,4,0,21,0,10.7,0.0,Clear,0,,226,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 00:00:00,0,5,1,0,0,13.2,0.0,Clear,0,,85,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 01:00:00,1,5,1,0,0,12.0,0.0,Clear,0,,21,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 02:00:00,2,5,1,0,0,14.2,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 03:00:00,3,5,1,0,0,12.6,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 04:00:00,4,5,1,0,0,15.0,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 05:00:00,5,5,1,0,0,12.1,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-06 06:00:00,6,5,1,29,4,16.7,0.0,Clear,0,,29,0,7.2,0.182,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-06 07:00:00,7,5,1,108,6,17.3,0.0,Clear,0,,137,0,18.0,0.456,medium,3,Night
PK21,Mayapuri,Pink Line,2024-01-06 08:00:00,8,5,1,333,14,18.9,0.0,Clear,0,,470,1,23.8,0.603,medium,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-06 09:00:00,9,5,1,409,14,18.7,0.0,Clear,0,,850,1,29.2,0.739,high,4,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-06 10:00:00,10,5,1,276,14,19.1,0.0,Clear,0,,1018,1,19.7,0.499,medium,3,Morning Peak
PK21,Mayapuri,Pink Line,2024-01-06 11:00:00,11,5,1,170,7,19.8,0.0,Clear,0,,855,0,24.3,0.615,medium,4,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-06 12:00:00,12,5,1,185,7,18.6,0.4,Light Rain,0,,631,0,26.4,0.668,high,4,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-06 13:00:00,13,5,1,149,7,18.6,0.3,Light Rain,0,,504,0,21.3,0.539,medium,3,Mid Morning
PK21,Mayapuri,Pink Line,2024-01-06 14:00:00,14,5,1,153,7,15.5,0.4,Light Rain,0,,487,0,21.9,0.554,medium,4,Afternoon
PK21,Mayapuri,Pink Line,2024-01-06 15:00:00,15,5,1,169,7,13.3,0.2,Light Rain,0,,471,0,24.1,0.61,medium,4,Afternoon
PK21,Mayapuri,Pink Line,2024-01-06 16:00:00,16,5,1,192,7,13.1,0.3,Light Rain,0,,514,0,27.4,0.694,high,4,Afternoon
PK21,Mayapuri,Pink Line,2024-01-06 17:00:00,17,5,1,273,13,11.5,0.3,Light Rain,0,,634,1,21.0,0.532,medium,3,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-06 18:00:00,18,5,1,347,13,11.7,0.1,Light Rain,0,,812,1,26.7,0.676,high,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-06 19:00:00,19,5,1,334,13,10.7,0.3,Light Rain,0,,954,1,25.7,0.651,high,4,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-06 20:00:00,20,5,1,255,13,11.0,0.2,Light Rain,0,,936,1,19.6,0.496,medium,3,Evening Peak
PK21,Mayapuri,Pink Line,2024-01-06 21:00:00,21,5,1,104,5,10.5,0.0,Cloudy,0,,693,0,20.8,0.527,medium,3,Night
PK21,Mayapuri,Pink Line,2024-01-06 22:00:00,22,5,1,47,5,12.5,0.0,Clear,0,,406,0,9.4,0.238,low,2,Night
PK21,Mayapuri,Pink Line,2024-01-06 23:00:00,23,5,1,14,0,11.4,0.0,Clear,0,,165,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-07 00:00:00,0,6,1,0,0,10.1,0.0,Foggy,0,,61,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-07 01:00:00,1,6,1,0,0,16.1,0.0,Clear,0,,14,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-07 02:00:00,2,6,1,0,0,13.4,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
PK21,Mayapuri,Pink Line,2024-01-07 03:00:00,3,6,1,0,0,15.7,0.0,Clear,0,,0,0,0.0,0.0,low,1,Night
